utilization,reference_price,spot_discount,revenue_per_hr,cost_per_sold_hr_hw_excluded,cost_per_sold_hr_hw_included,margin_hw_excluded,margin_hw_included
0.1,datacenter_0.50,0.6,0.2,0.0054,0.1763,0.1946,0.0237
0.1,datacenter_0.50,0.75,0.125,0.0054,0.1763,0.1196,-0.0513
0.1,datacenter_0.50,0.9,0.05,0.0054,0.1763,0.0446,-0.1263
0.1,ec2_mac_0.65,0.6,0.26,0.0054,0.1763,0.2546,0.0837
0.1,ec2_mac_0.65,0.75,0.1625,0.0054,0.1763,0.1571,-0.0138
0.1,ec2_mac_0.65,0.9,0.065,0.0054,0.1763,0.0596,-0.1113
0.3,datacenter_0.50,0.6,0.2,0.0054,0.0624,0.1946,0.1376
0.3,datacenter_0.50,0.75,0.125,0.0054,0.0624,0.1196,0.0626
0.3,datacenter_0.50,0.9,0.05,0.0054,0.0624,0.0446,-0.0124
0.3,ec2_mac_0.65,0.6,0.26,0.0054,0.0624,0.2546,0.1976
0.3,ec2_mac_0.65,0.75,0.1625,0.0054,0.0624,0.1571,0.1001
0.3,ec2_mac_0.65,0.9,0.065,0.0054,0.0624,0.0596,0.0026
0.5,datacenter_0.50,0.6,0.2,0.0054,0.0396,0.1946,0.1604
0.5,datacenter_0.50,0.75,0.125,0.0054,0.0396,0.1196,0.0854
0.5,datacenter_0.50,0.9,0.05,0.0054,0.0396,0.0446,0.0104
0.5,ec2_mac_0.65,0.6,0.26,0.0054,0.0396,0.2546,0.2204
0.5,ec2_mac_0.65,0.75,0.1625,0.0054,0.0396,0.1571,0.1229
0.5,ec2_mac_0.65,0.9,0.065,0.0054,0.0396,0.0596,0.0254
