case,boundary_index,category_elimination,relative_premium,p_base,expected_loss_usd,premium_usd
Case 1 same OS/network,502,0.0,1.0,0.001,83.0,127.6923076923077
Case 1 same OS/network,502,0.0,1.0,0.005,415.0,638.4615384615385
Case 1 same OS/network,502,0.0,1.0,0.01,830.0,1276.923076923077
Case 1 same OS/network,502,0.0,1.0,0.05,4150.0,6384.615384615385
Case 2 separate VM + NIC,5,0.0,0.0099601593625498,0.001,0.8266932270916335,1.2718357339871285
Case 2 separate VM + NIC,5,0.0,0.0099601593625498,0.005,4.133466135458168,6.359178669935642
Case 2 separate VM + NIC,5,0.0,0.0099601593625498,0.01,8.266932270916335,12.718357339871284
Case 2 separate VM + NIC,5,0.0,0.0099601593625498,0.05,41.33466135458167,63.59178669935641
Case 3 hardware-partitioned,0.5,0.11,0.0008864541832669323,0.001,0.07357569721115538,0.11319338032485443
Case 3 hardware-partitioned,0.5,0.11,0.0008864541832669323,0.005,0.36787848605577694,0.5659669016242722
Case 3 hardware-partitioned,0.5,0.11,0.0008864541832669323,0.01,0.7357569721115539,1.1319338032485444
Case 3 hardware-partitioned,0.5,0.11,0.0008864541832669323,0.05,3.6787848605577693,5.659669016242722
