case,config,p_m,revenue_usd_yr,energy_usd_yr,fixed_usd_yr,insurance_usd_yr,profit_usd_yr
Case 1,entry dGPU,1e-05,123,283.88,8.5,1.28,-170.66
Case 2,entry dGPU,1e-05,123,283.88,57.75,0.01,-218.64
Case 3,entry dGPU,1e-05,123,283.88,17.95,0.0,-178.83
Case 4,entry dGPU,1e-05,123,283.88,19.59,0.0,-180.47
Case 1,mid 3090-class,1e-05,596,501.32,8.5,1.28,84.9
Case 2,mid 3090-class,1e-05,596,501.32,57.75,0.01,36.92
Case 3,mid 3090-class,1e-05,596,501.32,17.95,0.0,76.73
Case 4,mid 3090-class,1e-05,596,501.32,19.59,0.0,75.09
Case 1,high 4090,1e-05,1577,622.12,8.5,1.28,945.1
Case 2,high 4090,1e-05,1577,622.12,57.75,0.01,897.12
Case 3,high 4090,1e-05,1577,622.12,17.95,0.0,936.93
Case 4,high 4090,1e-05,1577,622.12,19.59,0.0,935.29
Case 1,top 5090,1e-05,2006,773.12,8.5,1.28,1223.1
Case 2,top 5090,1e-05,2006,773.12,57.75,0.01,1175.11
Case 3,top 5090,1e-05,2006,773.12,17.95,0.0,1214.93
Case 4,top 5090,1e-05,2006,773.12,19.59,0.0,1213.29
Case 1,entry dGPU,0.0001,123,283.88,8.5,12.77,-182.15
Case 2,entry dGPU,0.0001,123,283.88,57.75,0.13,-218.76
Case 3,entry dGPU,0.0001,123,283.88,17.95,0.01,-178.84
Case 4,entry dGPU,0.0001,123,283.88,19.59,0.01,-180.48
Case 1,mid 3090-class,0.0001,596,501.32,8.5,12.77,73.41
Case 2,mid 3090-class,0.0001,596,501.32,57.75,0.13,36.8
Case 3,mid 3090-class,0.0001,596,501.32,17.95,0.01,76.72
Case 4,mid 3090-class,0.0001,596,501.32,19.59,0.01,75.08
Case 1,high 4090,0.0001,1577,622.12,8.5,12.77,933.61
Case 2,high 4090,0.0001,1577,622.12,57.75,0.13,897.0
Case 3,high 4090,0.0001,1577,622.12,17.95,0.01,936.92
Case 4,high 4090,0.0001,1577,622.12,19.59,0.01,935.28
Case 1,top 5090,0.0001,2006,773.12,8.5,12.77,1211.61
Case 2,top 5090,0.0001,2006,773.12,57.75,0.13,1175.0
Case 3,top 5090,0.0001,2006,773.12,17.95,0.01,1214.92
Case 4,top 5090,0.0001,2006,773.12,19.59,0.01,1213.28
Case 1,entry dGPU,0.001,123,283.88,8.5,127.69,-297.07
Case 2,entry dGPU,0.001,123,283.88,57.75,1.28,-219.91
Case 3,entry dGPU,0.001,123,283.88,17.95,0.11,-178.95
Case 4,entry dGPU,0.001,123,283.88,19.59,0.11,-180.59
Case 1,mid 3090-class,0.001,596,501.32,8.5,127.69,-41.51
Case 2,mid 3090-class,0.001,596,501.32,57.75,1.28,35.65
Case 3,mid 3090-class,0.001,596,501.32,17.95,0.11,76.61
Case 4,mid 3090-class,0.001,596,501.32,19.59,0.11,74.97
Case 1,high 4090,0.001,1577,622.12,8.5,127.69,818.69
Case 2,high 4090,0.001,1577,622.12,57.75,1.28,895.85
Case 3,high 4090,0.001,1577,622.12,17.95,0.11,936.81
Case 4,high 4090,0.001,1577,622.12,19.59,0.11,935.17
Case 1,top 5090,0.001,2006,773.12,8.5,127.69,1096.69
Case 2,top 5090,0.001,2006,773.12,57.75,1.28,1173.85
Case 3,top 5090,0.001,2006,773.12,17.95,0.11,1214.81
Case 4,top 5090,0.001,2006,773.12,19.59,0.11,1213.17
Case 1,entry dGPU,0.01,123,283.88,8.5,1276.92,-1446.3
Case 2,entry dGPU,0.01,123,283.88,57.75,12.77,-231.4
Case 3,entry dGPU,0.01,123,283.88,17.95,1.15,-179.98
Case 4,entry dGPU,0.01,123,283.88,19.59,1.15,-181.62
Case 1,mid 3090-class,0.01,596,501.32,8.5,1276.92,-1190.74
Case 2,mid 3090-class,0.01,596,501.32,57.75,12.77,24.16
Case 3,mid 3090-class,0.01,596,501.32,17.95,1.15,75.58
Case 4,mid 3090-class,0.01,596,501.32,19.59,1.15,73.94
Case 1,high 4090,0.01,1577,622.12,8.5,1276.92,-330.55
Case 2,high 4090,0.01,1577,622.12,57.75,12.77,884.36
Case 3,high 4090,0.01,1577,622.12,17.95,1.15,935.78
Case 4,high 4090,0.01,1577,622.12,19.59,1.15,934.14
Case 1,top 5090,0.01,2006,773.12,8.5,1276.92,-52.55
Case 2,top 5090,0.01,2006,773.12,57.75,12.77,1162.36
Case 3,top 5090,0.01,2006,773.12,17.95,1.15,1213.78
Case 4,top 5090,0.01,2006,773.12,19.59,1.15,1212.14
