population,tier,case,p_m,defense_avoided,form,revenue_yr,energy_yr,fixed_yr,premium_yr,residual_el_yr,net_cession_yr,crossover_rent_yr,crossover_rate_tflops_hr,obs_over_crossover
enterprise,iGPU_today,case1_sameOS,1e-05,0.0,insured,0.0,78.5,8.5,1.28,0.0,-88.3,88.3,0.02601,0.08
enterprise,iGPU_today,case1_sameOS,1e-05,0.0,uninsured,0.0,78.5,8.5,1.28,4.83,-91.9,91.9,0.02705,0.08
enterprise,iGPU_today,case1_sameOS,1e-05,100.0,insured,0.0,78.5,8.5,1.28,0.0,11.7,-11.7,-0.00345,
enterprise,iGPU_today,case1_sameOS,1e-05,100.0,uninsured,0.0,78.5,8.5,1.28,4.83,8.1,-8.1,-0.0024,
enterprise,iGPU_today,case1_sameOS,0.001,0.0,insured,0.0,78.5,8.5,127.69,0.0,-214.7,214.7,0.06324,0.03
enterprise,iGPU_today,case1_sameOS,0.001,0.0,uninsured,0.0,78.5,8.5,127.69,285.0,-372.0,372.0,0.10957,0.02
enterprise,iGPU_today,case1_sameOS,0.001,100.0,insured,0.0,78.5,8.5,127.69,0.0,-114.7,114.7,0.03378,0.06
enterprise,iGPU_today,case1_sameOS,0.001,100.0,uninsured,0.0,78.5,8.5,127.69,285.0,-272.0,272.0,0.08011,0.03
enterprise,iGPU_today,case1_sameOS,0.01,0.0,insured,0.0,78.5,8.5,1276.92,0.0,-1363.9,1363.9,0.40171,0.01
enterprise,iGPU_today,case1_sameOS,0.01,0.0,uninsured,0.0,78.5,8.5,1276.92,2832.0,-2919.0,2919.0,0.8597,0.0
enterprise,iGPU_today,case1_sameOS,0.01,100.0,insured,0.0,78.5,8.5,1276.92,0.0,-1263.9,1263.9,0.37225,0.01
enterprise,iGPU_today,case1_sameOS,0.01,100.0,uninsured,0.0,78.5,8.5,1276.92,2832.0,-2819.0,2819.0,0.83025,0.0
enterprise,iGPU_today,case2_vm_nic,1e-05,0.0,insured,0.0,78.5,57.75,0.01,0.0,-136.3,136.3,0.04014,0.05
enterprise,iGPU_today,case2_vm_nic,1e-05,0.0,uninsured,0.0,78.5,57.75,0.01,0.05,-136.3,136.3,0.04015,0.05
enterprise,iGPU_today,case2_vm_nic,1e-05,100.0,insured,0.0,78.5,57.75,0.01,0.0,-36.3,36.3,0.01069,0.2
enterprise,iGPU_today,case2_vm_nic,1e-05,100.0,uninsured,0.0,78.5,57.75,0.01,0.05,-36.3,36.3,0.0107,0.2
enterprise,iGPU_today,case2_vm_nic,0.001,0.0,insured,0.0,78.5,57.75,1.28,0.0,-137.5,137.5,0.04051,0.05
enterprise,iGPU_today,case2_vm_nic,0.001,0.0,uninsured,0.0,78.5,57.75,1.28,2.85,-139.1,139.1,0.04097,0.05
enterprise,iGPU_today,case2_vm_nic,0.001,100.0,insured,0.0,78.5,57.75,1.28,0.0,-37.5,37.5,0.01106,0.2
enterprise,iGPU_today,case2_vm_nic,0.001,100.0,uninsured,0.0,78.5,57.75,1.28,2.85,-39.1,39.1,0.01152,0.19
enterprise,iGPU_today,case2_vm_nic,0.01,0.0,insured,0.0,78.5,57.75,12.77,0.0,-149.0,149.0,0.04389,0.05
enterprise,iGPU_today,case2_vm_nic,0.01,0.0,uninsured,0.0,78.5,57.75,12.77,28.32,-164.6,164.6,0.04847,0.04
enterprise,iGPU_today,case2_vm_nic,0.01,100.0,insured,0.0,78.5,57.75,12.77,0.0,-49.0,49.0,0.01444,0.15
enterprise,iGPU_today,case2_vm_nic,0.01,100.0,uninsured,0.0,78.5,57.75,12.77,28.32,-64.6,64.6,0.01902,0.11
enterprise,iGPU_today,case3_hw_partition,1e-05,0.0,insured,0.0,78.5,17.95,0.0,0.0,-96.5,96.5,0.02841,0.08
enterprise,iGPU_today,case3_hw_partition,1e-05,0.0,uninsured,0.0,78.5,17.95,0.0,0.0,-96.5,96.5,0.02841,0.08
enterprise,iGPU_today,case3_hw_partition,1e-05,100.0,insured,0.0,78.5,17.95,0.0,0.0,3.5,-3.5,-0.00104,
enterprise,iGPU_today,case3_hw_partition,1e-05,100.0,uninsured,0.0,78.5,17.95,0.0,0.0,3.5,-3.5,-0.00104,
enterprise,iGPU_today,case3_hw_partition,0.001,0.0,insured,0.0,78.5,17.95,0.11,0.0,-96.6,96.6,0.02845,0.08
enterprise,iGPU_today,case3_hw_partition,0.001,0.0,uninsured,0.0,78.5,17.95,0.11,0.26,-96.7,96.7,0.02849,0.08
enterprise,iGPU_today,case3_hw_partition,0.001,100.0,insured,0.0,78.5,17.95,0.11,0.0,3.4,-3.4,-0.00101,
enterprise,iGPU_today,case3_hw_partition,0.001,100.0,uninsured,0.0,78.5,17.95,0.11,0.26,3.3,-3.3,-0.00096,
enterprise,iGPU_today,case3_hw_partition,0.01,0.0,insured,0.0,78.5,17.95,1.15,0.0,-97.6,97.6,0.02875,0.08
enterprise,iGPU_today,case3_hw_partition,0.01,0.0,uninsured,0.0,78.5,17.95,1.15,2.55,-99.0,99.0,0.02916,0.07
enterprise,iGPU_today,case3_hw_partition,0.01,100.0,insured,0.0,78.5,17.95,1.15,0.0,2.4,-2.4,-0.0007,
enterprise,iGPU_today,case3_hw_partition,0.01,100.0,uninsured,0.0,78.5,17.95,1.15,2.55,1.0,-1.0,-0.00029,
enterprise,iGPU_today,case4_new_silicon,1e-05,0.0,insured,0.0,78.5,19.75,0.0,0.0,-98.3,98.3,0.02894,0.08
enterprise,iGPU_today,case4_new_silicon,1e-05,0.0,uninsured,0.0,78.5,19.75,0.0,0.0,-98.3,98.3,0.02894,0.08
enterprise,iGPU_today,case4_new_silicon,1e-05,100.0,insured,0.0,78.5,19.75,0.0,0.0,1.7,-1.7,-0.00051,
enterprise,iGPU_today,case4_new_silicon,1e-05,100.0,uninsured,0.0,78.5,19.75,0.0,0.0,1.7,-1.7,-0.00051,
enterprise,iGPU_today,case4_new_silicon,0.001,0.0,insured,0.0,78.5,19.75,0.11,0.0,-98.4,98.4,0.02898,0.08
enterprise,iGPU_today,case4_new_silicon,0.001,0.0,uninsured,0.0,78.5,19.75,0.11,0.26,-98.5,98.5,0.02902,0.08
enterprise,iGPU_today,case4_new_silicon,0.001,100.0,insured,0.0,78.5,19.75,0.11,0.0,1.6,-1.6,-0.00048,
enterprise,iGPU_today,case4_new_silicon,0.001,100.0,uninsured,0.0,78.5,19.75,0.11,0.26,1.5,-1.5,-0.00043,
enterprise,iGPU_today,case4_new_silicon,0.01,0.0,insured,0.0,78.5,19.75,1.15,0.0,-99.4,99.4,0.02928,0.07
enterprise,iGPU_today,case4_new_silicon,0.01,0.0,uninsured,0.0,78.5,19.75,1.15,2.55,-100.8,100.8,0.02969,0.07
enterprise,iGPU_today,case4_new_silicon,0.01,100.0,insured,0.0,78.5,19.75,1.15,0.0,0.6,-0.6,-0.00017,
enterprise,iGPU_today,case4_new_silicon,0.01,100.0,uninsured,0.0,78.5,19.75,1.15,2.55,-0.8,0.8,0.00024,9.04
enterprise,iGPU_fungible_fp32,case1_sameOS,1e-05,0.0,insured,7.4,78.5,8.5,1.28,0.0,-80.9,88.3,0.02601,0.08
enterprise,iGPU_fungible_fp32,case1_sameOS,1e-05,0.0,uninsured,7.4,78.5,8.5,1.28,4.83,-84.4,91.9,0.02705,0.08
enterprise,iGPU_fungible_fp32,case1_sameOS,1e-05,100.0,insured,7.4,78.5,8.5,1.28,0.0,19.1,-11.7,-0.00345,
enterprise,iGPU_fungible_fp32,case1_sameOS,1e-05,100.0,uninsured,7.4,78.5,8.5,1.28,4.83,15.6,-8.1,-0.0024,
enterprise,iGPU_fungible_fp32,case1_sameOS,0.001,0.0,insured,7.4,78.5,8.5,127.69,0.0,-207.3,214.7,0.06324,0.03
enterprise,iGPU_fungible_fp32,case1_sameOS,0.001,0.0,uninsured,7.4,78.5,8.5,127.69,285.0,-364.6,372.0,0.10957,0.02
enterprise,iGPU_fungible_fp32,case1_sameOS,0.001,100.0,insured,7.4,78.5,8.5,127.69,0.0,-107.3,114.7,0.03378,0.06
enterprise,iGPU_fungible_fp32,case1_sameOS,0.001,100.0,uninsured,7.4,78.5,8.5,127.69,285.0,-264.6,272.0,0.08011,0.03
enterprise,iGPU_fungible_fp32,case1_sameOS,0.01,0.0,insured,7.4,78.5,8.5,1276.92,0.0,-1356.5,1363.9,0.40171,0.01
enterprise,iGPU_fungible_fp32,case1_sameOS,0.01,0.0,uninsured,7.4,78.5,8.5,1276.92,2832.0,-2911.6,2919.0,0.8597,0.0
enterprise,iGPU_fungible_fp32,case1_sameOS,0.01,100.0,insured,7.4,78.5,8.5,1276.92,0.0,-1256.5,1263.9,0.37225,0.01
enterprise,iGPU_fungible_fp32,case1_sameOS,0.01,100.0,uninsured,7.4,78.5,8.5,1276.92,2832.0,-2811.6,2819.0,0.83025,0.0
enterprise,iGPU_fungible_fp32,case2_vm_nic,1e-05,0.0,insured,7.4,78.5,57.75,0.01,0.0,-128.9,136.3,0.04014,0.05
enterprise,iGPU_fungible_fp32,case2_vm_nic,1e-05,0.0,uninsured,7.4,78.5,57.75,0.01,0.05,-128.9,136.3,0.04015,0.05
enterprise,iGPU_fungible_fp32,case2_vm_nic,1e-05,100.0,insured,7.4,78.5,57.75,0.01,0.0,-28.9,36.3,0.01069,0.2
enterprise,iGPU_fungible_fp32,case2_vm_nic,1e-05,100.0,uninsured,7.4,78.5,57.75,0.01,0.05,-28.9,36.3,0.0107,0.2
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.001,0.0,insured,7.4,78.5,57.75,1.28,0.0,-130.1,137.5,0.04051,0.05
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.001,0.0,uninsured,7.4,78.5,57.75,1.28,2.85,-131.7,139.1,0.04097,0.05
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.001,100.0,insured,7.4,78.5,57.75,1.28,0.0,-30.1,37.5,0.01106,0.2
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.001,100.0,uninsured,7.4,78.5,57.75,1.28,2.85,-31.7,39.1,0.01152,0.19
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.01,0.0,insured,7.4,78.5,57.75,12.77,0.0,-141.6,149.0,0.04389,0.05
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.01,0.0,uninsured,7.4,78.5,57.75,12.77,28.32,-157.2,164.6,0.04847,0.04
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.01,100.0,insured,7.4,78.5,57.75,12.77,0.0,-41.6,49.0,0.01444,0.15
enterprise,iGPU_fungible_fp32,case2_vm_nic,0.01,100.0,uninsured,7.4,78.5,57.75,12.77,28.32,-57.2,64.6,0.01902,0.11
enterprise,iGPU_fungible_fp32,case3_hw_partition,1e-05,0.0,insured,7.4,78.5,17.95,0.0,0.0,-89.1,96.5,0.02841,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,1e-05,0.0,uninsured,7.4,78.5,17.95,0.0,0.0,-89.1,96.5,0.02841,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,1e-05,100.0,insured,7.4,78.5,17.95,0.0,0.0,10.9,-3.5,-0.00104,
enterprise,iGPU_fungible_fp32,case3_hw_partition,1e-05,100.0,uninsured,7.4,78.5,17.95,0.0,0.0,10.9,-3.5,-0.00104,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,0.0,insured,7.4,78.5,17.95,0.11,0.0,-89.2,96.6,0.02845,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,0.0,uninsured,7.4,78.5,17.95,0.11,0.26,-89.3,96.7,0.02849,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,100.0,insured,7.4,78.5,17.95,0.11,0.0,10.8,-3.4,-0.00101,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,100.0,uninsured,7.4,78.5,17.95,0.11,0.26,10.7,-3.3,-0.00096,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,0.0,insured,7.4,78.5,17.95,1.15,0.0,-90.2,97.6,0.02875,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,0.0,uninsured,7.4,78.5,17.95,1.15,2.55,-91.6,99.0,0.02916,0.07
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,100.0,insured,7.4,78.5,17.95,1.15,0.0,9.8,-2.4,-0.0007,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,100.0,uninsured,7.4,78.5,17.95,1.15,2.55,8.4,-1.0,-0.00029,
enterprise,iGPU_fungible_fp32,case4_new_silicon,1e-05,0.0,insured,7.4,78.5,19.75,0.0,0.0,-90.9,98.3,0.02894,0.08
