year,variant,basis,schedule,w_cession,base_median_busd,base_mean_busd,base_p90_busd,base_p99_busd,cess_median_busd,cess_mean_busd,cess_p90_busd,cess_p99_busd,wedge_median,wedge_mean,wedge_p99,rent_us_lo_busd,rent_us_hi_busd,rent_us_ceiling_busd,rent_global_illustrative_busd
2027,anchored,transfer_inclusive,main,0.0,61.5,134.1,467.4,1180.7,61.5,134.1,467.4,1180.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,anchored,transfer_inclusive,main,0.0,106.6,241.2,848.5,2119.6,106.6,241.2,848.5,2119.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,anchored,transfer_inclusive,main,0.05,127.8,290.7,1038.3,2587.0,110.3,265.7,1007.3,2548.0,-17.5,-25.0,-39.0,0.3,2.0,7.0,4.9
2030,anchored,transfer_inclusive,main,0.15,153.5,354.2,1278.9,3204.2,86.1,260.3,1156.4,3053.8,-67.4,-93.9,-150.4,0.9,6.0,21.0,14.7
2031,anchored,transfer_inclusive,main,0.3,185.2,434.3,1579.8,3994.7,-1.6,199.1,1243.8,3592.9,-186.8,-235.2,-401.8,1.8,12.0,42.0,29.4
2032,anchored,transfer_inclusive,main,0.45,223.8,535.3,1955.7,5028.9,-136.1,93.3,1252.0,4175.2,-359.9,-442.0,-853.7,2.7,18.0,63.0,44.1
2027,anchored,transfer_inclusive,slow,0.0,61.5,134.1,467.4,1180.7,61.5,134.1,467.4,1180.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,anchored,transfer_inclusive,slow,0.0,106.6,241.2,848.5,2119.6,106.6,241.2,848.5,2119.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,anchored,transfer_inclusive,slow,0.025,127.8,290.7,1038.3,2587.0,119.0,278.2,1023.0,2567.7,-8.8,-12.5,-19.3,0.2,1.0,3.5,2.4
2030,anchored,transfer_inclusive,slow,0.075,153.5,354.2,1278.9,3204.2,120.9,307.2,1220.0,3131.8,-32.6,-47.0,-72.4,0.4,3.0,10.5,7.3
2031,anchored,transfer_inclusive,slow,0.15,185.2,434.3,1579.8,3994.7,101.8,316.7,1426.2,3810.6,-83.4,-117.6,-184.1,0.9,6.0,21.0,14.7
2032,anchored,transfer_inclusive,slow,0.225,223.8,535.3,1955.7,5028.9,63.3,314.3,1652.8,4659.6,-160.5,-221.0,-369.3,1.4,9.0,31.5,22.0
2027,anchored,resource_only,main,0.0,40.1,81.2,265.8,673.7,40.1,81.2,265.8,673.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,anchored,resource_only,main,0.0,72.1,147.8,485.3,1215.3,72.1,147.8,485.3,1215.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,anchored,resource_only,main,0.05,85.7,177.5,596.6,1483.7,75.7,164.8,579.1,1460.9,-10.0,-12.7,-22.8,0.3,2.0,7.0,4.9
2030,anchored,resource_only,main,0.15,102.5,215.6,737.8,1836.2,63.0,167.4,668.7,1749.1,-39.5,-48.2,-87.1,0.9,6.0,21.0,14.7
2031,anchored,resource_only,main,0.3,123.2,263.7,914.7,2292.5,11.4,141.8,726.1,2057.7,-111.8,-121.9,-234.8,1.8,12.0,42.0,29.4
2032,anchored,resource_only,main,0.45,148.5,324.5,1135.8,2886.3,-58.1,93.7,741.8,2392.2,-206.6,-230.8,-494.1,2.7,18.0,63.0,44.1
2027,anchored,resource_only,slow,0.0,40.1,81.2,265.8,673.7,40.1,81.2,265.8,673.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,anchored,resource_only,slow,0.0,72.1,147.8,485.3,1215.3,72.1,147.8,485.3,1215.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,anchored,resource_only,slow,0.025,85.7,177.5,596.6,1483.7,80.7,171.2,588.0,1472.4,-5.0,-6.3,-11.3,0.2,1.0,3.5,2.4
2030,anchored,resource_only,slow,0.075,102.5,215.6,737.8,1836.2,83.4,191.5,704.6,1794.1,-19.1,-24.1,-42.1,0.4,3.0,10.5,7.3
2031,anchored,resource_only,slow,0.15,123.2,263.7,914.7,2292.5,73.9,202.8,828.2,2184.2,-49.3,-60.9,-108.3,0.9,6.0,21.0,14.7
2032,anchored,resource_only,slow,0.225,148.5,324.5,1135.8,2886.3,51.8,209.1,965.9,2671.5,-96.7,-115.4,-214.8,1.4,9.0,31.5,22.0
2027,fresh,transfer_inclusive,main,0.0,74.7,193.3,547.4,2727.7,74.7,193.3,547.4,2727.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,fresh,transfer_inclusive,main,0.0,122.3,283.5,916.9,2799.8,122.3,283.5,916.9,2799.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,fresh,transfer_inclusive,main,0.05,145.7,334.2,1116.3,3061.0,127.5,309.3,1085.8,3028.7,-18.2,-24.9,-32.3,0.3,2.0,7.0,4.9
2030,fresh,transfer_inclusive,main,0.15,173.7,397.4,1363.7,3425.8,105.0,303.8,1243.4,3308.2,-68.7,-93.6,-117.6,0.9,6.0,21.0,14.7
2031,fresh,transfer_inclusive,main,0.3,207.9,477.6,1672.8,4081.4,23.2,242.8,1343.2,3706.7,-184.7,-234.8,-374.7,1.8,12.0,42.0,29.4
2032,fresh,transfer_inclusive,main,0.45,249.3,578.6,2056.5,5069.4,-115.1,137.2,1367.3,4237.2,-364.4,-441.4,-832.2,2.7,18.0,63.0,44.1
2027,fresh,transfer_inclusive,slow,0.0,74.7,193.3,547.4,2727.7,74.7,193.3,547.4,2727.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,fresh,transfer_inclusive,slow,0.0,122.3,283.5,916.9,2799.8,122.3,283.5,916.9,2799.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,fresh,transfer_inclusive,slow,0.025,145.7,334.2,1116.3,3061.0,136.7,321.7,1101.2,3045.3,-9.0,-12.5,-15.7,0.2,1.0,3.5,2.4
2030,fresh,transfer_inclusive,slow,0.075,173.7,397.4,1363.7,3425.8,140.0,350.6,1305.7,3368.9,-33.7,-46.8,-56.9,0.4,3.0,10.5,7.3
2031,fresh,transfer_inclusive,slow,0.15,207.9,477.6,1672.8,4081.4,122.8,360.2,1521.2,3906.8,-85.1,-117.4,-174.6,0.9,6.0,21.0,14.7
2032,fresh,transfer_inclusive,slow,0.225,249.3,578.6,2056.5,5069.4,87.1,357.9,1757.4,4708.0,-162.2,-220.7,-361.4,1.4,9.0,31.5,22.0
2027,fresh,resource_only,main,0.0,47.3,112.9,310.1,1367.0,47.3,112.9,310.1,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,fresh,resource_only,main,0.0,80.6,170.5,523.0,1502.9,80.6,170.5,523.0,1502.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,fresh,resource_only,main,0.05,95.5,200.8,639.2,1708.7,84.9,187.8,621.2,1684.6,-10.6,-13.0,-24.1,0.3,2.0,7.0,4.9
2030,fresh,resource_only,main,0.15,113.5,238.8,783.7,1970.7,72.9,189.5,713.1,1889.6,-40.6,-49.3,-81.1,0.9,6.0,21.0,14.7
2031,fresh,resource_only,main,0.3,135.5,287.0,964.3,2351.6,24.2,162.8,772.8,2133.2,-111.3,-124.2,-218.4,1.8,12.0,42.0,29.4
2032,fresh,resource_only,main,0.45,162.2,347.7,1187.2,2910.5,-48.8,113.4,791.1,2430.9,-211.0,-234.3,-479.6,2.7,18.0,63.0,44.1
2027,fresh,resource_only,slow,0.0,47.3,112.9,310.1,1367.0,47.3,112.9,310.1,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,fresh,resource_only,slow,0.0,80.6,170.5,523.0,1502.9,80.6,170.5,523.0,1502.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,fresh,resource_only,slow,0.025,95.5,200.8,639.2,1708.7,90.2,194.3,630.3,1696.5,-5.3,-6.5,-12.2,0.2,1.0,3.5,2.4
2030,fresh,resource_only,slow,0.075,113.5,238.8,783.7,1970.7,93.8,214.2,749.6,1933.2,-19.7,-24.6,-37.5,0.4,3.0,10.5,7.3
2031,fresh,resource_only,slow,0.15,135.5,287.0,964.3,2351.6,84.8,224.9,875.7,2249.9,-50.7,-62.1,-101.7,0.9,6.0,21.0,14.7
2032,fresh,resource_only,slow,0.225,162.2,347.7,1187.2,2910.5,64.3,230.6,1014.3,2701.9,-97.9,-117.1,-208.6,1.4,9.0,31.5,22.0
