year,variant,basis,mode,w_cession,w_offense,w_balanced,w_defense,median_busd,mean_busd,p90_busd,p99_busd,p_gt_25b,p_gt_50b,p_gt_100b,p_gt_200b
2027,anchored,transfer_inclusive,proportional,0.0,0.3,0.45,0.25,61.69,134.07,467.4,1180.3,0.6184,0.5367,0.4059,0.2714
2027,anchored,transfer_inclusive,proportional,0.05,0.285,0.427,0.237,53.92,123.43,454.3,1161.1,0.5913,0.5121,0.3866,0.2582
2027,anchored,transfer_inclusive,proportional,0.1,0.27,0.405,0.225,45.8,112.79,440.5,1141.3,0.5643,0.4875,0.3673,0.245
2027,anchored,transfer_inclusive,proportional,0.25,0.225,0.338,0.188,19.21,80.87,393.9,1076.2,0.4831,0.4137,0.3094,0.2053
2027,anchored,transfer_inclusive,proportional,0.5,0.15,0.225,0.125,-23.02,27.67,289.8,942.8,0.3478,0.2907,0.2128,0.1392
2027,anchored,transfer_inclusive,offense_first,0.0,0.3,0.45,0.25,61.69,134.07,467.4,1180.3,0.6184,0.5367,0.4059,0.2714
2027,anchored,transfer_inclusive,offense_first,0.05,0.25,0.45,0.25,46.66,108.68,421.8,1115.0,0.5724,0.4892,0.3586,0.2318
2027,anchored,transfer_inclusive,offense_first,0.1,0.2,0.45,0.25,32.54,83.29,367.2,1039.6,0.5263,0.4416,0.3113,0.1922
2027,anchored,transfer_inclusive,offense_first,0.25,0.05,0.45,0.25,-6.94,7.13,157.7,669.3,0.3882,0.2991,0.1694,0.0735
2027,anchored,transfer_inclusive,offense_first,0.5,0.0,0.321,0.179,-35.57,-35.54,94.8,302.4,0.2665,0.1924,0.0929,0.0262
2027,anchored,resource_only,proportional,0.0,0.3,0.45,0.25,40.26,81.18,265.7,673.4,0.5892,0.4517,0.3041,0.1559
2027,anchored,resource_only,proportional,0.05,0.285,0.427,0.237,35.83,75.91,258.2,662.2,0.5619,0.4299,0.2892,0.1482
2027,anchored,resource_only,proportional,0.1,0.27,0.405,0.225,31.21,70.64,250.3,650.6,0.5345,0.4081,0.2742,0.1405
2027,anchored,resource_only,proportional,0.25,0.225,0.338,0.188,16.03,54.83,223.9,612.5,0.4525,0.3427,0.2295,0.1175
2027,anchored,resource_only,proportional,0.5,0.15,0.225,0.125,-3.45,28.47,165.3,534.2,0.3157,0.2336,0.1548,0.0792
2027,anchored,resource_only,offense_first,0.0,0.3,0.45,0.25,40.26,81.18,265.7,673.4,0.5892,0.4517,0.3041,0.1559
2027,anchored,resource_only,offense_first,0.05,0.25,0.45,0.25,31.85,67.7,240.0,636.0,0.5415,0.4033,0.2614,0.1313
2027,anchored,resource_only,offense_first,0.1,0.2,0.45,0.25,24.03,54.21,209.4,592.7,0.4937,0.3549,0.2188,0.1067
2027,anchored,resource_only,offense_first,0.25,0.05,0.45,0.25,3.08,13.76,93.0,377.5,0.3505,0.2097,0.0908,0.0331
2027,anchored,resource_only,offense_first,0.5,0.0,0.321,0.179,-8.82,-6.73,56.8,171.3,0.2283,0.1197,0.036,0.0068
2027,fresh,transfer_inclusive,proportional,0.0,0.3,0.45,0.25,74.68,193.32,547.4,2729.0,0.6482,0.5707,0.4432,0.3062
2027,fresh,transfer_inclusive,proportional,0.05,0.285,0.427,0.237,66.43,182.59,534.5,2705.1,0.6223,0.5469,0.4242,0.293
2027,fresh,transfer_inclusive,proportional,0.1,0.27,0.405,0.225,58.19,171.87,521.1,2678.1,0.5964,0.5231,0.4052,0.2799
2027,fresh,transfer_inclusive,proportional,0.25,0.225,0.338,0.188,31.71,139.69,476.4,2579.2,0.5187,0.4517,0.3483,0.2404
2027,fresh,transfer_inclusive,proportional,0.5,0.15,0.225,0.125,-12.73,86.06,380.0,2373.4,0.3891,0.3326,0.2534,0.1746
2027,fresh,transfer_inclusive,offense_first,0.0,0.3,0.45,0.25,74.68,193.32,547.4,2729.0,0.6482,0.5707,0.4432,0.3062
2027,fresh,transfer_inclusive,offense_first,0.05,0.25,0.45,0.25,58.36,168.61,505.7,2686.4,0.6048,0.5256,0.398,0.2681
2027,fresh,transfer_inclusive,offense_first,0.1,0.2,0.45,0.25,43.82,143.91,456.2,2634.2,0.5613,0.4805,0.3527,0.2299
2027,fresh,transfer_inclusive,offense_first,0.25,0.05,0.45,0.25,5.33,69.79,232.9,2428.4,0.431,0.3452,0.217,0.1156
2027,fresh,transfer_inclusive,offense_first,0.5,0.0,0.321,0.179,-26.08,26.15,139.3,2215.2,0.3139,0.2414,0.1409,0.0676
2027,fresh,resource_only,proportional,0.0,0.3,0.45,0.25,47.38,112.89,310.2,1368.0,0.6204,0.4882,0.3395,0.1859
2027,fresh,resource_only,proportional,0.05,0.285,0.427,0.237,42.62,107.03,302.2,1337.3,0.5939,0.4666,0.3243,0.1778
2027,fresh,resource_only,proportional,0.1,0.27,0.405,0.225,37.87,101.18,293.9,1302.9,0.5674,0.445,0.3091,0.1697
2027,fresh,resource_only,proportional,0.25,0.225,0.338,0.188,22.61,83.61,266.5,1194.8,0.4879,0.3801,0.2637,0.1455
2027,fresh,resource_only,proportional,0.5,0.15,0.225,0.125,0.78,54.33,208.8,1004.2,0.3554,0.272,0.1879,0.105
2027,fresh,resource_only,offense_first,0.0,0.3,0.45,0.25,47.38,112.89,310.2,1368.0,0.6204,0.4882,0.3395,0.1859
2027,fresh,resource_only,offense_first,0.05,0.25,0.45,0.25,38.18,99.22,285.7,1325.6,0.575,0.4417,0.298,0.1617
2027,fresh,resource_only,offense_first,0.1,0.2,0.45,0.25,30.03,85.55,256.9,1275.1,0.5295,0.3953,0.2566,0.1375
2027,fresh,resource_only,offense_first,0.25,0.05,0.45,0.25,8.69,44.56,131.8,1106.2,0.3933,0.2558,0.1324,0.0648
2027,fresh,resource_only,offense_first,0.5,0.0,0.321,0.179,-4.94,20.86,78.9,900.1,0.2744,0.1654,0.0753,0.0359
2028,anchored,transfer_inclusive,proportional,0.0,0.3,0.45,0.25,106.86,241.28,848.3,2119.7,0.6526,0.6058,0.5119,0.3794
2028,anchored,transfer_inclusive,proportional,0.05,0.285,0.427,0.237,92.84,221.37,823.0,2087.6,0.6238,0.5781,0.4877,0.361
2028,anchored,transfer_inclusive,proportional,0.1,0.27,0.405,0.225,78.2,201.46,796.5,2053.9,0.595,0.5504,0.4635,0.3425
2028,anchored,transfer_inclusive,proportional,0.25,0.225,0.338,0.188,30.14,141.72,707.5,1942.8,0.5085,0.4673,0.3908,0.2872
2028,anchored,transfer_inclusive,proportional,0.5,0.15,0.225,0.125,-49.22,42.16,510.0,1707.8,0.3644,0.3288,0.2696,0.195
2028,anchored,transfer_inclusive,offense_first,0.0,0.3,0.45,0.25,106.86,241.28,848.3,2119.7,0.6526,0.6058,0.5119,0.3794
2028,anchored,transfer_inclusive,offense_first,0.05,0.25,0.45,0.25,80.13,194.76,761.7,2009.1,0.6065,0.5585,0.4636,0.3326
2028,anchored,transfer_inclusive,offense_first,0.1,0.2,0.45,0.25,55.68,148.23,658.7,1878.1,0.5604,0.5112,0.4154,0.2857
2028,anchored,transfer_inclusive,offense_first,0.25,0.05,0.45,0.25,-16.78,8.66,274.2,1171.5,0.4221,0.3694,0.2705,0.1453
2028,anchored,transfer_inclusive,offense_first,0.5,0.0,0.321,0.179,-70.4,-71.89,161.2,512.2,0.2903,0.2448,0.1666,0.0734
2028,anchored,resource_only,proportional,0.0,0.3,0.45,0.25,72.25,147.81,485.0,1214.8,0.6564,0.5737,0.4266,0.2801
2028,anchored,resource_only,proportional,0.05,0.285,0.427,0.237,64.3,137.95,470.8,1195.8,0.627,0.5463,0.4057,0.2662
2028,anchored,resource_only,proportional,0.1,0.27,0.405,0.225,55.98,128.08,455.8,1175.9,0.5977,0.5189,0.3848,0.2523
2028,anchored,resource_only,proportional,0.25,0.225,0.338,0.188,28.23,98.48,405.6,1110.3,0.5095,0.4368,0.3221,0.2107
2028,anchored,resource_only,proportional,0.5,0.15,0.225,0.125,-8.62,49.14,294.9,972.2,0.3627,0.2999,0.2176,0.1414
2028,anchored,resource_only,offense_first,0.0,0.3,0.45,0.25,72.25,147.81,485.0,1214.8,0.6564,0.5737,0.4266,0.2801
2028,anchored,resource_only,offense_first,0.05,0.25,0.45,0.25,57.28,123.05,436.4,1149.9,0.6099,0.5252,0.3783,0.2394
2028,anchored,resource_only,offense_first,0.1,0.2,0.45,0.25,43.41,98.29,378.8,1073.3,0.5635,0.4766,0.33,0.1987
2028,anchored,resource_only,offense_first,0.25,0.05,0.45,0.25,4.72,23.99,164.7,668.1,0.4241,0.3311,0.1851,0.0768
2028,anchored,resource_only,offense_first,0.5,0.0,0.321,0.179,-18.34,-14.7,100.1,293.3,0.2894,0.2092,0.1002,0.0266
2028,fresh,transfer_inclusive,proportional,0.0,0.3,0.45,0.25,122.43,283.48,916.7,2798.9,0.6726,0.6276,0.537,0.4044
2028,fresh,transfer_inclusive,proportional,0.05,0.285,0.427,0.237,107.94,263.67,892.3,2766.6,0.6445,0.6005,0.513,0.3859
