year,variant,regime,basis,median_busd,mean_busd,p90_busd,p99_busd,p_gt_25b,p_gt_50b,p_gt_100b,p_gt_200b
2027,anchored,offense,transfer_inclusive,347.6,429.03,783.1,1686.3,0.9978,0.995,0.9658,0.7988
2027,anchored,offense,resource_only,198.04,245.44,447.3,961.3,0.9972,0.9834,0.8586,0.4938
2027,anchored,balanced,transfer_inclusive,53.99,72.55,170.9,420.9,0.7058,0.5277,0.2575,0.0703
2027,anchored,balanced,resource_only,36.0,46.72,101.3,246.0,0.6423,0.3472,0.103,0.0169
2027,anchored,defense,transfer_inclusive,-88.42,-109.13,-25.9,13.1,0.0057,0.0028,0.0013,0.0006
2027,anchored,defense,resource_only,-42.57,-53.91,-7.8,14.4,0.004,0.0016,0.0006,0.0004
2027,anchored,cession,transfer_inclusive,-63.03,-78.73,14.5,157.9,0.0771,0.0447,0.0197,0.007
2027,anchored,cession,resource_only,-17.72,-24.24,11.6,66.5,0.0423,0.0156,0.0056,0.0026
2027,fresh,offense,transfer_inclusive,355.48,472.91,840.6,3080.6,0.9991,0.9966,0.9683,0.8053
2027,fresh,offense,resource_only,202.74,269.09,479.6,1580.7,0.9986,0.9855,0.8646,0.5084
2027,fresh,balanced,transfer_inclusive,61.0,137.55,226.8,2724.1,0.7368,0.5706,0.3108,0.1203
2027,fresh,balanced,resource_only,39.88,81.45,132.1,1336.2,0.678,0.3985,0.1541,0.0562
2027,fresh,defense,transfer_inclusive,-79.21,-41.8,-5.6,2130.0,0.0678,0.0599,0.0514,0.0418
2027,fresh,defense,resource_only,-37.55,-17.97,3.8,1089.1,0.0628,0.053,0.0429,0.0324
2027,fresh,cession,transfer_inclusive,-55.3,-21.2,44.9,1892.0,0.13,0.0945,0.0637,0.043
2027,fresh,cession,resource_only,-14.9,-4.22,21.8,606.5,0.0905,0.0558,0.0363,0.0241
2028,anchored,offense,transfer_inclusive,623.48,773.51,1458.5,2993.1,0.9982,0.9975,0.9929,0.947
2028,anchored,offense,resource_only,359.01,445.74,832.6,1699.7,0.9982,0.9967,0.9746,0.816
2028,anchored,balanced,transfer_inclusive,93.44,123.88,299.6,750.9,0.7803,0.6791,0.4747,0.2113
2028,anchored,balanced,resource_only,64.83,82.08,179.9,432.9,0.7866,0.6089,0.2978,0.0781
2028,anchored,defense,transfer_inclusive,-151.37,-186.08,-43.6,19.6,0.0083,0.0039,0.0018,0.0008
2028,anchored,defense,resource_only,-72.77,-91.38,-11.2,27.6,0.0118,0.0028,0.001,0.0004
2028,anchored,cession,transfer_inclusive,-124.85,-156.96,8.3,208.1,0.0761,0.0517,0.0274,0.0106
2028,anchored,cession,resource_only,-36.63,-49.54,16.5,91.6,0.069,0.0261,0.0086,0.0028
2028,fresh,offense,transfer_inclusive,629.2,792.09,1479.7,3380.9,0.9997,0.999,0.9947,0.95
2028,fresh,offense,resource_only,362.63,456.03,846.2,1876.7,0.9996,0.9983,0.977,0.8211
2028,fresh,balanced,transfer_inclusive,102.34,174.48,353.8,2202.3,0.7984,0.7032,0.5086,0.2478
2028,fresh,balanced,resource_only,69.75,109.17,209.9,1153.0,0.8046,0.637,0.3344,0.1094
2028,fresh,defense,transfer_inclusive,-140.48,-130.64,-21.8,1469.5,0.0536,0.0461,0.039,0.0315
2028,fresh,defense,resource_only,-66.76,-61.77,1.6,782.2,0.0558,0.0417,0.0328,0.0244
2028,fresh,cession,transfer_inclusive,-116.45,-112.76,34.0,1236.5,0.1105,0.0848,0.0569,0.0349
2028,fresh,cession,resource_only,-33.42,-34.19,25.3,419.6,0.1009,0.0539,0.0297,0.0176
