test,true,pred,delta,kind
Hon. C. Chiasson#c0,Hon. C. Chiasson,Hon. Ms. Thériault,0.7254,loo-2025
Hon. C. Chiasson#c1,Hon. C. Chiasson,Mr. Hogan,0.8609,loo-2025
Hon. C. Chiasson#c2,Hon. C. Chiasson,Hon. C. Chiasson,0.72,loo-2025
Hon. C. Johnson#c0,Hon. C. Johnson,Hon. C. Johnson,0.7163,loo-2025
Hon. C. Johnson#c1,Hon. C. Johnson,Hon. C. Johnson,0.5779,loo-2025
Hon. C. Johnson#c2,Hon. C. Johnson,Hon. C. Johnson,0.6417,loo-2025
Hon. C. Johnson#c3,Hon. C. Johnson,Hon. C. Johnson,0.7164,loo-2025
Hon. C. Johnson#c4,Hon. C. Johnson,Hon. C. Johnson,0.7673,loo-2025
Hon. C. Johnson#c5,Hon. C. Johnson,Hon. C. Johnson,0.6356,loo-2025
Hon. C. Johnson#c6,Hon. C. Johnson,Mr. Russell,0.5908,loo-2025
Hon. C. Johnson#c7,Hon. C. Johnson,Hon. Ms. Boudreau,0.6526,loo-2025
Hon. Mr. Dornan#c0,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6273,loo-2025
Hon. Mr. Dornan#c1,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6602,loo-2025
Hon. Mr. Dornan#c2,Hon. Mr. Dornan,Hon. Mr. Dornan,0.5731,loo-2025
Hon. Mr. Dornan#c3,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6653,loo-2025
Hon. Mr. Dornan#c4,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6913,loo-2025
Hon. Mr. Dornan#c5,Hon. Mr. Dornan,Hon. Mr. Dornan,0.579,loo-2025
Hon. Mr. Dornan#c6,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6126,loo-2025
Hon. Mr. Dornan#c7,Hon. Mr. Dornan,Hon. Ms. Miles,0.6933,loo-2025
Hon. Mr. Dornan#c8,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6558,loo-2025
Hon. Mr. Dornan#c9,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6529,loo-2025
Hon. Mr. Dornan#c10,Hon. Mr. Dornan,Hon. Ms. Boudreau,0.6982,loo-2025
Hon. Mr. Dornan#c11,Hon. Mr. Dornan,Mr. Russell,0.7482,loo-2025
Hon. Mr. Dornan#c12,Hon. Mr. Dornan,Hon. Mr. Dornan,0.7427,loo-2025
Hon. Mr. Dornan#c13,Hon. Mr. Dornan,Hon. Mr. Dornan,0.7488,loo-2025
Hon. Mr. Dornan#c14,Hon. Mr. Dornan,Hon. Mr. McKee,0.7377,loo-2025
Hon. Mr. Dornan#c15,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6197,loo-2025
Hon. Mr. Dornan#c16,Hon. Mr. Dornan,Hon. Mr. Dornan,0.7651,loo-2025
Hon. Mr. Dornan#c17,Hon. Mr. Dornan,Hon. Mr. Dornan,0.5526,loo-2025
Hon. Mr. Dornan#c18,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6123,loo-2025
