half_decade,egp,mean_z,se,n_members
1995-1999,I,-0.0099,0.0442,352
1995-1999,II,0.1454,0.0550,299
1995-1999,III,-0.0328,0.1488,26
1995-1999,IVab,-0.1007,0.1703,44
2000-2004,I,-0.0602,0.0460,357
2000-2004,II,0.0241,0.0548,303
2000-2004,III,0.2056,0.1386,26
2000-2004,IVab,-0.1340,0.1528,40
2005-2009,I,-0.0979,0.0364,647
2005-2009,II,0.1168,0.0320,829
2005-2009,III,0.2120,0.1221,63
2005-2009,IVab,-0.1084,0.0745,149
2005-2009,IVc,-0.2786,0.0874,98
2005-2009,V/VI,0.0167,0.1118,90
2005-2009,VIIab,-0.1420,0.1342,49
2010-2014,I,-0.0940,0.0364,642
2010-2014,II,0.1017,0.0318,866
2010-2014,III,0.0991,0.1214,69
2010-2014,IVab,0.0121,0.0621,166
2010-2014,IVc,-0.2094,0.0828,80
2010-2014,V/VI,-0.0794,0.0774,94
2010-2014,VIIab,-0.1486,0.1298,43
2015-2019,I,0.0077,0.0322,857
2015-2019,II,0.0898,0.0280,1066
2015-2019,III,0.1393,0.1061,81
2015-2019,IVab,0.0566,0.0549,250
2015-2019,IVc,-0.2912,0.1003,93
2015-2019,V/VI,-0.0372,0.0805,113
2015-2019,VIIab,-0.3137,0.1274,54
2020-2024,I,-0.0619,0.0335,740
2020-2024,II,0.0749,0.0285,968
2020-2024,III,0.1553,0.1091,63
2020-2024,IVab,-0.0722,0.0600,221
2020-2024,IVc,-0.2378,0.1047,73
2020-2024,V/VI,-0.1497,0.0883,99
2020-2024,VIIab,-0.3347,0.1855,39
