half_decade,egp,mean_z,se,n_members,partial
1995-1999,I,-0.0099,0.0442,352,0
1995-1999,II,0.1454,0.0550,299,0
1995-1999,III,-0.0328,0.1488,26,0
1995-1999,IVab,-0.1007,0.1703,44,0
1995-1999,IVc,-0.3523,0.2553,13,0
1995-1999,V/VI,-0.2740,0.1847,22,0
1995-1999,VIIab,-0.0537,0.1907,23,0
2000-2004,I,-0.0602,0.0460,357,0
2000-2004,II,0.0241,0.0548,303,0
2000-2004,III,0.2056,0.1386,26,0
2000-2004,IVab,-0.1340,0.1528,40,0
2000-2004,IVc,-0.1632,0.1904,12,0
2000-2004,V/VI,-0.3254,0.1667,19,0
2000-2004,VIIab,-0.2732,0.2043,19,0
2005-2009,I,-0.0979,0.0364,647,0
2005-2009,II,0.1168,0.0320,829,0
2005-2009,III,0.2120,0.1221,63,0
2005-2009,IVab,-0.1084,0.0745,149,0
2005-2009,IVc,-0.2786,0.0874,98,0
2005-2009,V/VI,0.0167,0.1118,90,0
2005-2009,VIIab,-0.1420,0.1342,49,0
2010-2014,I,-0.0940,0.0364,642,0
2010-2014,II,0.1017,0.0318,866,0
2010-2014,III,0.0991,0.1214,69,0
2010-2014,IVab,0.0121,0.0621,166,0
2010-2014,IVc,-0.2094,0.0828,80,0
2010-2014,V/VI,-0.0794,0.0774,94,0
2010-2014,VIIab,-0.1486,0.1298,43,0
2015-2019,I,0.0077,0.0322,857,0
2015-2019,II,0.0898,0.0280,1066,0
2015-2019,III,0.1393,0.1061,81,0
2015-2019,IVab,0.0566,0.0549,250,0
2015-2019,IVc,-0.2912,0.1003,93,0
2015-2019,V/VI,-0.0372,0.0805,113,0
2015-2019,VIIab,-0.3137,0.1274,54,0
2020-2024,I,-0.0619,0.0335,740,0
2020-2024,II,0.0749,0.0285,968,0
2020-2024,III,0.1553,0.1091,63,0
2020-2024,IVab,-0.0722,0.0600,221,0
2020-2024,IVc,-0.2378,0.1047,73,0
2020-2024,V/VI,-0.1497,0.0883,99,0
2020-2024,VIIab,-0.3347,0.1855,39,0
2025-2026,I,-0.0677,0.0466,463,1
2025-2026,II,0.0632,0.0394,538,1
2025-2026,III,0.5523,0.1684,30,1
2025-2026,IVab,-0.1566,0.0913,123,1
2025-2026,IVc,-0.3113,0.1371,39,1
2025-2026,V/VI,0.1375,0.1143,56,1
2025-2026,VIIab,0.0654,0.2849,17,1
