half_decade,group,mean_z,se,n_members
1995-1999,I,-0.0099,0.0442,352
1995-1999,II,0.1454,0.0550,299
1995-1999,III,-0.0328,0.1488,26
1995-1999,IVab,-0.1007,0.1703,44
1995-1999,manual+farm,-0.2042,0.1170,58
2000-2004,I,-0.0602,0.0460,357
2000-2004,II,0.0241,0.0548,303
2000-2004,III,0.2056,0.1386,26
2000-2004,IVab,-0.1340,0.1528,40
2000-2004,manual+farm,-0.2666,0.1083,50
2005-2009,I,-0.0979,0.0364,647
2005-2009,II,0.1168,0.0320,829
2005-2009,III,0.2120,0.1221,63
2005-2009,IVab,-0.1084,0.0745,149
2005-2009,manual+farm,-0.1382,0.0626,237
2010-2014,I,-0.0940,0.0364,642
2010-2014,II,0.1017,0.0318,866
2010-2014,III,0.0991,0.1214,69
2010-2014,IVab,0.0121,0.0621,166
2010-2014,manual+farm,-0.1411,0.0520,217
2015-2019,I,0.0077,0.0322,857
2015-2019,II,0.0898,0.0280,1066
2015-2019,III,0.1393,0.1061,81
2015-2019,IVab,0.0566,0.0549,250
2015-2019,manual+farm,-0.1855,0.0570,260
2020-2024,I,-0.0619,0.0335,740
2020-2024,II,0.0749,0.0285,968
2020-2024,III,0.1553,0.1091,63
2020-2024,IVab,-0.0722,0.0600,221
2020-2024,manual+farm,-0.2144,0.0647,211
