chamber,gap_2006,gap_2026,change,pct_per_year
UK Commons,655,1444,2.2,4.0
Scotland,605,1058,1.75,2.8
Northern Ireland,739,1165,1.58,2.3
Wales,1276,1961,1.54,2.2
Saskatchewan,1612,2145,1.33,1.4
British Columbia,1542,2049,1.33,1.4
Manitoba,1636,2136,1.31,1.3
Western Australia,1366,1751,1.28,1.3
Victoria,1619,2043,1.26,1.2
Queensland,1746,2199,1.26,1.2
Tasmania,1631,2049,1.26,1.1
Nova Scotia,1811,2265,1.25,1.1
New South Wales,1276,1593,1.25,1.1
Alberta,1746,2125,1.22,1.0
Ontario,1707,2013,1.18,0.8
Newfoundland & Labrador,1436,1532,1.07,0.3
US Senate,1590,1562,0.98,-0.1
Prince Edward Island,1589,1523,0.96,-0.2
US House,1794,1709,0.95,-0.2
