blind_id,ai_guess,tail
S000,55,"55"
S001,58,"58"
S002,45,"45"
S003,15,"15"
S004,57,"57"
S005,40,"40"
S006,58,"58"
S007,35,"35"
S008,65,"65"
S009,58,"58"
S010,30,"30"
S011,70,"70"
S012,48,"48"
S013,30,"30"
S014,35,"35"
S015,30,"30"
S016,60,"60"
S017,30,"30"
S018,45,"45"
S019,30,"30"
S020,30,"30"
S021,30,"30"
S022,30,"30"
S023,35,"35"
S024,55,"55"
S025,68,"68"
S026,45,"45"
S027,30,"30"
S028,35,"35"
S029,45,"45"
S030,30,"30"
S031,70,"70"
S032,45,"45"
S033,30,"30"
S034,30,"30"
S035,45,"45"
S036,35,"35"
S037,45,"45"
S038,30,"30"
S039,35,"35"
S040,65,"65"
S041,35,"35"
S042,60,"60"
S043,60,"60"
S044,30,"30"
S045,30,"30"
S046,30,"30"
S047,48,"48"
S048,25,"25"
S049,60,"60"
S050,35,"35"
S051,30,"30"
S052,40,"40"
S053,20,"20"
S054,30,"30"
S055,35,"35"
S056,45,"45"
S057,68,"68"
S058,30,"30"
S059,60,"60"
S060,35,"35"
S061,40,"40"
S062,35,"35"
S063,30,"30"
S064,30,"30"
S065,30,"30"
S066,40,"40"
S067,45,"45"
S068,20,"20"
S069,65,"65"
S070,38,"38"
S071,65,"65"
S072,30,"30"
S073,40,"40"
S074,30,"30"
S075,48,"48"
S076,30,"30"
S077,45,"45"
S078,45,"45"
S079,30,"30"
S080,38,"38"
S081,45,"45"
S082,65,"65"
S083,65,"65"
S084,30,"30"
S085,45,"45"
S086,30,"30"
S087,35,"35"
S088,45,"45"
S089,85,"85"
S090,30,"30"
S091,35,"35"
S092,35,"35"
S093,35,"35"
S094,65,"65"
S095,35,"35"
S096,58,"58"
S097,35,"35"
S098,35,"35"
S099,48,"48"
S100,60,"60"
S101,30,"30"
S102,35,"35"
S103,20,"20"
S104,30,"30"
S105,45,"45"
S106,65,"65"
S107,20,"20"
S108,40,"40"
S109,60,"60"
S110,55,"55"
S111,45,"45"
S112,40,"40"
S113,30,"30"
S114,40,"40"
S115,20,"20"
S116,55,"55"
S117,60,"60"
S118,38,"38"
S119,45,"45"
S120,30,"30"
S121,70,"70"
S122,30,"30"
S123,30,"30"
S124,55,"55"
S125,45,"45"
S126,30,"30"
S127,35,"35"
S128,30,"30"
S129,35,"35"
S130,35,"35"
S131,48,"48"
S132,30,"30"
S133,60,"60"
S134,60,"60"
S135,45,"45"
S136,60,"60"
S137,35,"35"
S138,45,"45"
S139,68,"68"
S140,60,"60"
S141,30,"30"
S142,35,"35"
S143,35,"35"
S144,40,"40"
S145,40,"40"
S146,58,"58"
S147,35,"35"
S148,20,"20"
S149,30,"30"
S150,45,"45"
S151,30,"30"
S152,30,"30"
S153,30,"30"
S154,65,"65"
S155,30,"30"
S156,30,"30"
S157,35,"35"
S158,40,"40"
S159,30,"30"
S160,55,"55"
S161,45,"45"
S162,58,"58"
S163,40,"40"
S164,30,"30"
S165,42,"42"
S166,48,"48"
S167,30,"30"
S168,40,"40"
S169,48,"48"
S170,58,"58"
S171,40,"40"
S172,48,"48"
S173,45,"45"
S174,60,"60"
S175,40,"40"
S176,35,"35"
S177,30,"30"
S178,45,"45"
S179,45,"45"
S180,30,"30"
S181,35,"35"
S182,48,"48"
S183,35,"35"
S184,48,"48"
S185,35,"35"
S186,58,"58"
S187,40,"40"
S188,45,"45"
S189,40,"40"
S190,45,"45"
S191,40,"40"
S192,35,"35"
S193,45,"45"
S194,45,"45"
S195,58,"58"
S196,60,"60"
S197,30,"30"
S198,45,"45"
S199,45,"45"
S200,20,"20"
S201,70,"70"
S202,45,"45"
S203,40,"40"
S204,40,"40"
S205,30,"30"
S206,45,"45"
S207,45,"45"
S208,35,"35"
S209,45,"45"
S210,45,"45"
S211,20,"20"
S212,45,"45"
S213,65,"65"
S214,40,"40"
S215,55,"55"
S216,40,"40"
S217,45,"45"
S218,45,"45"
S219,60,"60"
S220,42,"42"
S221,60,"60"
S222,75,"75"
S223,58,"58"
S224,38,"38"
S225,65,"65"
S226,30,"30"
S227,45,"45"
S228,70,"70"
S229,30,"30"
S230,35,"35"
S231,55,"55"
S232,65,"65"
S233,45,"45"
S234,60,"60"
S235,32,"32"
S236,30,"30"
S237,57,"57"
S238,40,"40"
S239,58,"58"
S240,35,"35"
