blind_id,ai_guess,tail
S000,45,"45"
S001,45,"45"
S002,30,"30"
S003,30,"30"
S004,65,"65"
S005,30,"30"
S006,62,"62"
S007,35,"35"
S008,72,"72"
S009,45,"45"
S010,40,"40"
S011,30,"30"
S012,45,"45"
S013,35,"35"
S014,45,"45"
S015,40,"40"
S016,65,"65"
S017,35,"35"
S018,35,"35"
S019,20,"20"
S020,55,"55"
S021,40,"40"
S022,30,"30"
S023,30,"30"
S024,45,"45"
S025,70,"70"
S026,38,"38"
S027,30,"30"
S028,35,"35"
S029,45,"45"
S030,30,"30"
S031,70,"70"
S032,35,"35"
S033,35,"35"
S034,30,"30"
S035,45,"45"
S036,30,"30"
S037,45,"45"
S038,30,"30"
S039,65,"65"
S040,65,"65"
S041,40,"40"
S042,35,"35"
S043,45,"45"
S044,60,"60"
S045,35,"35"
S046,30,"30"
S047,35,"35"
S048,35,"35"
S049,60,"60"
S050,60,"60"
S051,30,"30"
S052,40,"40"
S053,30,"30"
S054,30,"30"
S055,35,"35"
S056,60,"60"
S057,68,"68"
S058,25,"25"
S059,45,"45"
S060,60,"60"
S061,30,"30"
S062,35,"35"
S063,30,"30"
S064,35,"35"
S065,40,"40"
S066,35,"35"
S067,35,"35"
S068,30,"30"
S069,48,"48"
S070,65,"65"
S071,80,"80"
S072,30,"30"
S073,65,"65"
S074,60,"60"
S075,48,"48"
S076,20,"20"
S077,35,"35"
S078,45,"45"
S079,30,"30"
S080,30,"30"
S081,45,"45"
S082,60,"60"
S083,65,"65"
S084,30,"30"
S085,30,"30"
S086,30,"30"
S087,35,"35"
S088,48,"48"
S089,80,"80"
S090,35,"35"
S091,30,"30"
S092,30,"30"
S093,45,"45"
S094,45,"45"
S095,30,"30"
S096,45,"45"
S097,30,"30"
S098,38,"38"
S099,70,"70"
S100,35,"35"
S101,65,"65"
S102,35,"35"
S103,35,"35"
S104,40,"40"
S105,45,"45"
S106,48,"48"
S107,35,"35"
S108,30,"30"
S109,60,"60"
S110,35,"35"
S111,45,"45"
S112,45,"45"
S113,30,"30"
S114,30,"30"
S115,35,"35"
S116,30,"30"
S117,35,"35"
S118,35,"35"
S119,38,"38"
S120,30,"30"
S121,70,"70"
S122,45,"45"
S123,30,"30"
S124,40,"40"
S125,45,"45"
S126,48,"48"
S127,30,"30"
S128,48,"48"
S129,30,"30"
S130,30,"30"
S131,45,"45"
S132,45,"45"
S133,40,"40"
S134,70,"70"
S135,45,"45"
S136,60,"60"
S137,45,"45"
S138,55,"55"
S139,70,"70"
S140,55,"55"
S141,45,"45"
S142,35,"35"
S143,30,"30"
S144,30,"30"
S145,35,"35"
S146,45,"45"
S147,30,"30"
S148,20,"20"
S149,35,"35"
S150,45,"45"
S151,30,"30"
S152,30,"30"
S153,35,"35"
S154,55,"55"
S155,30,"30"
S156,30,"30"
S157,40,"40"
S158,30,"30"
S159,35,"35"
S160,40,"40"
S161,60,"60"
S162,58,"58"
S163,40,"40"
S164,30,"30"
S165,45,"45"
S166,30,"30"
S167,30,"30"
S168,30,"30"
S169,40,"40"
S170,70,"70"
S171,45,"45"
S172,35,"35"
S173,45,"45"
S174,40,"40"
S175,35,"35"
S176,30,"30"
S177,30,"30"
S178,55,"55"
S179,45,"45"
S180,30,"30"
S181,30,"30"
S182,30,"30"
S183,35,"35"
S184,45,"45"
S185,30,"30"
S186,45,"45"
S187,45,"45"
S188,35,"35"
S189,48,"48"
S190,45,"45"
S191,35,"35"
S192,45,"45"
S193,58,"58"
S194,30,"30"
S195,45,"45"
S196,45,"45"
S197,30,"30"
S198,45,"45"
S199,60,"60"
S200,30,"30"
S201,65,"65"
S202,45,"45"
S203,40,"40"
S204,42,"42"
S205,30,"30"
S206,48,"48"
S207,30,"30"
S208,65,"65"
S209,45,"45"
S210,45,"45"
S211,15,"15"
S212,20,"20"
S213,35,"35"
S214,45,"45"
S215,45,"45"
S216,30,"30"
S217,45,"45"
S218,45,"45"
S219,45,"45"
S220,60,"60"
S221,45,"45"
S222,70,"70"
S223,60,"60"
S224,45,"45"
S225,40,"40"
S226,30,"30"
S227,45,"45"
S228,65,"65"
S229,30,"30"
S230,40,"40"
S231,55,"55"
S232,65,"65"
S233,45,"45"
S234,58,"58"
S235,65,"65"
S236,40,"40"
S237,45,"45"
S238,30,"30"
S239,60,"60"
S240,30,"30"
