blind_id,ai_guess,tail
S000,15,"15"
S001,15,"15"
S002,30,"30"
S003,15,"15"
S004,30,"30"
S005,15,"15"
S006,30,"30"
S007,15,"15"
S008,30,"30"
S009,15,"15"
S010,15,"15"
S011,30,"30"
S012,15,"15"
S013,15,"15"
S014,15,"15"
S015,30,"30"
S016,30,"30"
S017,30,"30"
S018,15,"15"
S019,30,"30"
S020,15,"15"
S021,15,"15"
S022,15,"15"
S023,15,"15"
S024,30,"30"
S025,30,"30"
S026,15,"15"
S027,15,"15"
S028,30,"30"
S029,30,"30"
S030,15,"15"
S031,30,"30"
S032,30,"30"
S033,15,"15"
S034,15,"15"
S035,30,"30"
S036,30,"30"
S037,15,"15"
S038,30,"30"
S039,40,"40"
S040,30,"30"
S041,20,"20"
S042,15,"15"
S043,15,"15"
S044,40,"40"
S045,15,"15"
S046,20,"20"
S047,40,"40"
S048,15,"15"
S049,30,"30"
S050,15,"15"
S051,30,"30"
S052,30,"30"
S053,15,"15"
S054,30,"30"
S055,10,"10"
S056,30,"30"
S057,40,"40"
S058,15,"15"
S059,30,"30"
S060,15,"15"
S061,30,"30"
S062,15,"15"
S063,15,"15"
S064,30,"30"
S065,15,"15"
S066,30,"30"
S067,40,"40"
S068,15,"15"
S069,30,"30"
S070,15,"15"
S071,70,"70"
S072,15,"15"
S073,20,"20"
S074,15,"15"
S075,30,"30"
S076,30,"30"
S077,40,"40"
S078,30,"30"
S079,15,"15"
S080,15,"15"
S081,10,"10"
S082,15,"15"
S083,20,"20"
S084,15,"15"
S085,30,"30"
S086,15,"15"
S087,30,"30"
S088,15,"15"
S089,30,"30"
S090,30,"30"
S091,15,"15"
S092,30,"30"
S093,30,"30"
S094,15,"15"
S095,15,"15"
S096,15,"15"
S097,30,"30"
S098,30,"30"
S099,15,"15"
S100,30,"30"
S101,15,"15"
S102,30,"30"
S103,30,"30"
S104,30,"30"
S105,30,"30"
S106,40,"40"
S107,15,"15"
S108,15,"15"
S109,30,"30"
S110,15,"15"
S111,15,"15"
S112,10,"10"
S113,30,"30"
S114,15,"15"
S115,10,"10"
S116,15,"15"
S117,30,"30"
S118,10,"10"
S119,40,"40"
S120,15,"15"
S121,40,"40"
S122,30,"30"
S123,15,"15"
S124,15,"15"
S125,30,"30"
S126,20,"20"
S127,15,"15"
S128,3,"3"
S129,15,"15"
S130,30,"30"
S131,15,"15"
S132,15,"15"
S133,15,"15"
S134,30,"30"
S135,15,"15"
S136,15,"15"
S137,30,"30"
S138,30,"30"
S139,40,"40"
S140,15,"15"
S141,10,"10"
S142,15,"15"
S143,10,"10"
S144,20,"20"
S145,30,"30"
S146,30,"30"
S147,30,"30"
S148,15,"15"
S149,30,"30"
S150,20,"20"
S151,15,"15"
S152,15,"15"
S153,15,"15"
S154,40,"40"
S155,20,"20"
S156,30,"30"
S157,30,"30"
S158,20,"20"
S159,15,"15"
S160,30,"30"
S161,15,"15"
S162,30,"30"
S163,30,"30"
S164,15,"15"
S165,30,"30"
S166,30,"30"
S167,15,"15"
S168,15,"15"
S169,30,"30"
S170,15,"15"
S171,30,"30"
S172,15,"15"
S173,30,"30"
S174,30,"30"
S175,30,"30"
S176,20,"20"
S177,30,"30"
S178,40,"40"
S179,15,"15"
S180,30,"30"
S181,15,"15"
S182,15,"15"
S183,15,"15"
S184,20,"20"
S185,30,"30"
S186,15,"15"
S187,20,"20"
S188,10,"10"
S189,15,"15"
S190,15,"15"
S191,40,"40"
S192,15,"15"
S193,30,"30"
S194,15,"15"
S195,15,"15"
S196,15,"15"
S197,30,"30"
S198,30,"30"
S199,15,"15"
S200,15,"15"
S201,40,"40"
S202,30,"30"
S203,15,"15"
S204,15,"15"
S205,15,"15"
S206,30,"30"
S207,30,"30"
S208,15,"15"
S209,10,"10"
S210,40,"40"
S211,10,"10"
S212,15,"15"
S213,10,"10"
S214,40,"40"
S215,20,"20"
S216,15,"15"
S217,40,"40"
S218,20,"20"
S219,15,"15"
S220,15,"15"
S221,15,"15"
S222,30,"30"
S223,30,"30"
S224,15,"15"
S225,15,"15"
S226,15,"15"
S227,30,"30"
S228,30,"30"
S229,30,"30"
S230,15,"15"
S231,15,"15"
S232,30,"30"
S233,15,"15"
S234,15,"15"
S235,30,"30"
S236,15,"15"
S237,15,"15"
S238,15,"15"
S239,30,"30"
S240,15,"15"
