seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr,binoc
ctl|SAHA2007-03-07#t112w0,,control|SA,359,,422,2.52395,0.40643,2.05569,0.98364
ctl|SAHA2007-07-05#t85w0,,control|SA,144,,174,2.80246,0.40797,2.0523,0.97381
ctl|SAHA2007-10-17#t30w2,,control|SA,331,,403,2.72743,0.85001,1.97945,0.96789
ctl|SAHA2007-10-24#t96w0,,control|SA,135,,148,3.18965,0.07691,1.85363,0.99573
ctl|SAHA2007-11-14#tx045t0w0,,control|SA,310,,357,2.80094,-1.09116,2.01948,1.0435
ctl|SAHA2007-11-22#t155w3,,control|SA,283,,319,2.61181,0.9986,2.06171,0.95658
ctl|SAHA2008-02-13#t198w9,,control|SA,359,,417,2.9431,-0.72501,2.0166,1.02577
ctl|SAHA2008-02-14#t53w3,,control|SA,361,,432,2.50685,-0.05339,2.08603,1.0006
ctl|SAHA2008-02-26#t132w0,,control|SA,357,,439,3.11334,-1.87699,1.91029,1.06256
ctl|SAHA2008-02-27#t19w0,,control|SA,346,,411,2.59698,0.02612,2.02384,0.99849
ctl|SAHA2008-02-27#t65w0,,control|SA,157,,185,2.7792,-0.31777,2.00466,1.01657
ctl|SAHA2008-03-06#tx018t1w1,,control|SA,310,,421,2.792,-2.08093,1.97511,1.08124
ctl|SAHA2008-04-29#t6w0,,control|SA,336,,381,2.85792,-0.5207,1.99596,1.01842
ctl|SAHA2008-04-29#t162w12,,control|SA,359,,415,2.81163,-0.26085,2.05397,1.00958
ctl|SAHA2008-04-30#t138w5,,control|SA,241,,341,2.53516,-0.72581,2.0446,1.03053
ctl|SAHA2008-06-05#t9w1,,control|SA,352,,401,2.45496,1.30856,2.1317,0.94759
ctl|SAHA2015-09-10#t33w1,,control|SA,296,,350,3.03023,-0.91267,1.95339,1.03675
ctl|SAHA2016-10-20#t183w0,,control|SA,338,,428,2.22808,0.32302,2.06494,0.98487
ctl|SAHA2018-05-15#t2w5,,control|SA,342,,378,2.65378,0.07784,2.03241,0.99566
ctl|SAHA2018-05-15#t143w0,,control|SA,351,,451,2.96511,-0.93254,1.96577,1.03202
ctl|SAHA2018-05-16#t209w1,,control|SA,344,,397,2.9693,-0.85577,1.98993,1.03077
ctl|SAHA2018-05-30#t12w1,,control|SA,359,,413,2.61341,-0.14231,2.06888,1.00455
ctl|SAHA2018-06-05#t165w3,,control|SA,331,,369,2.91369,-0.07099,2.06758,1.00198
ctl|SAHA2018-07-25#t5w1,,control|SA,327,,382,2.46543,0.73769,2.11889,0.96778
ctl|SAHA2018-09-05#t59w0,,control|SA,345,,419,2.88055,0.06709,1.96981,0.99622
ctl|SAHA2018-09-18#t257w4,,control|SA,331,,454,2.38032,1.28375,2.06847,0.9513
ctl|SAHA2018-10-17#t25w2,,control|SA,351,,438,2.79981,0.56804,1.99629,0.9789
ctl|SAHA2018-10-23#t143w0,,control|SA,336,,392,2.81919,-0.13491,1.98246,1.00439
ctl|SAHA2018-11-07#t10w0,,control|SA,178,,205,2.87632,0.88551,1.98528,0.95674
ctl|SAHA2018-11-14#t142w1,,control|SA,180,,207,2.7401,0.71482,2.01859,0.96285
ctl|SAHA2018-11-14#t160w1,,control|SA,344,,446,2.62229,-0.33733,1.99596,1.01226
ctl|SAHA2019-02-26#t173w1,,control|SA,352,,392,2.83721,-0.70322,2.01176,1.0264
ctl|SAHA2019-04-30#t1w0,,control|SA,350,,433,2.52695,-0.08387,1.98538,1.00134
ctl|SAHA2019-06-18#t3w2,,control|SA,344,,409,2.70003,0.05824,1.95702,0.99744
ctl|SAHA2019-07-02#t9w1,,control|SA,329,,389,2.62352,0.06842,2.03023,0.99657
ctl|SAHA2019-07-23#t61w0,,control|SA,149,,173,3.02272,-0.79772,1.94426,1.04414
ctl|SAHA2019-07-31#t193w0,,control|SA,319,,367,2.32689,1.29143,2.15614,0.94143
ctl|SAHA2019-10-29#t5w4,,control|SA,356,,402,2.82153,0.79095,2.04613,0.96981
ctl|SAHA2019-10-29#t161w6,,control|SA,299,,398,2.7087,-0.81998,2.01099,1.03337
ctl|SALC2006-05-09#t68w0,,control|SA,268,,297,2.7968,0.75192,2.04351,0.96533
ctl|SALC2006-05-09#t85w0,,control|SA,354,,412,2.69221,2.2509,2.01083,0.9166
ctl|SALC2006-11-20#t1w0,,control|SA,120,,141,3.02395,-0.84779,1.99746,1.05526
ctl|SALC2006-11-20#t36w0,,control|SA,213,,244,2.69315,0.39118,2.01298,0.98025
ctl|SALC2006-12-06#t174w2,,control|SA,358,,421,2.61337,0.1058,2.05292,0.99637
ctl|SALC2007-10-16#t6w0,,control|SA,348,,397,2.72671,0.05501,2.08201,0.99703
ctl|SALC2008-05-01#t11w0,,control|SA,137,,156,2.63408,2.07819,2.01831,0.8735
ctl|SALC2008-05-01#t71w0,,control|SA,134,,160,3.19621,-0.25379,1.97095,1.01335
ctl|SALC2008-05-08#t16w5,,control|SA,349,,412,2.55744,0.87393,2.09419,0.96552
ctl|SALC2009-11-18#t133w0,,control|SA,326,,384,2.64068,1.11508,1.979,0.95587
ctl|SALC2009-11-18#t275w0,,control|SA,122,,141,2.61578,1.07271,1.97597,0.92957
ctl|SALC2010-11-10#t147w1,,control|SA,340,,404,2.82422,-0.97056,2.0077,1.03528
ctl|SALC2010-11-11#t22w0,,control|SA,338,,404,2.53834,0.27528,1.98605,0.98785
ctl|SALC2010-11-24#t228w2,,control|SA,344,,430,2.67421,-0.93501,1.93103,1.03349
ctl|SALC2016-02-24#t103w11,,control|SA,317,,386,2.34859,0.98928,2.11406,0.95619
ctl|SALC2018-06-19#t46w0,,control|SA,216,,257,3.08958,-0.71346,1.95214,1.03123
ctl|SALC2018-07-31#t88w1,,control|SA,141,,163,3.13818,-1.43543,1.92774,1.09093
ctl|SALC2018-11-13#t96w0,,control|SA,179,,212,2.36857,1.20419,2.15272,0.92666
ctl|SALC2018-11-28#t127w3,,control|SA,348,,395,2.62274,0.50929,2.0789,0.97872
ctl|SALC2019-07-03#t117w0,,control|SA,192,,220,2.79304,-0.26676,2.06961,1.01506
ctl|SALC2019-09-25#t124w2,,control|SA,187,,220,2.96625,-0.1713,1.98394,1.00718
ctl|TASHA2006-06-20#p2t55w1,,control|TAS,313,,417,2.62057,-1.05873,2.01452,1.03973
ctl|TASHA2006-06-21#p2t1w1,,control|TAS,216,,252,2.98789,-0.15559,1.94707,1.00683
ctl|TASHA2006-09-28#p2t85w0,,control|TAS,265,,303,2.59106,0.62466,2.02216,0.96942
ctl|TASHA2006-11-23#p2t34w1,,control|TAS,162,,188,2.9478,1.0692,1.98359,0.94341
ctl|TASHA2006-11-28#p1t54w0,,control|TAS,153,,185,2.61105,1.66324,2.00444,0.9104
ctl|TASHA2007-03-13#p1t56w0,,control|TAS,187,,234,2.63914,0.26581,2.02668,0.98492
ctl|TASHA2007-03-13#p1t72w0,,control|TAS,126,,148,3.02361,-0.04678,2.02472,1.00415
ctl|TASHA2007-03-13#p2t153w2,,control|TAS,294,,335,3.07741,-1.06093,1.89782,1.04201
ctl|TASHA2007-03-20#p1t40w0,,control|TAS,350,,391,2.50587,0.12307,2.08736,0.99381
ctl|TASHA2007-06-07#p2t0w0,,control|TAS,334,,441,2.06657,2.19169,2.12227,0.90943
ctl|TASHA2007-06-27#p1t8w0,,control|TAS,162,,181,3.24242,-0.18349,1.93093,1.00826
ctl|TASHA2007-07-05#p2t1w0,,control|TAS,130,,156,2.8617,-1.12263,1.98393,1.07358
ctl|TASHA2007-07-05#p2t143w1,,control|TAS,200,,232,2.85174,0.11151,2.09385,0.99306
ctl|TASHA2007-10-31#p2t76w0,,control|TAS,168,,199,2.88535,0.20246,1.9952,0.98748
ctl|TASHA2007-11-20#p2t121w1,,control|TAS,345,,373,2.50316,-0.00902,2.14027,0.9991
ctl|TASHA2008-07-03#p2t251w0,,control|TAS,185,,212,2.93143,0.469,2.00279,0.97589
ctl|TASHA2008-10-28#p2t132w0,,control|TAS,269,,297,3.00521,-0.17343,2.02015,1.00756
ctl|TASHA2008-11-20#p2t108w1,,control|TAS,287,,330,3.14007,-1.22738,1.999,1.05007
ctl|TASHA2009-03-04#p1t99w1,,control|TAS,210,,235,2.85575,-1.07983,1.93319,1.05397
ctl|TASHA2009-03-10#p2t80w0,,control|TAS,127,,145,3.00173,-0.08766,1.96936,1.00274
ctl|TASHA2009-03-11#p2t73w0,,control|TAS,243,,288,2.7928,-0.61757,1.95367,1.02601
ctl|TASHA2009-03-26#p2t41w0,,control|TAS,238,,263,3.2089,-0.98925,1.92053,1.04339
ctl|TASHA2009-05-20#p2t97w0,,control|TAS,359,,435,2.61663,0.35988,2.05692,0.98556
ctl|TASHA2009-05-21#p1t51w0,,control|TAS,214,,248,2.99089,-0.32247,1.91599,1.01418
ctl|TASHA2009-05-21#p2t139w1,,control|TAS,230,,268,2.89148,0.29174,1.98393,0.98553
ctl|TASHA2009-05-27#p2t210w0,,control|TAS,263,,294,3.07512,-0.44848,1.97254,1.01847
ctl|TASHA2009-06-16#p2t14w7,,control|TAS,295,,316,2.74493,-0.01383,2.04539,1.00049
ctl|TASHA2009-07-02#p2t322w3,,control|TAS,345,,393,2.39015,1.04534,2.12351,0.95543
ctl|TASHA2009-09-29#p2t75w0,,control|TAS,128,,162,2.86836,0.58599,1.9669,0.96477
ctl|TASHA2010-06-10#p2t98w0,,control|TAS,364,,448,2.79068,-1.18973,1.99358,1.04378
ctl|TASHA2010-07-08#p2t45w4,,control|TAS,253,,291,2.92262,-1.17941,1.96887,1.04977
ctl|TASHA2010-08-24#p2t55w1,,control|TAS,347,,392,2.60603,-0.28823,1.98022,1.01009
ctl|TASHA2010-08-26#p2t0w0,,control|TAS,314,,402,2.31755,-0.36318,2.08595,1.01382
ctl|TASHA2010-09-23#p2t152w0,,control|TAS,207,,226,3.45666,0.04609,1.83723,0.99769
ctl|TASHA2010-11-10#p1t53w0,,control|TAS,208,,247,3.00516,-0.2104,1.93779,1.00975
ctl|TASHA2010-11-16#p2t92w0,,control|TAS,164,,194,3.05461,1.12739,2.00357,0.94244
ctl|TASHA2015-03-04#p1t3w1,,control|TAS,201,,245,3.08351,-0.521,1.94724,1.02298
ctl|TASHA2015-04-21#p1t127w0,,control|TAS,135,,151,3.06287,-1.0347,1.9081,1.06465
ctl|TASHA2015-06-02#p1t26w1,,control|TAS,336,,425,2.37702,1.21937,2.1717,0.95264
ctl|TASHA2015-06-02#p1t53w3,,control|TAS,317,,381,2.73097,0.87253,2.01866,0.96567
ctl|TASHA2015-06-11#p1t365w0,,control|TAS,131,,147,3.14611,-0.48325,1.93582,1.02633
ctl|TASHA2015-06-17#p1t127w2,,control|TAS,214,,241,2.9855,-0.07823,1.96596,1.00509
ctl|TASHA2015-08-19#p1t120w2,,control|TAS,243,,267,2.92575,0.07938,1.97525,0.99801
ctl|TASHA2015-09-16#p1t38w3,,control|TAS,355,,416,2.73165,0.0071,2.02051,0.99856
ctl|TASHA2015-09-23#p1t83w3,,control|TAS,230,,269,3.47154,-0.82721,1.87685,1.03304
ctl|TASHA2015-09-24#p1t5w0,,control|TAS,168,,209,2.85165,-0.3382,2.04193,1.01659
ctl|TASHA2016-03-17#p1t33w0,,control|TAS,203,,236,3.12432,-1.56643,1.93839,1.07647
ctl|TASHA2016-10-13#p1t82w3,,control|TAS,213,,238,3.22407,0.23519,2.0232,0.98884
ctl|TASHA2017-03-14#p1t80w3,,control|TAS,281,,297,3.18418,-0.63181,1.93478,1.02484
ctl|TASHA2017-05-31#p1t23w0,,control|TAS,317,,368,2.28157,0.37937,2.21335,0.9814
ctl|TASHA2017-05-31#p1t58w7,,control|TAS,297,,380,3.12888,-0.66193,1.88492,1.02281
ctl|TASHA2018-05-24#p1t36w0,,control|TAS,276,,326,3.26395,-0.15359,1.92039,1.00541
ctl|TASHA2018-06-12#p1t110w1,,control|TAS,341,,387,2.39664,1.7449,2.06874,0.92857
ctl|TASHA2018-08-29#p1t48w2,,control|TAS,347,,423,2.3768,0.87833,2.09841,0.96146
ctl|TASHA2018-09-18#p1t74w1,,control|TAS,318,,361,2.92837,-0.22554,1.99066,1.00772
ctl|TASHA2018-09-26#p1t58w0,,control|TAS,232,,267,2.74252,-1.20601,2.01405,1.05866
ctl|TASHA2018-10-16#p1t144w3,,control|TAS,256,,306,3.08979,-0.42177,1.91271,1.01628
ctl|TASHA2019-04-30#p1t218w0,,control|TAS,289,,335,2.50034,0.37566,2.08041,0.98261
ctl|TASHA2019-09-12#p1t133w0,,control|TAS,242,,272,2.67779,0.52907,2.17133,0.97499
ctl|TASHA2019-10-15#p1t43w3,,control|TAS,333,,410,2.84844,-0.56958,1.96972,1.02138
ctl|WAL2015-01-28#t128w1,,control|WAL,352,,422,2.80228,-0.07762,1.98939,1.0022
ctl|WAL2015-02-11#t242w1,,control|WAL,244,,278,2.50909,0.62295,2.0853,0.96772
ctl|WAL2015-03-03#t174w0,,control|WAL,129,,151,2.65795,0.43963,2.05481,0.97552
ctl|WAL2015-03-04#t173w0,,control|WAL,159,,199,2.9575,-0.72739,1.95873,1.03632
ctl|WAL2015-05-06#t243w0,,control|WAL,341,,411,2.6115,0.50719,2.06842,0.97862
ctl|WAL2015-06-17#t186w1,,control|WAL,209,,246,2.58901,0.53018,2.04247,0.97776
ctl|WAL2015-06-23#t99w0,,control|WAL,207,,236,2.63469,-0.55174,2.0078,1.02547
ctl|WAL2015-09-23#t136w1,,control|WAL,229,,278,2.81082,-0.86967,1.98071,1.04357
ctl|WAL2015-10-07#t227w4,,control|WAL,340,,405,2.74909,-0.12754,2.05172,1.00351
ctl|WAL2015-11-04#t197w1,,control|WAL,221,,266,2.60284,1.22031,1.97384,0.94075
ctl|WAL2016-01-20#t130w2,,control|WAL,272,,299,2.4625,0.14697,2.12789,0.99467
ctl|WAL2016-02-02#t138w2,,control|WAL,321,,363,2.61102,0.30736,2.04655,0.98669
ctl|WAL2016-02-03#t27w0,,control|WAL,142,,163,3.14204,0.98275,1.96261,0.95266
ctl|WAL2016-02-03#t202w1,,control|WAL,285,,329,2.44617,-0.40848,2.1015,1.01668
ctl|WAL2016-06-08#t86w0,,control|WAL,127,,144,3.03205,1.77095,2.00346,0.90147
ctl|WAL2016-06-15#t185w2,,control|WAL,311,,354,2.67643,1.29493,2.04442,0.94749
ctl|WAL2016-07-13#t160w0,,control|WAL,250,,289,2.5662,0.47219,2.10997,0.97795
ctl|WAL2016-09-21#t80w0,,control|WAL,231,,266,3.18647,-1.21423,1.95619,1.05383
ctl|WAL2016-11-22#t157w0,,control|WAL,133,,152,2.95884,-0.50044,1.92046,1.03211
ctl|WAL2016-11-22#t192w1,,control|WAL,302,,388,2.83344,0.0987,1.9903,0.9963
ctl|WAL2016-11-23#t196w4,,control|WAL,304,,352,2.55575,-0.73886,2.10061,1.03156
ctl|WAL2016-12-14#t102w0,,control|WAL,183,,225,2.76809,1.29152,2.07629,0.93502
ctl|WAL2017-01-25#t127w0,,control|WAL,259,,335,2.78399,0.44639,1.92837,0.9807
ctl|WAL2017-01-31#t132w1,,control|WAL,134,,160,2.53976,1.73952,2.17403,0.8966
ctl|WAL2017-02-15#t132w1,,control|WAL,123,,147,3.30922,-1.94434,1.90477,1.12016
ctl|WAL2017-02-28#t64w0,,control|WAL,168,,200,2.69649,-0.19072,1.98475,1.01197
ctl|WAL2017-03-08#t162w1,,control|WAL,223,,272,2.71308,-0.13038,1.94522,1.00495
ctl|WAL2017-05-09#t173w2,,control|WAL,289,,328,2.95673,0.06404,1.96824,0.99985
ctl|WAL2017-06-21#t23w0,,control|WAL,195,,226,2.97105,0.18775,1.92949,0.99336
ctl|WAL2017-09-19#t32w0,,control|WAL,158,,190,2.42007,1.51288,2.11327,0.9125
ctl|WAL2017-09-27#t113w2,,control|WAL,359,,420,3.07634,-1.34515,1.94006,1.04878
ctl|WAL2017-12-06#t150w2,,control|WAL,366,,441,3.18407,-0.3062,1.90901,1.00995
ctl|WAL2017-12-06#t234w3,,control|WAL,180,,208,2.96318,0.52738,2.00565,0.97629
ctl|WAL2017-12-12#t96w0,,control|WAL,331,,385,2.75676,-0.22458,2.06269,1.00758
ctl|WAL2018-01-16#t113w0,,control|WAL,287,,338,2.77513,-0.11322,2.04626,1.00502
ctl|WAL2018-01-30#t135w3,,control|WAL,234,,269,2.73579,0.6336,1.95237,0.96987
ctl|WAL2018-01-30#t159w1,,control|WAL,179,,203,2.48102,1.38629,2.15176,0.92371
ctl|WAL2018-01-30#t174w1,,control|WAL,217,,272,2.59481,1.25099,2.06846,0.94326
ctl|WAL2018-02-07#t127w0,,control|WAL,357,,418,2.81355,0.08712,1.97036,0.99613
ctl|WAL2018-02-14#t140w0,,control|WAL,261,,296,3.05955,-1.00648,2.00131,1.04367
ctl|WAL2018-02-27#t136w0,,control|WAL,258,,303,2.8326,-2.13405,2.02356,1.09874
ctl|WAL2018-04-17#t124w0,,control|WAL,223,,279,3.06677,-0.75915,1.99572,1.03262
ctl|WAL2018-04-17#t130w0,,control|WAL,210,,251,2.5713,1.38762,2.13422,0.93362
ctl|WAL2018-04-24#t37w0,,control|WAL,147,,185,2.8315,1.25681,1.99389,0.93267
ctl|WAL2018-04-25#t48w0,,control|WAL,179,,206,3.0249,0.71916,2.02536,0.96548
ctl|WAL2018-05-15#t16w0,,control|WAL,167,,193,2.79531,-0.88087,2.02728,1.05109
ctl|WAL2018-06-05#t146w2,,control|WAL,337,,383,3.00443,-1.38663,1.95587,1.05201
ctl|WAL2018-06-12#t23w0,,control|WAL,293,,373,2.49454,0.41087,2.03767,0.98192
ctl|WAL2018-06-19#t71w2,,control|WAL,142,,170,3.19767,-2.27462,2.01329,1.13218
ctl|WAL2018-09-19#t3w0,,control|WAL,244,,288,2.82693,-0.62903,2.04687,1.02899
ctl|WAL2018-10-09#t89w0,,control|WAL,255,,325,2.80511,-2.4618,2.02208,1.10838
ctl|WAL2018-10-24#t144w0,,control|WAL,261,,326,2.47156,0.66255,2.0744,0.96989
ctl|WAL2019-03-19#t114w0,,control|WAL,362,,437,2.44133,1.99071,2.13911,0.9234
ctl|WAL2019-04-02#t99w1,,control|WAL,274,,307,2.71068,0.77573,2.0196,0.96611
ctl|WAL2019-04-30#t93w3,,control|WAL,272,,304,2.57962,-0.16017,2.06429,1.00557
ctl|WAL2019-05-01#t115w3,,control|WAL,338,,397,2.51672,0.73662,2.12026,0.96997
ctl|WAL2019-05-22#t139w0,,control|WAL,179,,213,2.51422,-0.54966,2.09838,1.03016
ctl|WAL2019-06-18#t84w0,,control|WAL,288,,335,2.78032,0.56967,2.01379,0.97694
ctl|WAL2019-06-19#t147w0,,control|WAL,295,,402,2.8144,0.21587,1.99365,0.9902
ctl|WAL2019-12-11#t145w1,,control|WAL,328,,393,2.79072,0.18304,1.95447,0.99226
ctl|QLD2006-02-15#t161w2,,control|QLD,346,,389,2.84432,0.11961,2.02175,0.99468
ctl|QLD2006-04-20#t142w0,,control|QLD,344,,402,2.7551,0.10873,2.03884,0.99471
ctl|QLD2006-04-21#t187w0,,control|QLD,344,,397,2.39874,-0.33149,2.09012,1.01268
ctl|QLD2006-05-11#t154w0,,control|QLD,246,,287,2.65361,-1.48858,2.03327,1.06989
ctl|QLD2007-02-08#t7w0,,control|QLD,141,,184,2.96507,0.04015,1.92302,0.99771
ctl|QLD2007-02-22#t104w1,,control|QLD,337,,395,2.90768,0.26062,1.9753,0.98967
ctl|QLD2007-04-18#t45w0,,control|QLD,166,,192,2.54793,0.49623,2.13973,0.96971
ctl|QLD2007-06-06#t78w1,,control|QLD,128,,149,2.97224,-0.19265,1.97433,1.00996
ctl|QLD2007-06-06#t97w2,,control|QLD,345,,409,2.87928,-0.26811,1.96372,1.00848
ctl|QLD2007-06-07#t201w0,,control|QLD,328,,427,2.61143,-0.10706,2.02295,1.00282
ctl|QLD2007-08-09#t281w0,,control|QLD,359,,432,2.75451,1.27464,1.97954,0.95337
ctl|QLD2007-08-21#t23w0,,control|QLD,340,,415,2.47439,0.54763,2.05068,0.97702
ctl|QLD2007-10-30#t174w4,,control|QLD,343,,393,2.62679,-0.25586,2.0902,1.00905
ctl|QLD2008-02-28#t199w1,,control|QLD,346,,409,2.64463,0.92746,2.07878,0.96498
ctl|QLD2008-03-12#t144w4,,control|QLD,307,,409,3.15923,-0.81319,1.9043,1.02796
ctl|QLD2008-03-13#t155w0,,control|QLD,362,,421,2.588,0.02443,2.03187,0.99792
ctl|QLD2008-05-13#t192w0,,control|QLD,339,,420,2.62469,-0.4918,2.01627,1.01703
ctl|QLD2008-05-14#t154w1,,control|QLD,340,,378,2.42724,0.97215,2.11127,0.95849
ctl|QLD2008-09-10#t141w7,,control|QLD,323,,373,3.07388,-0.89905,1.98865,1.03314
ctl|QLD2008-11-11#t121w0,,control|QLD,332,,449,2.37643,-1.24633,2.06094,1.04987
ctl|QLD2008-11-25#t113w0,,control|QLD,200,,240,2.88327,-0.85077,1.90199,1.04285
ctl|QLD2008-12-04#t124w3,,control|QLD,197,,233,3.17541,-1.34335,1.94376,1.0676
ctl|QLD2009-02-10#t51w2,,control|QLD,322,,345,2.92628,-0.90559,1.98671,1.03621
ctl|QLD2009-04-22#t128w1,,control|QLD,331,,377,3.005,-1.20966,1.96818,1.0456
ctl|QLD2009-05-21#t43w0,,control|QLD,357,,393,2.73322,-1.11063,2.04354,1.04406
ctl|QLD2009-06-03#t180w0,,control|QLD,341,,425,2.8318,-1.18126,1.95573,1.04264
ctl|QLD2009-06-04#t154w0,,control|QLD,329,,365,2.31726,1.56916,2.13281,0.93414
ctl|QLD2009-08-18#t112w0,,control|QLD,334,,413,2.6289,0.47744,2.03345,0.98139
ctl|QLD2009-11-12#t247w0,,control|QLD,167,,199,2.55463,1.98775,2.0517,0.89482
ctl|QLD2010-02-09#t116w1,,control|QLD,338,,402,2.31866,-1.62856,2.13737,1.06821
ctl|QLD2010-04-14#t223w0,,control|QLD,354,,410,2.48262,0.80611,2.05071,0.96705
ctl|QLD2010-04-15#t22w0,,control|QLD,237,,284,2.50241,-0.80774,2.03148,1.03794
ctl|QLD2010-05-20#t45w0,,control|QLD,124,,143,3.60696,-0.05802,1.88165,1.00258
ctl|QLD2010-06-09#t245w0,,control|QLD,349,,425,2.89492,0.73549,1.99502,0.97259
ctl|QLD2010-09-14#t111w2,,control|QLD,148,,164,2.48473,2.09154,2.14852,0.87683
ctl|QLD2015-03-26#t10w1,,control|QLD,312,,371,2.7313,0.73798,1.96712,0.97034
ctl|QLD2015-05-20#t120w0,,control|QLD,335,,402,2.63426,0.11246,2.02724,0.99458
ctl|QLD2015-07-16#t102w1,,control|QLD,348,,420,2.62874,0.07431,2.0226,0.99568
ctl|QLD2015-10-27#t36w1,,control|QLD,221,,244,2.71887,-0.2123,2.0144,1.00903
ctl|QLD2015-12-01#t158w2,,control|QLD,346,,423,2.61101,1.04275,2.04476,0.96073
ctl|QLD2016-02-18#t103w9,,control|QLD,311,,378,2.61061,0.93489,2.00825,0.95989
ctl|QLD2016-05-24#t128w0,,control|QLD,329,,412,2.4716,-0.09855,2.09891,1.003
ctl|QLD2016-08-16#t4w1,,control|QLD,343,,405,2.8529,0.09561,1.96338,0.99545
ctl|QLD2017-03-21#t178w10,,control|QLD,350,,403,2.9383,0.59851,1.92885,0.97761
ctl|QLD2017-05-10#t188w0,,control|QLD,326,,391,2.36851,1.40014,2.07995,0.94427
ctl|QLD2017-05-23#t182w0,,control|QLD,350,,420,2.75244,0.68919,2.00738,0.9731
ctl|QLD2017-06-14#t114w3,,control|QLD,341,,407,2.53655,-0.4041,2.0615,1.01364
ctl|QLD2017-06-15#t119w0,,control|QLD,361,,437,2.44322,-0.92125,2.09721,1.03512
ctl|QLD2017-06-15#t189w0,,control|QLD,315,,390,2.5104,0.78687,2.05883,0.96747
ctl|QLD2017-08-08#t202w0,,control|QLD,305,,375,3.07012,-1.68238,1.87674,1.06301
ctl|QLD2017-08-09#t135w0,,control|QLD,178,,224,3.15944,-2.341,1.93155,1.12002
ctl|QLD2017-09-05#t191w1,,control|QLD,339,,376,3.06606,-0.33524,1.98409,1.01233
ctl|QLD2017-09-07#t112w0,,control|QLD,317,,392,2.62939,-0.72662,2.0147,1.02707
ctl|QLD2018-03-21#t109w2,,control|QLD,353,,417,2.62211,0.88577,2.02185,0.96657
ctl|QLD2018-11-01#t127w2,,control|QLD,327,,419,2.78293,0.77637,1.93252,0.96939
ctl|QLD2019-02-12#t147w1,,control|QLD,243,,271,2.51334,-0.56326,2.15307,1.02891
ctl|QLD2019-03-26#t177w1,,control|QLD,328,,373,2.99684,-0.98877,1.92904,1.03689
ctl|QLD2019-06-14#t74w1,,control|QLD,287,,356,3.10931,-1.94725,1.89928,1.07453
ctl|QLD2019-08-21#t19w0,,control|QLD,123,,151,2.75253,-1.93405,1.96615,1.12212
ctl|QLD2019-11-28#t138w1,,control|QLD,369,,460,2.61996,-0.76709,2.01604,1.02693
ctl|NSWLA2006-03-02#t2w3,,control|NSW,344,,417,2.97841,-1.20581,1.92863,1.04408
ctl|NSWLA2006-03-29#t18w3,,control|NSW,322,,373,2.59175,1.53115,2.07415,0.937
ctl|NSWLA2006-05-23#t103w0,,control|NSW,175,,215,2.98711,-2.05455,1.86386,1.11059
ctl|NSWLC2006-09-07#t47w1,,control|NSW,329,,393,2.69121,0.55953,2.01959,0.97702
ctl|NSWLA2006-09-27#t26w0,,control|NSW,319,,364,2.43912,0.47407,2.03237,0.97944
ctl|NSWLC2006-09-28#t105w3,,control|NSW,304,,367,2.70339,0.51984,2.04391,0.97737
ctl|NSWLA2006-10-27#t2w0,,control|NSW,310,,366,2.36177,1.03258,2.11467,0.95581
ctl|NSWLA2007-05-30#t81w1,,control|NSW,204,,250,2.88345,-0.11613,2.00288,1.00427
ctl|NSWLC2007-05-30#t86w1,,control|NSW,343,,389,2.52659,1.85553,2.08676,0.92651
