seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr,binoc
2026-05-06#t2699w0|r1v3,,variant|nb_v3,167,,210,1.92256,0.77954,2.19785,0.95186
2025-12-02#t1365w0|r1v3,,variant|nb_v3,163,,216,2.37102,0.14875,2.09022,0.99281
2026-05-06#t2648w0|r1v2,,variant|nb_v3,173,,206,2.55994,-0.64763,2.05119,1.03588
2025-10-24#t178w1|r1v2,,variant|nb_v3,297,,353,2.66159,-0.62871,2.04241,1.02666
2025-12-09#t1625w0|r1v2,,variant|nb_v3,213,,263,2.16349,1.8547,2.11583,0.90587
2026-03-18#t2135w12|r1v1,,variant|nb_v3,347,,412,3.00872,-1.13551,1.94448,1.04061
2025-12-10#t1743w0|r1v3,,variant|nb_v3,192,,254,2.42859,2.78589,2.04869,0.86058
2025-11-05#t632w0|r1v2,,variant|nb_v3,175,,215,2.35661,0.14403,2.11701,0.99148
2025-11-05#t632w0|r1v3,,variant|nb_v3,135,,175,2.27747,0.67168,2.08756,0.95671
2026-05-14#t3166w1|r1v3,,variant|nb_v3,374,,445,2.73303,-0.44691,2.01183,1.01698
2024-05-16#t16835w1|r1v3,,variant|nb_v3,313,,374,2.94131,-1.92867,2.00696,1.07683
2026-03-20#t2144w0|r1v2,,variant|nb_v3,148,,182,2.21068,1.18705,2.00749,0.92381
2026-03-20#t2144w0|r1v3,,variant|nb_v3,161,,195,1.84188,2.25731,2.21163,0.85603
2026-03-25#t2350w0|r1v3,,variant|nb_v3,175,,230,1.9141,2.25638,2.26391,0.87137
2025-12-04#t1466w0|r1v2,,variant|nb_v3,128,,168,2.54612,1.38552,2.07126,0.92342
2026-05-05#t2576w0|r1v3,,variant|nb_v3,182,,215,2.34752,0.16529,2.09405,0.99247
2025-12-04#t1477w0|r1v2,,variant|nb_v3,140,,186,2.63885,-0.66382,2.12618,1.03832
2025-12-04#t1477w0|r1v3,,variant|nb_v3,161,,206,2.2661,1.29154,2.22234,0.93103
2023-12-05#t14931w2|r1v3,,variant|nb_v3,287,,336,2.98978,-0.26918,1.98113,1.00967
2025-12-11#t1877w2|r1v1,,variant|nb_v3,173,,214,2.40144,0.18731,2.0607,0.98588
2025-12-11#t1877w2|r1v2,,variant|nb_v3,151,,185,2.34787,1.62805,2.17044,0.90228
2025-12-05#t1574w0|r1v1,,variant|nb_v3,160,,191,2.66491,-0.62345,2.01039,1.03665
2025-12-05#t1574w0|r1v3,,variant|nb_v3,146,,178,2.79387,-0.37955,1.9623,1.02393
2024-05-07#t16123w0|r1v1,,variant|nb_v3,141,,185,3.24314,-1.21992,1.89057,1.06606
2024-05-07#t16123w0|r1v2,,variant|nb_v3,122,,164,3.34971,-1.37361,1.8952,1.08019
2024-05-07#t16123w0|r1v3,,variant|nb_v3,132,,179,3.27834,-1.45046,1.91153,1.08174
2025-11-18#t1017w3|r1v1,,variant|nb_v3,217,,258,2.30813,1.49944,2.04636,0.9257
2025-11-18#t1017w3|r1v2,,variant|nb_v3,189,,222,2.83487,-0.91644,1.99887,1.04737
2025-11-18#t1017w3|r1v3,,variant|nb_v3,208,,248,2.61509,0.78432,2.06392,0.96306
2026-05-14#t3111w0|r1v3,,variant|nb_v3,183,,216,2.71746,-0.39519,1.97459,1.02005
2026-03-24#t2305w3|r1v1,,variant|nb_v3,205,,238,2.77317,0.63637,2.04865,0.97229
2025-12-10#t1783w0|r1v1,,variant|nb_v3,266,,332,2.93753,0.02004,1.97609,0.99148
2025-11-05#t690w1|r1v2,,variant|nb_v3,321,,425,2.71629,-1.06251,2.02478,1.03781
2025-11-05#t690w1|r1v3,,variant|nb_v3,321,,425,2.69946,-1.57531,1.9946,1.0575
2026-05-05#t2582w0|r1v2,,variant|nb_v3,165,,198,2.20622,1.59512,2.10773,0.91038
2026-05-05#t2582w0|r1v3,,variant|nb_v3,156,,192,2.07407,2.10598,2.18782,0.87441
2024-05-16#t16835w0|r1v3,,variant|nb_v3,202,,256,2.89755,-0.05264,2.06812,1.00159
2025-11-18#t922w0|r1v1,,variant|nb_v3,107,,129,2.47636,-0.44725,2.0535,1.03469
2025-11-18#t922w0|r1v3,,variant|nb_v3,103,,127,2.27283,0.31193,2.1715,0.97669
2026-03-20#t2201w0|r1v1,,variant|nb_v3,159,,192,2.6406,-0.73333,2.10794,1.04002
2026-03-20#t2201w0|r1v3,,variant|nb_v3,154,,196,2.58241,0.11135,2.03606,0.98851
2025-12-03#t1396w0|r1v2,,variant|nb_v3,160,,192,2.36543,0.62701,2.11003,0.95212
2026-05-06#t2699w0|r2v2,,variant|nb_v3,153,,183,2.34829,-0.06038,2.06857,1.00336
2026-05-06#t2699w0|r2v3,,variant|nb_v3,152,,184,2.15574,-0.2965,2.26087,1.01867
2025-12-11#t1859w0|r2v1,,variant|nb_v3,314,,382,2.54934,0.21236,2.06511,0.99009
2025-12-11#t1859w0|r2v3,,variant|nb_v3,288,,339,2.81688,-0.08397,1.98904,1.0024
2025-12-02#t1365w0|r2v1,,variant|nb_v3,144,,181,2.57578,0.81268,2.11579,0.95593
2026-05-06#t2648w0|r2v1,,variant|nb_v3,146,,187,2.88294,-0.52132,1.98272,1.02875
