blind_id,sid,group,justification,common_good,respect_groups,respect_demands,respect_counterargs,constructive,evidence,ai_guess
S000,2026-03-25#t2346w0,B_ai,0,1,2,-1,-1,0,3,25
S001,2026-05-06#t2666w0,B_human,2,2,1,0,1,0,3,5
S002,2019-11-27#t232w4,ctl2019,3,1,1,0,1,0,3,5
S003,2019-12-12#t400w0,ctl2019,2,1,1,2,2,1,2,2
S004,2024-03-22#t15720w11,cand_ai,2,2,1,0,-1,0,0,75
S005,2025-12-05#t1622w0,B_human,1,2,1,-1,-1,0,2,20
S006,2023-05-10#t11631w7,cand_human,2,1,1,0,0,0,2,35
S007,2026-05-07#t2847w1,B_human,3,1,1,0,1,2,3,3
S008,2019-12-12#t300w0,ctl2019,2,2,1,2,2,0,1,3
S009,2025-12-02#t1317w0,B_human,2,1,1,0,1,0,2,4
S010,2025-12-11#t1806w0,B_human,3,1,1,-1,-1,0,3,35
S011,2026-05-13#t3076w2,B_ai,3,1,1,2,3,2,2,70
S012,2019-05-10#t30w0,cand_human,2,1,2,-1,-1,0,3,30
S013,2025-11-04#t575w0,cand_human,2,2,1,0,1,0,2,8
S014,2025-10-22#t102w16,B_human,3,1,1,2,2,0,3,20
S015,2026-03-26#t2552w4,cand_human,1,2,1,2,2,0,1,3
S016,2019-11-27#t261w5,ctl2019,2,1,2,2,2,0,2,5
S017,2026-03-24#t2318w3,B_human,2,2,1,0,2,0,3,5
S018,2026-05-05#t2572w0,cand_human,2,1,2,-1,-1,0,3,55
S019,2025-10-24#t112w0,cand_ai,2,1,2,-1,-1,0,3,65
S020,2025-10-28#t231w0,cand_human,1,1,1,1,-1,0,1,12
S021,2026-05-08#t2991w0,cand_human,2,2,2,0,-1,0,3,3
S022,2026-03-26#t2472w0,B_human,2,1,2,-1,-1,0,3,20
S023,2025-12-02#t1316w0,B_human,2,1,1,0,-1,0,3,5
S024,2019-11-27#t230w13,cand_human,0,1,1,-1,-1,0,0,25
S025,2026-03-24#t2323w3,B_human,1,1,1,2,1,0,1,10
S026,2023-11-03#t13954w0,cand_human,2,1,2,-1,-1,0,3,30
S027,2025-11-05#t615w0,B_human,1,1,2,-1,-1,0,3,5
S028,2019-11-27#t261w8,ctl2019,2,1,2,-1,-1,0,2,10
S029,2024-05-16#t16835w0,cand_ai,3,2,1,0,-1,0,3,40
S030,2019-12-12#t302w0,ctl2019,1,1,1,1,2,0,2,5
S031,2025-11-07#t858w0,cand_human,2,2,2,-1,-1,0,2,20
S032,2025-10-30#t509w4,cand_ai,2,2,1,-1,-1,0,0,45
S033,2019-11-27#t138w0,ctl2019,2,0,1,0,0,0,3,8
S034,2019-11-27#t155w0,ctl2019,2,1,1,0,1,0,1,3
S035,2019-12-12#t406w1,ctl2019,2,2,1,2,2,2,1,3
S036,2026-03-24#t2322w8,B_human,3,2,1,0,0,0,2,5
S037,2026-05-08#t2891w0,B_human,0,1,2,-1,-1,0,2,30
S038,2025-12-02#t1342w0,B_human,2,1,1,1,2,0,2,8
S039,2019-11-27#t140w0,ctl2019,1,2,1,0,0,0,2,10
S040,2025-12-05#t1622w1,cand_human,2,2,1,0,-1,0,3,10
S041,2025-11-04#t546w0,cand_human,0,1,1,-1,-1,0,3,20
S042,2025-11-07#t896w0,B_human,2,1,1,0,1,0,3,5
S043,2025-11-07#t912w0,cand_human,2,1,1,-1,-1,0,3,20
S044,2026-03-25#t2389w0,B_human,2,0,1,0,1,0,3,5
S045,2025-10-24#t119w0,cand_ai,2,1,1,-1,-1,0,3,30
S046,2025-12-05#t1595w0,cand_human,2,1,1,0,1,0,3,5
S047,2019-11-27#t238w11,ctl2019,2,2,1,0,1,1,3,5
S048,2026-03-24#t2246w0,B_human,0,1,1,-1,-1,0,3,25
S049,2023-12-05#t14931w2,cand_ai,3,2,2,0,0,0,3,40
S050,2024-06-04#t17361w0,cand_ai,0,2,2,-1,-1,0,3,45
S051,2026-03-24#t2318w10,B_human,2,1,2,-1,-1,0,3,8
S052,2025-10-30#t511w0,cand_human,1,1,2,-1,-1,0,3,10
S053,2025-10-22#t81w0,B_human,2,1,1,0,-1,0,1,5
S054,2025-10-28#t213w0,cand_human,2,2,2,-1,-1,0,2,40
S055,2019-11-27#t187w0,ctl2019,0,1,1,-1,-1,0,1,3
S056,2026-05-07#t2830w5,cand_ai,3,2,2,0,2,0,1,40
S057,2026-05-05#t2616w0,B_human,2,1,1,0,1,0,3,7
S058,2025-11-18#t1002w0,B_human,3,2,1,0,1,0,2,5
S059,2023-11-23#t14342w6,cand_ai,3,2,2,1,2,1,3,30
S060,2025-11-06#t766w0,B_human,1,1,1,2,3,0,1,8
S061,2025-12-03#t1439w0,cand_human,3,2,1,2,-1,2,2,10
S062,2023-05-10#t11631w2,cand_ai,3,1,1,2,2,0,1,30
S063,2025-11-18#t1014w2,B_human,1,0,1,0,0,0,1,5
S064,2019-12-12#t361w1,ctl2019,2,2,1,2,2,2,3,3
S065,2025-12-04#t1466w0,cand_ai,0,1,1,-1,-1,0,3,35
S066,2026-03-24#t2311w0,B_human,2,1,1,2,2,2,2,5
S067,2023-10-26#t13579w0,cand_human,3,2,2,2,3,0,3,45
S068,2026-05-06#t2700w0,B_human,0,1,1,-1,-1,0,3,30
S069,2025-12-03#t1441w0,cand_ai,1,2,2,2,-1,0,1,70
S070,2026-05-08#t2948w0,cand_ai,2,2,2,-1,-1,0,1,55
S071,2026-05-07#t2871w4,cand_ai,3,2,1,-1,2,2,3,75
S072,2025-12-11#t1802w0,B_human,0,1,2,-1,-1,0,3,10
S073,2023-06-09#t12644w5,cand_human,1,1,2,1,2,0,0,3
S074,2025-10-29#t327w0,B_human,0,1,1,-1,-1,0,1,5
S075,2019-11-27#t230w9,ctl2019,1,2,1,-1,-1,0,3,20
S076,2025-11-21#t1269w0,B_human,1,1,1,0,1,0,2,5
S077,2025-12-11#t1859w0,cand_ai,2,2,2,-1,-1,0,2,45
S078,2025-11-07#t915w0,B_human,1,2,1,2,-1,0,3,20
S079,2025-12-03#t1396w0,cand_ai,1,2,2,-1,-1,0,2,30
S080,2025-11-20#t1215w1,B_human,1,1,1,0,-1,0,1,5
S081,2025-10-30#t491w0,cand_human,1,1,1,-1,-1,0,1,4
S082,2025-12-04#t1550w1,cand_ai,3,2,1,-1,-1,0,3,55
S083,2023-12-05#t14931w1,cand_ai,2,2,2,0,-1,0,3,40
S084,2019-12-12#t330w0,ctl2019,0,1,2,-1,-1,0,2,3
S085,2026-05-07#t2832w1,B_human,3,2,1,2,2,0,3,20
S086,2026-05-14#t3171w0,B_human,1,1,1,1,-1,0,1,5
S087,2026-05-14#t3160w0,cand_ai,2,2,2,-1,-1,0,3,55
S088,2026-03-25#t2453w3,B_human,3,2,1,0,-1,0,3,20
S089,2026-05-07#t2871w5,cand_human,2,1,1,-1,-1,0,3,70
S090,2025-11-18#t951w0,cand_human,1,2,1,1,2,0,1,10
S091,2019-11-27#t267w8,ctl2019,1,1,2,-1,2,1,3,3
S092,2026-03-25#t2355w0,cand_human,2,2,1,-1,-1,0,3,20
S093,2019-05-10#t81w0,ctl2019,3,2,2,0,1,0,3,5
S094,2024-05-16#t16835w1,cand_ai,2,2,2,0,2,0,3,55
S095,2025-11-21#t1271w0,B_human,2,2,1,0,1,0,2,5
S096,2023-05-10#t11631w3,cand_ai,3,1,2,0,1,1,1,35
S097,2026-03-24#t2322w9,B_human,3,2,1,0,2,0,2,5
S098,2025-12-03#t1430w0,B_human,2,1,1,-1,2,0,2,5
S099,2025-12-02#t1358w0,cand_human,2,2,1,-1,-1,0,3,35
S100,2026-03-18#t2135w12,B_ai,3,2,2,-1,-1,1,2,60
S101,2026-05-05#t2615w0,B_human,2,2,2,1,2,0,2,10
S102,2026-03-18#t2064w0,B_human,2,1,1,0,-1,0,3,15
S103,2026-03-24#t2320w1,B_human,2,1,1,0,2,1,3,10
S104,2025-11-05#t690w1,B_ai,3,2,2,2,2,0,2,35
S105,2026-03-25#t2363w0,B_human,2,1,1,0,-1,0,3,12
S106,2025-12-10#t1759w0,cand_human,1,2,1,1,2,0,2,8
S107,2024-06-06#t17615w0,cand_human,1,1,1,1,-1,2,2,5
S108,2026-03-18#t2043w0,cand_ai,0,1,1,-1,-1,0,2,45
S109,2024-05-16#t16835w3,cand_ai,2,1,2,0,1,0,3,20
S110,2025-10-22#t102w1,cand_human,0,1,1,-1,-1,0,1,12
S111,2025-12-09#t1692w1,B_human,2,1,1,-1,-1,0,3,35
S112,2026-03-20#t2144w0,cand_ai,0,1,1,-1,-1,0,2,45
S113,2025-10-30#t531w0,cand_human,3,2,1,2,1,0,3,3
S114,2019-12-12#t294w0,ctl2019,2,1,1,2,3,0,3,5
S115,2026-05-14#t3100w0,cand_human,0,1,2,-1,-1,0,3,30
S116,2025-12-11#t1848w0,B_human,1,1,1,2,3,2,1,5
S117,2026-05-07#t2790w0,B_human,3,1,1,0,1,0,3,10
S118,2025-10-22#t93w0,cand_human,2,2,1,1,2,2,2,8
S119,2026-03-18#t2107w0,B_human,3,1,1,0,1,2,3,15
S120,2025-10-24#t175w3,cand_human,3,1,1,0,-1,0,2,5
S121,2023-11-23#t14308w0,cand_human,2,2,1,0,-1,1,1,75
S122,2019-12-12#t318w0,ctl2019,1,0,1,0,1,0,2,5
S123,2026-05-06#t2644w0,cand_ai,0,1,1,-1,-1,0,3,20
S124,2026-03-26#t2533w0,cand_human,0,1,1,-1,-1,0,3,40
S125,2025-10-24#t150w0,B_human,1,1,2,-1,0,0,1,10
S126,2025-10-22#t18w0,cand_human,0,1,1,-1,-1,0,2,10
S127,2026-03-25#t2343w0,cand_human,0,1,1,-1,-1,0,3,55
S128,2025-10-29#t305w0,cand_ai,0,1,1,-1,-1,0,3,35
S129,2026-03-25#t2412w0,B_human,3,1,1,1,2,2,2,5
S130,2026-03-24#t2322w4,cand_human,2,1,1,2,-1,1,2,5
S131,2024-05-16#t16835w2,cand_human,2,2,2,0,0,0,3,40
S132,2026-05-08#t2976w0,B_human,2,2,2,0,0,0,3,3
S133,2025-11-18#t938w0,cand_human,1,1,2,-1,-1,0,3,20
S134,2026-03-20#t2201w0,B_ai,1,2,2,-1,-1,0,2,55
S135,2026-03-26#t2551w0,cand_ai,3,1,1,1,0,0,3,45
S136,2025-10-29#t325w0,B_human,2,0,1,0,0,0,1,15
S137,2025-10-24#t175w2,B_human,3,2,1,0,2,0,3,8
S138,2023-05-10#t11631w5,cand_ai,3,1,2,0,0,0,2,60
S139,2019-11-27#t261w4,ctl2019,2,2,1,1,2,1,1,5
S140,2026-05-13#t3063w0,cand_ai,2,1,2,-1,-1,0,3,40
S141,2026-05-13#t3058w0,cand_ai,0,2,2,-1,-1,0,1,30
S142,2019-12-12#t371w0,ctl2019,2,0,1,0,1,0,2,5
S143,2025-10-29#t371w0,B_human,0,1,2,-1,-1,0,3,30
S144,2023-05-10#t11631w4,cand_ai,3,1,2,0,2,0,2,40
S145,2025-12-10#t1767w0,B_human,2,2,1,0,-1,0,2,10
S146,2024-05-16#t16835w4,cand_human,3,2,2,0,0,0,2,35
S147,2019-11-27#t198w0,cand_human,0,1,2,2,-1,0,2,8
S148,2023-03-29#t11269w0,cand_human,0,1,1,-1,-1,0,2,3
S149,2025-10-22#t48w0,B_human,2,0,1,0,1,0,3,5
S150,2026-05-05#t2605w0,B_human,2,2,1,-1,-1,0,2,20
S151,2026-03-25#t2449w0,B_human,3,2,1,0,1,0,3,5
S152,2025-10-29#t337w0,cand_human,2,2,1,2,1,0,1,5
S153,2025-11-21#t1276w0,B_human,3,2,1,-1,0,0,3,15
S154,2024-05-16#t16835w5,cand_human,3,2,1,-1,-1,2,3,55
S155,2025-12-02#t1333w0,cand_human,2,1,1,0,1,0,1,5
S156,2025-12-09#t1640w0,B_human,1,1,1,0,-1,0,2,10
S157,2025-10-24#t139w0,B_human,2,1,1,1,1,0,3,10
S158,2025-12-10#t1730w0,cand_ai,1,1,2,-1,-1,0,2,45
S159,2026-05-06#t2703w0,cand_ai,2,2,1,2,-1,2,2,50
S160,2025-10-28#t288w5,B_human,2,1,1,-1,-1,0,2,10
S161,2025-12-10#t1783w0,cand_ai,1,2,2,2,2,1,1,80
S162,2019-11-27#t165w0,ctl2019,1,1,2,0,1,0,2,10
S163,2026-03-18#t2047w1,B_human,1,2,2,-1,-1,0,2,10
S164,2025-12-11#t1817w0,B_human,2,1,1,2,-1,2,1,5
S165,2019-12-12#t398w4,ctl2019,2,1,1,1,2,2,1,5
