half_decade,level,slope_per_sd,se,n_members
1997-2001,FREE,-0.0916,0.0361,652
1997-2001,BOTTOM,-0.0014,0.0344,652
1997-2001,MIDDLE,0.0318,0.0362,652
1997-2001,TOP,0.0181,0.0355,652
2002-2006,FREE,-0.1140,0.0250,1355
2002-2006,BOTTOM,0.0119,0.0254,1355
2002-2006,MIDDLE,0.0177,0.0255,1355
2002-2006,TOP,0.0060,0.0255,1355
2007-2011,FREE,-0.0913,0.0213,1865
2007-2011,BOTTOM,0.0196,0.0204,1865
2007-2011,MIDDLE,0.0241,0.0209,1865
2007-2011,TOP,0.0119,0.0207,1865
2012-2016,FREE,-0.0746,0.0211,1989
2012-2016,BOTTOM,0.0081,0.0205,1989
2012-2016,MIDDLE,0.0247,0.0200,1989
2012-2016,TOP,0.0164,0.0200,1989
2017-2021,FREE,-0.0683,0.0194,2221
2017-2021,BOTTOM,0.0132,0.0196,2221
2017-2021,MIDDLE,0.0137,0.0196,2221
2017-2021,TOP,0.0051,0.0196,2221
2022-2026,FREE,-0.0774,0.0206,1896
2022-2026,BOTTOM,0.0243,0.0220,1896
2022-2026,MIDDLE,-0.0068,0.0215,1896
2022-2026,TOP,-0.0123,0.0214,1896
