coding,word,occ_2018_2026,takeoff_year,cross_top,cross_bottom,d_bottom_minus_top,level_cross_top,level_cross_bottom,occ_top,occ_bottom
EGP,achieving,14613,,2014.29,2014.28,-0.02,2006.00,2006.00,10679,2532
EGP,acknowledges,8868,,2017.04,2017.44,+0.40,2006.00,2006.00,4471,1289
EGP,acknowledging,10547,,2017.73,2018.15,+0.42,2006.00,2016.09,4453,1217
EGP,across,485598,,2017.96,2018.10,+0.14,2009.64,2011.28,208062,59340
EGP,additionally,9927,,2018.11,2018.96,+0.85,2006.00,2017.22,5315,1111
EGP,address,165582,,2015.80,2016.29,+0.49,2006.00,2006.00,94283,22868
EGP,addresses,13253,,2014.74,2015.94,+1.21,2006.00,2006.00,8881,2006
EGP,addressing,37023,,2016.09,2016.61,+0.52,2006.00,2006.00,19160,4711
EGP,adhered,1563,,2014.39,2013.83,-0.56,2006.00,2006.00,983,336
EGP,adhering,1054,,2015.84,2018.36,+2.51,2006.00,2006.00,468,184
EGP,advancement,3556,,2017.04,2016.58,-0.45,2006.00,2006.00,2102,466
EGP,advancements,1829,2024,2018.21,2018.41,+0.20,2006.00,2006.00,716,190
EGP,advancing,7140,2026,2018.17,2018.56,+0.39,2014.66,2014.97,3669,639
EGP,advocates,13433,,2017.27,2017.67,+0.40,2006.00,2006.00,6950,1162
EGP,advocating,12496,,2018.19,2017.68,-0.51,2012.38,2010.52,4890,1389
EGP,affirming,2007,2020,2021.32,2020.48,-0.84,2017.81,2017.73,687,72
EGP,aiding,844,,2016.97,2015.87,-1.10,2006.00,2006.00,571,93
EGP,aims,15546,,2015.86,2016.45,+0.59,2006.00,2006.00,8686,2293
EGP,akin,1684,,2015.02,2015.32,+0.30,2006.00,2006.00,1243,272
EGP,align,9497,2022,2019.50,2019.56,+0.06,2017.22,2016.86,3226,987
EGP,aligning,2236,2023,2018.56,2020.54,+1.98,2023.08,2019.54,782,227
EGP,aligns,3795,2021,2021.71,2021.09,-0.61,2022.26,2022.63,1113,336
EGP,alongside,35290,2022,2019.77,2019.88,+0.11,2018.71,2021.05,14092,2954
EGP,amid,2034,2020,2019.63,2019.73,+0.10,2018.32,2018.18,873,171
EGP,amidst,1072,2021,2019.81,2019.28,-0.53,2018.87,2006.00,559,86
EGP,analysis,29064,,2014.55,2014.97,+0.42,2006.00,2006.00,22198,4286
EGP,announced,82711,,2015.94,2015.52,-0.42,2006.00,2006.00,48275,12561
EGP,approach,141870,,2015.43,2015.67,+0.25,2006.00,2006.00,89503,17992
EGP,assess,15112,,2015.31,2016.20,+0.88,2006.00,2006.00,9845,2520
EGP,assessed,11274,,2015.37,2014.52,-0.86,2006.00,2006.00,7384,2368
EGP,assessing,6022,,2015.56,2015.72,+0.16,2006.00,2006.00,3976,1009
EGP,assessments,16814,,2016.40,2016.97,+0.58,2006.00,2006.00,8918,2274
EGP,attributed,2621,,2015.10,2015.84,+0.74,2006.00,2006.00,1660,690
EGP,avenue,8351,,2015.80,2015.40,-0.40,2006.00,2006.00,4821,1352
EGP,avenues,3111,,2016.27,2017.44,+1.17,2006.00,2006.00,1521,506
EGP,based,148850,,2015.17,2015.50,+0.33,2006.00,2006.00,93246,23705
EGP,between,213413,,2014.59,2014.64,+0.06,2006.00,2006.00,151473,39003
EGP,bolster,3181,2021,2019.12,2019.20,+0.08,2006.00,2008.84,1590,264
EGP,bolstering,1075,2021,2020.71,2021.13,+0.41,2018.91,2020.94,488,82
EGP,both,235749,,2015.62,2015.27,-0.35,2006.00,2006.00,154359,35538
EGP,broader,30092,,2016.84,2016.41,-0.43,2006.00,2011.19,17007,3667
EGP,capabilities,10173,2025,2018.41,2017.80,-0.61,2017.33,2007.03,6572,1171
EGP,challenge,68833,,2016.02,2015.80,-0.22,2006.00,2006.00,41129,9261
EGP,challenges,112636,,2017.57,2018.34,+0.78,2006.00,2012.07,48226,11816
EGP,combating,2857,,2017.04,2017.06,+0.02,2006.00,2006.00,2041,273
EGP,commendable,2013,,2013.91,2015.01,+1.10,2006.00,2006.00,1228,462
EGP,compelling,5987,,2014.63,2015.52,+0.90,2006.00,2006.00,4770,776
EGP,complex,44197,,2015.73,2016.19,+0.47,2006.00,2006.00,25761,5846
EGP,comprehend,1646,,2015.42,2014.19,-1.23,2006.00,2006.00,919,463
EGP,comprehensive,33714,,2014.72,2015.20,+0.48,2006.00,2006.00,24916,4757
EGP,comprising,1850,,2015.18,2013.78,-1.40,2006.00,2006.00,1715,461
EGP,conditions,73843,,2015.69,2015.17,-0.53,2006.00,2006.00,45653,12821
EGP,conducted,22997,,2014.46,2014.18,-0.28,2006.00,2006.00,17475,4955
EGP,consequently,2618,,2012.21,2013.84,+1.62,2006.00,2006.00,2372,913
EGP,contributing,12684,,2016.62,2016.80,+0.19,2006.00,2006.00,6606,1884
EGP,crafted,2139,,2015.55,2015.96,+0.41,2006.00,2006.00,1582,280
