turn_id,date,speaker,n_words,lex_hits,llr,flag05,flag01
SE#ministers_statement:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,236,10,45.923,True,True
SE#members_statement:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,193,4,18.766,True,True
2025-12-10#t1730,2025-12-10,Mr. Weir,142,4,17.272,True,True
SE#ministers_statement:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,210,4,16.576,True,True
SE#ministers_statement:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,194,4,16.399,True,True
2026-03-17#t2035,2026-03-17,,1179,7,15.874,True,True
2024-05-07#t16123,2024-05-07,Mr. K. Arseneau,129,4,14.378,True,True
2021-12-07#t5184,2021-12-07,Hon. Mr. Crossman,133,4,14.284,True,True
2023-11-03#t13954,2023-11-03,Hon. Mr. Turner,184,4,13.986,True,True
2021-03-24#t1722,2021-03-24,Mr. Coon,257,4,13.106,True,True
SE#debate_response:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,159,3,11.699,True,True
2023-11-23#t14308,2023-11-23,Mr. McKee,265,4,11.257,True,True
2026-03-25#t2343,2026-03-25,Ms. Mitton,132,3,11.189,True,True
2024-05-16#t16835,2024-05-16,Mr. M. LeBlanc,2201,9,11.179,True,True
2021-11-25#t4628,2021-11-25,Mr. K. Arseneau,450,4,11.135,True,True
2026-05-05#t2572,2026-05-05,Mr. Ames,154,3,10.893,True,True
SE#members_statement:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,175,3,10.195,True,True
2024-06-06#t17636,2024-06-06,,169,3,10.025,True,True
2022-06-09#t7861,2022-06-09,Ms. Mitton,191,3,9.807,True,True
2024-06-04#t17361,2024-06-04,Mr. McKee,185,3,9.508,True,True
2020-12-18#t1260,2020-12-18,Hon. Mr. Higgs,447,3,9.102,True,True
SE#ministers_statement:the Mactaquac dam refurbishm:0,synthetic-2026,SYNTHETIC,229,2,8.676,True,True
2025-12-05#t1565,2025-12-05,Mr. Russell,146,2,8.282,True,True
2026-05-14#t3100,2026-05-14,Mr. Weir,148,2,8.263,True,True
2026-03-26#t2533,2026-03-26,Hon. Ms. Thériault,149,2,8.253,True,True
2023-06-13#t12656,2023-06-13,Mr. Bourque,150,2,8.243,True,True
2024-06-06#t17615,2024-06-06,Hon. G. Savoie,352,3,8.207,True,True
SE#debate_response:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,155,2,8.193,True,True
2025-10-24#t112,2025-10-24,Ms. S. Wilson,156,2,8.183,True,True
2025-12-04#t1466,2025-12-04,Mr. Monahan,159,2,8.153,True,True
2025-12-10#t1727,2025-12-10,Mr. Savoie,175,2,7.994,True,True
2024-05-08#t16239,2024-05-08,Ms. Mitton,110,2,7.857,True,True
SE#ministers_statement:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,228,2,7.783,True,True
2024-05-31#t17268,2024-05-31,Hon. M. Wilson,163,2,7.757,True,True
SE#members_statement:thanking firefighters after :0,synthetic-2026,SYNTHETIC,191,2,7.64,True,True
2025-12-12#t1948,2025-12-12,Mr. Johnston,175,2,7.638,True,True
SE#ministers_statement:the property assessment free:0,synthetic-2026,SYNTHETIC,196,2,7.43,True,True
SE#ministers_statement:National Police Week and com:0,synthetic-2026,SYNTHETIC,213,2,7.261,True,True
2022-05-10#t6542,2022-05-10,Hon. Ms. Dunn,262,2,7.13,True,True
2024-05-16#t16834,2024-05-16,,461,3,7.124,True,True
2025-12-10#t1732,2025-12-10,Mr. Johnston,185,2,7.111,True,True
2025-10-29#t309,2025-10-29,Ms. Vautour,148,2,6.968,True,True
2024-05-30#t17153,2024-05-30,Mr. Coon,144,2,6.952,True,True
2022-05-11#t6652,2022-05-11,Hon. Mr. Cardy,157,2,6.914,True,True
2021-03-24#t1720,2021-03-24,Hon. Ms. Scott-Wallace,100,2,6.809,True,True
SE#members_statement:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,181,2,6.676,True,True
2022-10-28#t8730,2022-10-28,Hon. Mrs. Shephard,167,2,6.464,True,True
2026-05-07#t2761,2026-05-07,Mr. Coon,172,2,6.338,True,True
2021-06-08#t3447,2021-06-08,Hon. Mr. Cardy,157,2,6.243,True,True
2021-05-14#t2394,2021-05-14,Mrs. Bockus,121,2,6.173,True,True
2025-12-11#t1859,2025-12-11,Hon. Mr. Randall,333,3,6.092,True,True
2024-05-30#t17143,2024-05-30,Mr. Coon,180,2,6.084,True,True
SE#members_statement:National Police Week and com:0,synthetic-2026,SYNTHETIC,169,2,6.033,True,True
2022-11-18#t9546,2022-11-18,Hon. Mr. Higgs,180,2,6.015,True,True
2023-12-01#t14834,2023-12-01,Mr. Bourque,854,3,5.821,True,True
2026-03-24#t2250,2026-03-24,Hon. C. Johnson,126,2,5.696,True,True
SE#members_statement:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,187,2,5.678,True,True
2023-05-16#t11856,2023-05-16,Mr. Turner,149,2,5.468,True,True
2023-12-07#t15120,2023-12-07,Ms. Holt,151,2,5.364,True,True
2021-03-16#t1426,2021-03-16,Hon. Mr. Steeves,459,2,5.173,True,True
2025-12-10#t1733,2025-12-10,Ms. Vautour,135,2,5.096,True,True
2022-11-02#t8887,2022-11-02,Ms. Thériault,144,2,5.006,True,True
2024-06-07#t17773,2024-06-07,Mr. Coon,994,3,4.977,True,True
2021-05-18#t2549,2021-05-18,Hon. Mrs. Shephard,124,2,4.694,True,True
2026-03-25#t2391,2026-03-25,Hon. Mr. D’Amours,270,2,4.693,True,True
2026-05-13#t3063,2026-05-13,Hon. C. Chiasson,309,2,4.642,True,True
2025-12-09#t1685,2025-12-09,Ms. Mitton,103,1,4.452,True,True
2026-03-20#t2229,2026-03-20,Hon. Ms. Miles,440,3,4.449,True,True
2026-05-14#t3149,2026-05-14,Hon. Ms. Thériault,296,2,4.344,True,True
2023-06-09#t12562,2023-06-09,Mr. K. Arseneau,169,2,4.247,True,True
2025-12-11#t1860,2025-12-11,Mr. Russell,288,2,4.164,True,True
2022-12-14#t10528,2022-12-14,Mr. Turner,178,2,4.158,True,True
2023-10-20#t13183,2023-10-20,Ms. Thériault,186,2,4.078,True,True
2025-12-04#t1463,2025-12-04,Mr. Weir,145,1,4.035,True,True
2023-10-26#t13476,2023-10-26,Ms. Thériault,153,1,3.955,True,True
2026-05-07#t2759,2026-05-07,Ms. Bockus,159,1,3.896,True,True
2025-10-24#t119,2025-10-24,Mr. Johnston,160,1,3.886,True,True
2024-05-16#t16734,2024-05-16,Hon. Mr. Hogan,160,1,3.886,True,True
2022-05-18#t7047,2022-05-18,Hon. Mrs. Shephard,164,2,3.786,True,True
2023-06-13#t12665,2023-06-13,Mr. McKee,173,1,3.757,True,True
SE#debate_response:school bus breakdowns and st:0,synthetic-2026,SYNTHETIC,173,1,3.757,True,True
2025-11-04#t571,2025-11-04,Hon. Mr. Herron,85,1,3.728,True,True
SE#qp_question:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,96,1,3.619,True,True
SE#members_statement:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,195,1,3.538,True,True
2021-11-10#t4383,2021-11-10,Mr. Austin,201,1,3.479,True,True
2021-06-11#t3739,2021-06-11,Hon. Mr. Holland,202,1,3.469,True,True
2021-05-21#t2860,2021-05-21,Mr. Turner,112,1,3.46,True,True
2021-06-09#t3475,2021-06-09,Mr. Cullins,119,1,3.39,True,True
2023-10-24#t13267,2023-10-24,Mr. Coon,121,1,3.37,True,True
2023-11-29#t14609,2023-11-29,Hon. Ms. Green,460,2,3.233,True,True
2023-10-31#t13600,2023-10-31,Mr. G. Arseneault,140,1,3.182,True,True
2024-05-30#t17155,2024-05-30,Ms. Mitton,142,1,3.162,True,True
2023-11-23#t14342,2023-11-23,Mr. McKee,2631,7,3.114,True,True
2025-11-06#t760,2025-11-06,Hon. Mr. LePage,154,1,3.043,True,True
2024-05-09#t16370,2024-05-09,Ms. Thériault,154,1,3.043,True,True
2022-06-09#t7849,2022-06-09,Hon. Ms. Green,104,1,3.029,True,True
2023-10-20#t13181,2023-10-20,Mr. Coon,157,1,3.013,True,True
2024-05-10#t16534,2024-05-10,Hon. Ms. Bockus,161,1,2.973,True,True
2025-11-18#t940,2025-11-18,Mr. Weir,164,1,2.943,True,True
SE#debate_response:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,165,1,2.933,True,True
2024-05-31#t17335,2024-05-31,Mr. Losier,98,1,2.928,True,True
2021-05-14#t2397,2021-05-14,Mr. Hogan,99,1,2.918,True,True
2026-05-14#t3115,2026-05-14,Mr. Mallet,101,1,2.898,True,True
2024-06-04#t17363,2024-06-04,Ms. Mitton,170,1,2.884,True,True
2021-02-12#t1327,2021-02-12,Mr. Ames,125,1,2.82,True,True
2023-05-18#t12079,2023-05-18,Mr. Legacy,178,1,2.804,True,True
2026-05-08#t2924,2026-05-08,Hon. Mr. Finnigan,111,1,2.799,True,True
2024-03-22#t15616,2024-03-22,Mr. Coon,183,1,2.754,True,True
2025-12-11#t1857,2025-12-11,Mr. Lee,116,1,2.749,True,True
2022-03-29#t6168,2022-03-29,Mr. Melanson,645,2,2.737,True,True
2021-05-13#t2284,2021-05-13,Hon. Mrs. Shephard,134,1,2.73,True,True
2025-11-04#t552,2025-11-04,Ms. M. Johnson,186,1,2.725,True,True
2021-11-24#t4559,2021-11-24,Mr. K. Arseneau,122,1,2.689,True,True
2022-05-13#t6890,2022-05-13,Mr. Cullins,126,1,2.65,True,True
2026-05-06#t2709,2026-05-06,Hon. Ms. Boudreau,194,1,2.645,True,True
2020-12-15#t812,2020-12-15,Hon. Mr. Fitch,143,1,2.641,True,True
2022-11-24#t9749,2022-11-24,Ms. Thériault,84,1,2.639,True,True
2024-05-10#t16480,2024-05-10,Mr. J. LeBlanc,85,1,2.629,True,True
2026-05-08#t2907,2026-05-08,Mr. J. LeBlanc,145,1,2.621,True,True
2025-11-20#t1162,2025-11-20,Mr. Russell,129,1,2.62,True,True
