seg,stratum,p3,p4,p3_frac_ai,p4_frac_ai,changed
nb_2019-03-29#t9w3,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-03-29#t9w8,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-05-10#t108w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-05-10#t25w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-05-10#t30w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-05-10#t64w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-05-10#t81w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-05-10#t82w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-19#t116w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-19#t116w13,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-19#t116w4,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t132w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t137w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t138w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t140w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t145w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t155w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t160w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t161w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t165w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t185w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t187w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t198w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t203w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t216w1,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t217w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t221w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t222w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t223w1,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t224w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t230w13,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t230w2,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t230w9,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t232w4,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t238w11,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t238w4,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t240w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t252w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t252w3,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t253w3,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t256w0,A-consensus-ctl,Human,Human,0.0,0.0,0
nb_2019-11-27#t257w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t261w4,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t261w5,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t261w8,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-11-27#t267w8,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t291w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t294w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t300w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t302w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t305w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t314w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t318w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t327w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t330w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t348w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t349w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t354w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t361w1,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t362w3,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t368w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t371w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t382w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t385w3,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t385w7,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t398w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t398w4,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t400w0,C-control-2019,Human,Human,0.0,0.0,0
nb_2019-12-12#t406w1,C-control-2019,Human,Human,0.0,0.0,0
nb_2020-03-11#t3747w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-03-11#t3831w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-03-13#t3906w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-05-27#t4140w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-05-27#t4163w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-05-27#t4182w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-09#t4265w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-09#t4280w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-10#t4321w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-10#t4368w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-10#t4399w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-16#t4540w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-16#t4575w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-16#t4595w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-17#t4655w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-17#t4667w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-06-18#t4730w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-11-18#t108w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-11-18#t110w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-11-18#t83w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-11-20#t243w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-08#t354w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-08#t422w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-08#t426w5,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-09#t453w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-09#t526w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-09#t570w8,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-09#t573w2,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-10#t682w5,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-11#t713w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-11#t726w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-11#t736w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-11#t754w4,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-11#t755w13,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-15#t779w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-15#t781w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-15#t816w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-16#t942w0,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-17#t1164w3,Y-2020,Human,Human,0.0,0.0,0
nb_2020-12-18#t1233w0,Y-2020,Human,Human,0.0,0.0,0
nb_2021-03-17#t1485w0,Y-2021,Human,Human,0.0,0.0,0
nb_2021-03-19#t1542w0,Y-2021,Human,Human,0.0,0.0,0
nb_2021-03-19#t1603w1,Y-2021,Human,Human,0.0,0.0,0
nb_2021-03-19#t1613w8,Y-2021,Human,Human,0.0,0.0,0
nb_2021-03-24#t1730w0,Y-2021,Human,Human,0.0,0.0,0
nb_2021-03-24#t1811w1,Y-2021,Human,Human,0.0,0.0,0
nb_2021-03-25#t1936w0,Y-2021,Human,Human,0.0,0.0,0
nb_2021-05-11#t2031w0,Y-2021,Human,Human,0.0,0.0,0
