half_decade,group,mean_z,se,n_members
1997-2001,business and finance,0.1399,0.1283,49
1997-2001,education,0.1000,0.0827,118
1997-2001,health,0.0929,0.2473,17
1997-2001,legal,-0.0977,0.0582,185
1997-2001,management,0.1550,0.0964,103
1997-2001,manual trades and protective (pooled),-0.0583,0.1151,45
1997-2001,media and arts,0.0185,0.1215,69
1997-2001,sales,-0.3246,0.1480,39
2002-2006,business and finance,-0.0010,0.0855,113
2002-2006,education,0.0612,0.0604,266
2002-2006,health,0.2168,0.0966,76
2002-2006,legal,-0.1985,0.0537,283
2002-2006,management,0.0198,0.0573,272
2002-2006,manual trades and protective (pooled),-0.1717,0.1000,100
2002-2006,media and arts,0.0113,0.0910,109
2002-2006,sales,-0.2630,0.1004,60
2007-2011,business and finance,0.0468,0.0746,167
2007-2011,education,0.0820,0.0545,293
2007-2011,health,0.3077,0.0840,118
2007-2011,legal,-0.1738,0.0473,364
2007-2011,management,0.0750,0.0463,395
2007-2011,manual trades and protective (pooled),-0.1496,0.0692,159
2007-2011,media and arts,0.1022,0.0710,167
2007-2011,sales,-0.0568,0.0882,92
2012-2016,business and finance,0.1202,0.0691,175
2012-2016,education,0.0506,0.0589,257
2012-2016,health,0.3448,0.0812,126
2012-2016,legal,-0.1115,0.0498,361
2012-2016,management,0.0133,0.0423,478
2012-2016,manual trades and protective (pooled),-0.0971,0.0672,172
2012-2016,media and arts,-0.0602,0.0674,195
2012-2016,sales,-0.1020,0.1001,103
2017-2021,business and finance,0.0202,0.0523,210
2017-2021,education,0.0912,0.0539,272
2017-2021,health,0.2725,0.0755,134
2017-2021,legal,-0.1165,0.0446,421
2017-2021,management,0.0340,0.0394,545
2017-2021,manual trades and protective (pooled),-0.0280,0.0704,177
2017-2021,media and arts,-0.0770,0.0606,229
2017-2021,sales,-0.0684,0.0817,116
2022-2026,business and finance,-0.0323,0.0657,189
2022-2026,education,0.0489,0.0589,230
2022-2026,health,0.1908,0.0871,114
2022-2026,legal,-0.0826,0.0477,361
2022-2026,management,-0.0550,0.0417,480
2022-2026,manual trades and protective (pooled),0.0377,0.0862,135
2022-2026,media and arts,-0.0671,0.0614,208
2022-2026,sales,-0.1075,0.0911,96
