half_decade,group,mean_z,se,n_members
1997-2001,business and finance,0.1399,0.1283,49
1997-2001,community and social service,0.2632,0.1911,15
1997-2001,computing,0.3886,0.6442,4
1997-2001,education,0.1000,0.0827,118
1997-2001,engineering,-0.0556,0.4194,4
1997-2001,health,0.0929,0.2473,17
1997-2001,legal,-0.0977,0.0582,185
1997-2001,management,0.1550,0.0964,103
1997-2001,manual trades and protective (pooled),-0.0583,0.1151,45
1997-2001,media and arts,0.0185,0.1215,69
1997-2001,military,-0.1059,0.1322,21
1997-2001,office and admin,0.0986,0.2424,15
1997-2001,sales,-0.3246,0.1480,39
1997-2001,science,0.3276,0.2449,33
2002-2006,business and finance,-0.0010,0.0855,113
2002-2006,community and social service,0.3824,0.1146,54
2002-2006,computing,-0.1351,0.4841,8
2002-2006,education,0.0612,0.0604,266
2002-2006,engineering,0.0898,0.2369,17
2002-2006,health,0.2168,0.0966,76
2002-2006,legal,-0.1985,0.0537,283
2002-2006,management,0.0198,0.0573,272
2002-2006,manual trades and protective (pooled),-0.1717,0.1000,100
2002-2006,media and arts,0.0113,0.0910,109
2002-2006,military,-0.1180,0.2056,23
2002-2006,office and admin,0.2240,0.1756,27
2002-2006,sales,-0.2630,0.1004,60
2002-2006,science,0.4300,0.1687,48
2007-2011,business and finance,0.0468,0.0746,167
2007-2011,community and social service,0.2083,0.1256,76
2007-2011,computing,-0.0480,0.3054,10
2007-2011,education,0.0820,0.0545,293
2007-2011,engineering,-0.1168,0.1922,27
2007-2011,health,0.3077,0.0840,118
2007-2011,legal,-0.1738,0.0473,364
2007-2011,management,0.0750,0.0463,395
2007-2011,manual trades and protective (pooled),-0.1496,0.0692,159
2007-2011,media and arts,0.1022,0.0710,167
2007-2011,military,-0.1412,0.1293,34
2007-2011,office and admin,0.1204,0.1281,42
2007-2011,sales,-0.0568,0.0882,92
2007-2011,science,0.1694,0.1160,55
2012-2016,business and finance,0.1202,0.0691,175
2012-2016,community and social service,0.2654,0.0936,86
2012-2016,computing,-0.1935,0.2735,16
2012-2016,education,0.0506,0.0589,257
2012-2016,engineering,-0.3120,0.1585,31
2012-2016,health,0.3448,0.0812,126
2012-2016,legal,-0.1115,0.0498,361
2012-2016,management,0.0133,0.0423,478
2012-2016,manual trades and protective (pooled),-0.0971,0.0672,172
2012-2016,media and arts,-0.0602,0.0674,195
2012-2016,military,0.2295,0.1729,38
2012-2016,office and admin,0.1045,0.1439,43
2012-2016,sales,-0.1020,0.1001,103
2012-2016,science,0.1225,0.1221,73
2017-2021,business and finance,0.0202,0.0523,210
2017-2021,community and social service,0.2676,0.0925,88
2017-2021,computing,-0.0900,0.2366,24
2017-2021,education,0.0912,0.0539,272
2017-2021,engineering,-0.0087,0.1697,33
2017-2021,health,0.2725,0.0755,134
2017-2021,legal,-0.1165,0.0446,421
2017-2021,management,0.0340,0.0394,545
2017-2021,manual trades and protective (pooled),-0.0280,0.0704,177
2017-2021,media and arts,-0.0770,0.0606,229
2017-2021,military,-0.0165,0.1386,51
2017-2021,office and admin,0.1109,0.1355,41
2017-2021,sales,-0.0684,0.0817,116
2017-2021,science,-0.0121,0.0992,82
2022-2026,business and finance,-0.0323,0.0657,189
2022-2026,community and social service,0.2304,0.0913,74
2022-2026,computing,-0.1743,0.1922,15
2022-2026,education,0.0489,0.0589,230
2022-2026,engineering,-0.1330,0.1935,25
2022-2026,health,0.1908,0.0871,114
2022-2026,legal,-0.0826,0.0477,361
2022-2026,management,-0.0550,0.0417,480
2022-2026,manual trades and protective (pooled),0.0377,0.0862,135
2022-2026,media and arts,-0.0671,0.0614,208
2022-2026,military,-0.0338,0.1567,51
2022-2026,office and admin,-0.1437,0.2166,25
2022-2026,sales,-0.1075,0.0911,96
2022-2026,science,0.1966,0.1154,79
