blind_id,label,archived_low,fresh_low,max
S000,1,72,72,74
S001,0,15,15,5
S002,0,10,10,9
S003,0,3,4,2
S004,1,85,80,90
S005,0,45,35,30
S006,0,78,68,70
S007,0,20,25,6
S008,0,8,6,4
S009,0,10,8,5
S010,0,35,25,27
S011,1,85,85,90
S012,0,25,15,22
S013,0,8,5,6
S014,0,20,20,10
S015,0,4,3,5
S016,0,7,5,6
S017,0,12,10,14
S018,0,65,60,58
S019,1,72,65,68
S020,0,35,30,25
S021,0,3,3,3
S022,0,20,25,20
S023,0,15,20,8
S024,0,45,45,55
S025,0,40,50,45
S026,0,55,40,58
S027,0,10,10,10
S028,0,20,15,12
S029,1,80,75,85
S030,0,10,10,4
S031,0,80,72,66
S032,1,85,80,87
S033,0,35,30,12
S034,0,5,5,3
S035,0,5,6,4
S036,0,10,10,7
S037,0,45,45,55
S038,0,25,25,8
S039,0,20,22,13
S040,0,35,35,28
S041,0,30,25,22
S042,0,10,10,8
S043,0,45,40,58
S044,0,12,10,9
S045,1,60,55,55
S046,0,8,8,7
S047,0,20,15,12
S048,0,55,60,45
S049,1,80,80,82
S050,1,70,55,58
S051,0,8,8,5
S052,0,15,10,7
S053,0,7,7,4
S054,0,72,68,66
S055,0,3,3,2
S056,1,85,80,86
S057,0,20,15,4
S058,0,10,8,4
S059,1,80,75,80
S060,0,8,15,5
S061,0,10,10,7
S062,1,55,55,38
S063,0,8,10,4
S064,0,5,5,3
S065,1,72,75,72
S066,0,15,30,10
S067,0,65,70,68
S068,0,70,65,45
S069,1,85,85,85
S070,1,75,78,68
S071,1,88,88,93
S072,0,30,25,25
S073,0,5,4,4
S074,0,5,3,4
S075,0,30,35,35
S076,0,8,5,5
S077,1,72,72,86
S078,0,25,30,45
S079,1,65,68,72
S080,0,4,3,3
S081,0,5,3,4
S082,1,88,72,68
S083,1,72,55,72
S084,0,5,3,3
S085,0,25,25,12
S086,0,10,10,9
S087,1,70,60,55
S088,0,30,25,30
S089,0,78,78,85
S090,0,20,20,25
S091,0,3,3,4
S092,0,55,45,45
S093,0,10,10,8
S094,1,88,80,85
S095,0,8,10,5
S096,1,80,72,62
S097,0,15,25,10
S098,0,15,15,6
S099,0,60,55,70
S100,1,78,72,68
S101,0,15,15,7
S102,0,25,25,15
S103,0,8,8,4
S104,1,55,45,45
S105,0,20,20,10
S106,0,22,18,12
S107,0,7,8,4
S108,1,65,65,72
S109,1,45,40,47
S110,0,30,20,35
S111,0,45,45,30
S112,1,60,70,62
S113,0,5,5,4
S114,0,10,10,8
S115,0,55,60,63
S116,0,10,10,5
S117,0,15,20,14
S118,0,20,25,18
S119,0,25,35,22
S120,0,3,3,3
S121,0,88,88,88
S122,0,5,5,4
S123,1,25,22,10
S124,0,45,45,48
S125,0,10,10,6
S126,0,20,25,35
S127,0,55,50,55
S128,1,50,40,33
S129,0,8,8,4
S130,0,5,5,4
S131,0,55,55,42
S132,0,3,3,3
S133,0,15,20,15
S134,1,60,60,55
S135,1,75,75,72
S136,0,45,45,48
S137,0,10,8,5
S138,1,80,65,80
S139,0,8,6,4
S140,1,62,55,66
S141,1,55,45,47
S142,0,8,8,5
S143,0,40,35,41
S144,1,58,60,70
S145,0,20,20,10
S146,0,52,55,74
S147,0,10,10,8
S148,0,3,3,3
S149,0,10,10,7
S150,0,25,20,22
S151,0,8,8,7
S152,0,6,7,6
S153,0,15,15,18
S154,0,55,72,70
S155,0,5,5,5
S156,0,10,10,10
S157,0,12,10,8
S158,1,78,80,80
S159,1,80,85,74
S160,0,10,10,7
S161,1,88,88,90
S162,0,20,20,10
S163,0,5,5,4
S164,0,6,6,5
S165,0,4,5,3
S166,0,55,45,35
S167,0,6,6,3
S168,0,15,15,10
S169,1,80,85,78
S170,1,72,55,93
S171,0,15,8,6
S172,0,25,15,14
S173,0,8,6,5
S174,1,65,45,50
S175,0,45,40,80
S176,0,12,8,6
S177,0,15,10,5
S178,1,88,85,89
S179,0,20,12,5
S180,0,25,10,8
S181,0,30,15,10
S182,0,20,12,10
S183,0,8,5,4
S184,0,10,6,4
S185,0,30,22,12
S186,0,18,10,12
S187,0,40,25,15
S188,1,55,45,58
S189,0,45,30,25
S190,1,45,45,58
S191,1,60,60,42
S192,0,5,5,7
S193,0,65,65,66
S194,0,3,4,5
S195,1,80,80,80
S196,1,85,75,72
S197,0,8,8,10
S198,0,15,15,14
S199,1,75,78,78
S200,0,8,5,7
S201,1,88,88,88
S202,0,10,10,4
S203,0,45,45,58
S204,0,12,15,10
S205,0,5,5,4
S206,1,72,72,66
S207,0,10,10,6
S208,0,8,6,4
S209,0,25,25,24
S210,1,55,35,48
S211,0,10,8,5
S212,1,45,45,42
S213,0,20,15,12
S214,1,50,55,62
S215,0,30,40,28
S216,0,25,20,25
S217,1,65,70,78
S218,1,60,50,72
S219,0,3,3,4
S220,0,25,15,15
S221,1,45,30,55
S222,1,55,45,52
S223,1,60,50,58
S224,0,20,15,10
S225,0,40,25,40
S226,0,45,30,35
S227,1,65,55,68
S228,0,70,50,57
S229,0,8,5,7
S230,0,15,12,8
S231,0,10,15,6
S232,1,92,88,88
S233,0,10,10,5
S234,0,8,8,5
S235,0,3,3,3
S236,0,20,22,10
S237,0,65,55,45
S238,0,8,7,5
S239,0,55,45,52
S240,0,55,30,45
