blind_id,sid,group,opus_ai_guess
S000,2026-03-25#t2346w0,B_ai,72
S001,2026-05-06#t2666w0,B_human,15
S002,2019-11-27#t232w4,ctl2019,10
S003,2019-12-12#t400w0,ctl2019,3
S004,2024-03-22#t15720w11,cand_ai,85
S005,2025-12-05#t1622w0,B_human,45
S006,2023-05-10#t11631w7,cand_human,78
S007,2026-05-07#t2847w1,B_human,20
S008,2019-12-12#t300w0,ctl2019,8
S009,2025-12-02#t1317w0,B_human,10
S010,2025-12-11#t1806w0,B_human,35
S011,2026-05-13#t3076w2,B_ai,85
S012,2019-05-10#t30w0,cand_human,25
S013,2025-11-04#t575w0,cand_human,8
S014,2025-10-22#t102w16,B_human,20
S015,2026-03-26#t2552w4,cand_human,4
S016,2019-11-27#t261w5,ctl2019,7
S017,2026-03-24#t2318w3,B_human,12
S018,2026-05-05#t2572w0,cand_human,65
S019,2025-10-24#t112w0,cand_ai,72
S020,2025-10-28#t231w0,cand_human,35
S021,2026-05-08#t2991w0,cand_human,3
S022,2026-03-26#t2472w0,B_human,20
S023,2025-12-02#t1316w0,B_human,15
S024,2019-11-27#t230w13,cand_human,45
S025,2026-03-24#t2323w3,B_human,40
S026,2023-11-03#t13954w0,cand_human,55
S027,2025-11-05#t615w0,B_human,10
S028,2019-11-27#t261w8,ctl2019,20
S029,2024-05-16#t16835w0,cand_ai,80
S030,2019-12-12#t302w0,ctl2019,10
S031,2025-11-07#t858w0,cand_human,80
S032,2025-10-30#t509w4,cand_ai,85
S033,2019-11-27#t138w0,ctl2019,35
S034,2019-11-27#t155w0,ctl2019,5
S035,2019-12-12#t406w1,ctl2019,5
S036,2026-03-24#t2322w8,B_human,10
S037,2026-05-08#t2891w0,B_human,45
S038,2025-12-02#t1342w0,B_human,25
S039,2019-11-27#t140w0,ctl2019,20
S040,2025-12-05#t1622w1,cand_human,35
S041,2025-11-04#t546w0,cand_human,30
S042,2025-11-07#t896w0,B_human,10
S043,2025-11-07#t912w0,cand_human,45
S044,2026-03-25#t2389w0,B_human,12
S045,2025-10-24#t119w0,cand_ai,60
S046,2025-12-05#t1595w0,cand_human,8
S047,2019-11-27#t238w11,ctl2019,20
S048,2026-03-24#t2246w0,B_human,55
S049,2023-12-05#t14931w2,cand_ai,80
S050,2024-06-04#t17361w0,cand_ai,70
S051,2026-03-24#t2318w10,B_human,8
S052,2025-10-30#t511w0,cand_human,15
S053,2025-10-22#t81w0,B_human,7
S054,2025-10-28#t213w0,cand_human,72
S055,2019-11-27#t187w0,ctl2019,3
