seg_id,year,opus_screen
2025-12-04#t1558w3,2025,93
2025-05-08#t1898w4,2025,92
2026-05-06#t2719w0,2026,92
2025-05-08#t1893w6,2025,92
2025-05-06#t1670w0,2025,92
2025-05-16#t2553w1,2025,90
2026-05-13#t3076w3,2026,88
2025-10-30#t534w0,2025,88
2025-11-20#t1204w0,2025,88
2025-06-03#t3141w2,2025,88
2025-05-14#t2325w1,2025,88
2024-03-22#t15720w11,2024,88
2025-05-16#t2534w3,2025,88
2025-05-08#t1893w2,2025,88
2025-10-24#t191w0,2025,88
2026-05-06#t2715w0,2026,88
2025-11-06#t803w0,2025,88
2026-05-13#t3076w2,2026,88
2025-12-04#t1558w2,2025,88
2023-05-10#t11631w5,2023,88
2025-06-03#t3141w3,2025,88
2026-05-07#t2871w4,2026,88
2025-12-10#t1783w0,2025,88
2026-05-13#t3069w1,2026,85
2025-05-28#t2783w4,2025,85
2026-05-13#t3069w3,2026,85
2026-05-07#t2871w1,2026,85
2025-05-27#t2649w0,2025,85
2025-11-06#t799w4,2025,85
2025-11-06#t837w0,2025,85
2026-05-07#t2856w5,2026,85
2024-11-27#t409w3,2024,85
2025-12-04#t1534w2,2025,85
2025-05-16#t2533w7,2025,85
2025-12-12#t1943w0,2025,85
2025-05-27#t2663w0,2025,85
2026-05-06#t2703w0,2026,85
2025-10-29#t406w0,2025,85
2025-05-28#t2793w0,2025,85
2026-05-07#t2856w6,2026,85
2025-05-28#t2792w7,2025,82
2025-05-30#t3040w0,2025,82
2024-05-09#t16460w0,2024,82
2026-03-26#t2551w0,2026,82
2025-11-20#t1204w2,2025,80
2026-05-06#t2715w2,2026,80
2025-05-14#t2325w2,2025,80
2025-12-11#t1815w0,2025,80
2025-03-27#t1613w6,2025,80
2026-05-06#t2715w1,2026,80
2025-12-04#t1546w2,2025,80
2026-05-07#t2830w2,2026,80
2026-05-13#t3093w1,2026,80
2025-05-16#t2534w0,2025,80
2025-05-14#t2337w2,2025,80
2025-05-30#t3040w4,2025,80
2025-05-08#t1893w3,2025,80
2025-06-03#t3060w0,2025,80
2026-05-14#t3193w2,2026,80
2026-05-13#t3072w2,2026,80
2026-05-14#t3199w3,2026,80
2025-05-14#t2324w0,2025,80
2025-11-06#t803w1,2025,80
2025-03-19#t1116w3,2025,80
2025-11-20#t1205w7,2025,80
2024-05-16#t16835w1,2024,78
2025-05-14#t2317w2,2025,78
2026-05-13#t3071w0,2026,78
2026-05-14#t3199w1,2026,78
2025-11-05#t691w2,2025,78
2025-11-06#t809w5,2025,75
2025-05-27#t2649w1,2025,75
2024-12-12#t812w1,2024,75
2026-05-14#t3193w1,2026,75
2025-05-27#t2635w0,2025,75
2025-11-20#t1100w0,2025,75
2025-05-28#t2795w5,2025,75
2025-12-04#t1534w3,2025,75
2025-10-28#t278w1,2025,75
2025-10-29#t406w2,2025,75
2025-05-27#t2662w0,2025,75
2023-11-23#t14308w0,2023,75
2025-11-05#t694w0,2025,75
2025-05-14#t2317w0,2025,75
2025-11-20#t1205w5,2025,75
2025-06-03#t3143w0,2025,75
2026-03-26#t2546w5,2026,75
2026-05-08#t2952w0,2026,75
2025-10-30#t534w2,2025,75
2025-05-28#t2792w1,2025,75
2025-10-29#t406w3,2025,75
2025-10-28#t278w8,2025,75
2025-12-04#t1546w1,2025,75
2023-10-24#t13338w7,2023,72
2025-10-29#t406w4,2025,72
2024-05-16#t16835w5,2024,72
2025-12-12#t2008w0,2025,72
2026-05-07#t2830w6,2026,72
2026-03-26#t2546w8,2026,72
2025-11-05#t690w2,2025,72
2025-05-28#t2794w2,2025,72
2025-10-30#t496w4,2025,72
2025-10-30#t509w4,2025,72
2025-05-14#t2337w0,2025,72
2023-11-23#t14342w3,2023,72
2024-12-12#t840w4,2024,72
2024-06-07#t17773w2,2024,72
2025-12-03#t1414w0,2025,72
2025-05-28#t2781w6,2025,72
2025-03-26#t1515w5,2025,72
2026-05-07#t2856w4,2026,72
2026-05-14#t3202w1,2026,72
2026-03-25#t2418w3,2026,72
2026-03-18#t2135w10,2026,72
