id,chamber,stratum,seg_id,date,n_words,pangram,prior,version
ch000,Dail Eireann,ctl,IE2018-03-21#t150w0,2018-03-21,176,Human,Human,4.0-web
ch001,Dail Eireann,ctl,IE2018-05-02#t194w0,2018-05-02,123,Human,Human,4.0-web
ch002,Dail Eireann,ctl,IE2018-05-22#t69w0,2018-05-22,150,Human,Human,4.0-web
ch003,Dail Eireann,ctl,IE2018-05-30#t355w0,2018-05-30,135,Human,Human,4.0-web
ch004,Dail Eireann,ctl,IE2018-07-03#t383w1,2018-07-03,316,Human,Human,4.0-web
ch005,Dail Eireann,ctl,IE2018-09-25#t118w1,2018-09-25,181,Human,Human,4.0-web
ch006,Dail Eireann,ctl,IE2018-10-18#t160w3,2018-10-18,332,Human,Human,4.0-web
ch007,Dail Eireann,ctl,IE2018-11-29#t61w0,2018-11-29,350,Human,Human,4.0-web
ch008,Dail Eireann,ctl,IE2018-12-11#t89w0,2018-12-11,136,Human,Human,4.0-web
ch009,Dail Eireann,ctl,IE2018-12-19#t117w0,2018-12-19,135,Human,Human,4.0-web
ch010,Dail Eireann,ctl,IE2019-01-22#t365w2,2019-01-22,346,Human,Human,4.0-web
ch011,Dail Eireann,ctl,IE2019-02-12#t41w0,2019-02-12,144,Human,Human,4.0-web
ch012,Dail Eireann,ctl,IE2019-04-03#t232w0,2019-04-03,285,Human,Human,4.0-web
ch013,Dail Eireann,ctl,IE2019-04-09#t280w0,2019-04-09,195,Human,Human,4.0-web
ch014,Dail Eireann,ctl,IE2019-04-17#t349w0,2019-04-17,145,Human,Human,4.0-web
ch015,Dail Eireann,ctl,IE2019-04-18#t277w2,2019-04-18,150,Human,Human,4.0-web
ch016,Dail Eireann,ctl,IE2019-05-08#t121w0,2019-05-08,134,Human,Human,4.0-web
ch017,Dail Eireann,ctl,IE2019-05-29#t114w0,2019-05-29,325,Human,Human,4.0-web
ch018,Dail Eireann,ctl,IE2019-05-29#t242w2,2019-05-29,229,Human,Human,4.0-web
ch019,Dail Eireann,ctl,IE2019-10-15#t244w0,2019-10-15,298,Human,Human,4.0-web
ch020,Dail Eireann,ctl,IE2019-11-13#t339w0,2019-11-13,290,Human,Human,4.0-web
ch021,Dail Eireann,ctl,IE2019-12-04#t86w1,2019-12-04,293,Human,Human,4.0-web
ch022,Dail Eireann,ctl,IE2020-04-30#t257w0,2020-04-30,261,Human,Human,4.0-web
ch023,Dail Eireann,ctl,IE2020-05-13#t31w0,2020-05-13,312,Human,Human,4.0-web
ch024,Dail Eireann,ctl,IE2020-05-21#t27w1,2020-05-21,346,Human,Human,4.0-web
ch025,Dail Eireann,ctl,IE2020-06-17#t151w0,2020-06-17,143,Human,Human,4.0-web
ch026,Dail Eireann,ctl,IE2020-06-30#t28w3,2020-06-30,299,Human,Human,4.0-web
ch027,Dail Eireann,ctl,IE2020-09-02#t101w1,2020-09-02,335,Human,Human,4.0-web
ch028,Dail Eireann,ctl,IE2020-09-08#t264w1,2020-09-08,341,Human,Human,4.0-web
ch029,Dail Eireann,ctl,IE2020-09-08#t26w1,2020-09-08,205,Human,Human,4.0-web
ch030,Dail Eireann,ctl,IE2020-09-24#t183w4,2020-09-24,320,Human,Human,4.0-web
ch031,Dail Eireann,ctl,IE2020-10-01#t258w0,2020-10-01,164,Human,Human,4.0-web
ch032,Dail Eireann,ctl,IE2020-10-21#t253w0,2020-10-21,178,Human,Human,4.0-web
ch033,Dail Eireann,ctl,IE2020-12-10#t201w0,2020-12-10,163,Human,Human,4.0-web
ch034,Dail Eireann,ctl,IE2021-01-20#t22w1,2021-01-20,271,Human,Human,4.0-web
ch035,Dail Eireann,ctl,IE2021-01-21#t250w0,2021-01-21,309,Human,Human,4.0-web
ch036,Dail Eireann,ctl,IE2021-02-25#t12w0,2021-02-25,286,Human,Human,4.0-web
ch037,Dail Eireann,ctl,IE2021-02-25#t13w2,2021-02-25,172,Human,Human,4.0-web
ch038,Dail Eireann,ctl,IE2021-03-11#t110w0,2021-03-11,203,Human,Human,4.0-web
ch039,Dail Eireann,ctl,IE2021-04-21#t233w5,2021-04-21,360,Human,Human,4.0-web
ch040,Dail Eireann,ctl,IE2021-06-22#t212w0,2021-06-22,148,Human,Human,4.0-web
ch041,Dail Eireann,ctl,IE2021-06-24#t139w0,2021-06-24,187,Human,Human,4.0-web
ch042,Dail Eireann,ctl,IE2021-06-24#t229w2,2021-06-24,165,Human,Human,4.0-web
ch043,Dail Eireann,ctl,IE2021-06-30#t153w0,2021-06-30,227,Human,Human,4.0-web
ch044,Dail Eireann,ctl,IE2021-07-01#t220w3,2021-07-01,338,Human,Human,4.0-web
ch045,Dail Eireann,ctl,IE2021-07-02#t52w2,2021-07-02,297,Human,Human,4.0-web
ch046,Dail Eireann,ctl,IE2021-11-23#t171w1,2021-11-23,163,Human,Human,4.0-web
ch047,Dail Eireann,ctl,IE2021-12-03#t225w1,2021-12-03,260,Human,Human,4.0-web
ch048,Dail Eireann,ctl,IE2021-12-07#t32w0,2021-12-07,327,Human,Human,4.0-web
ch049,Dail Eireann,ctl,IE2022-01-26#t294w2,2022-01-26,164,Human,Human,4.0-web
ch050,Dail Eireann,ctl,IE2022-02-09#t255w2,2022-02-09,317,Human,Human,4.0-web
ch051,Dail Eireann,ctl,IE2022-03-08#t201w0,2022-03-08,323,Human,Human,4.0-web
ch052,Dail Eireann,ctl,IE2022-03-23#t22w1,2022-03-23,220,Human,Human,4.0-web
ch053,Dail Eireann,ctl,IE2022-05-05#t272w2,2022-05-05,167,Human,Human,4.0-web
ch054,Dail Eireann,ctl,IE2022-06-01#t223w1,2022-06-01,188,Human,Human,4.0-web
ch055,Dail Eireann,ctl,IE2022-09-21#t180w3,2022-09-21,220,Human,Human,4.0-web
ch056,Dail Eireann,ctl,IE2022-09-21#t211w0,2022-09-21,237,Human,Human,4.0-web
ch057,Dail Eireann,ctl,IE2022-09-22#t271w0,2022-09-22,140,Human,Human,4.0-web
ch058,Dail Eireann,ctl,IE2022-10-27#t266w1,2022-10-27,243,Human,Human,4.0-web
ch059,Dail Eireann,ctl,IE2022-11-17#t29w0,2022-11-17,227,Human,Human,4.0-web
ch060,Dail Eireann,prev,IE2025-02-05#t107w0,2025-02-05,158,Human,Human,4.0-web
