id,chamber,era,band,seg_id,date,n_words,pangram,version
mb000,MB,ctl,long,MB2007-09-25#t126w0,2007-09-25,178,Human,4.0-web
mb001,MB,ctl,short,MB2007-09-25#t202w0,2007-09-25,57,Human,4.0-web
mb002,MB,ctl,short,MB2007-09-26#t431w0,2007-09-26,76,Human,4.0-web
mb003,MB,ctl,long,MB2007-09-26#t54w0,2007-09-26,136,Human,4.0-web
mb004,MB,ctl,short,MB2007-10-04#t341w0,2007-10-04,98,Human,4.0-web
mb005,MB,ctl,long,MB2007-10-09#t2w2,2007-10-09,344,Human,4.0-web
mb006,MB,ctl,short,MB2007-10-18#t52w0,2007-10-18,116,Human,4.0-web
mb007,MB,ctl,long,MB2007-11-06#t66w3,2007-11-06,230,Human,4.0-web
mb008,MB,ctl,long,MB2007-12-03#t96w2,2007-12-03,218,Human,4.0-web
mb009,MB,ctl,long,MB2007-12-04#t84w0,2007-12-04,287,Human,4.0-web
mb010,MB,ctl,long,MB2008-04-15#t17w0,2008-04-15,325,Human,4.0-web
mb011,MB,ctl,short,MB2008-04-24#t523w1,2008-04-24,86,Human,4.0-web
mb012,MB,ctl,short,MB2008-04-28#t66w0,2008-04-28,105,Human,4.0-web
mb013,MB,ctl,short,MB2008-04-29#t122w0,2008-04-29,57,Human,4.0-web
mb014,MB,ctl,long,MB2008-05-01#t90w0,2008-05-01,350,Human,4.0-web
mb015,MB,ctl,long,MB2008-05-08#t155w0,2008-05-08,188,Human,4.0-web
mb016,MB,ctl,short,MB2008-05-29#t34w0,2008-05-29,77,Human,4.0-web
mb017,MB,ctl,long,MB2008-09-22#t82w0,2008-09-22,327,Human,4.0-web
mb018,MB,ctl,short,MB2008-09-23#t54w0,2008-09-23,62,Human,4.0-web
mb019,MB,ctl,long,MB2008-09-23#t7w4,2008-09-23,164,Human,4.0-web
mb020,MB,ctl,long,MB2008-10-01#t82w0,2008-10-01,281,Human,4.0-web
mb021,MB,ctl,long,MB2008-10-06#t49w0,2008-10-06,164,Human,4.0-web
mb022,MB,ctl,long,MB2008-12-02#t52w3,2008-12-02,272,Human,4.0-web
mb023,MB,ctl,long,MB2009-04-28#t201w0,2009-04-28,131,Human,4.0-web
mb024,MB,ctl,long,MB2009-04-30#t13w0,2009-04-30,270,Human,4.0-web
mb025,MB,ctl,long,MB2009-05-04#t360w1,2009-05-04,138,Human,4.0-web
mb026,MB,ctl,long,MB2009-05-05#t398w1,2009-05-05,309,Human,4.0-web
mb027,MB,ctl,long,MB2009-05-06#t39w0,2009-05-06,126,Human,4.0-web
mb028,MB,ctl,long,MB2009-05-27#t82w0,2009-05-27,272,Human,4.0-web
mb029,MB,ctl,long,MB2009-09-29#t69w6,2009-09-29,319,Human,4.0-web
mb030,MB,ctl,long,MB2010-03-24#t87w0,2010-03-24,338,Human,4.0-web
mb031,MB,ctl,long,MB2010-04-06#t71w6,2010-04-06,266,Human,4.0-web
mb032,MB,ctl,short,MB2010-04-09#t31w0,2010-04-09,116,Human,4.0-web
mb033,MB,ctl,short,MB2010-04-09#t39w0,2010-04-09,111,Human,4.0-web
mb034,MB,ctl,long,MB2010-04-22#t23w0,2010-04-22,207,Human,4.0-web
mb035,MB,ctl,long,MB2010-04-26#t65w3,2010-04-26,356,Human,4.0-web
mb036,MB,ctl,long,MB2010-05-04#t20w0,2010-05-04,318,Human,4.0-web
mb037,MB,ctl,short,MB2010-05-31#t30w0,2010-05-31,112,Human,4.0-web
mb038,MB,ctl,long,MB2010-06-10#t59w0,2010-06-10,138,Human,4.0-web
mb039,MB,ctl,long,MB2010-06-16#t158w0,2010-06-16,137,Human,4.0-web
mb040,MB,ctl,long,MB2010-12-09#t43w0,2010-12-09,187,Human,4.0-web
mb041,MB,ctl,short,MB2015-05-07#t20w0,2015-05-07,113,Human,4.0-web
mb042,MB,ctl,short,MB2015-05-25#t303w1,2015-05-25,65,Human,4.0-web
mb043,MB,ctl,long,MB2015-05-27#t187w0,2015-05-27,290,Human,4.0-web
mb044,MB,ctl,short,MB2015-05-27#t58w0,2015-05-27,108,Human,4.0-web
mb045,MB,ctl,long,MB2015-06-25#t19w0,2015-06-25,351,Human,4.0-web
mb046,MB,ctl,short,MB2015-10-26#t171w0,2015-10-26,109,Human,4.0-web
mb047,MB,ctl,long,MB2015-11-04#t97w0,2015-11-04,177,Human,4.0-web
mb048,MB,ctl,short,MB2015-11-25#t28w0,2015-11-25,115,Human,4.0-web
mb049,MB,ctl,long,MB2015-11-25#t6w0,2015-11-25,236,Human,4.0-web
mb050,MB,ctl,long,MB2016-03-02#t25w0,2016-03-02,147,Human,4.0-web
mb051,MB,ctl,long,MB2016-03-07#t62w6,2016-03-07,350,Human,4.0-web
mb052,MB,ctl,long,MB2016-03-08#t76w3,2016-03-08,308,Human,4.0-web
mb053,MB,ctl,long,MB2016-03-09#t66w2,2016-03-09,236,Human,4.0-web
mb054,MB,ctl,long,MB2016-03-10#t23w1,2016-03-10,358,Human,4.0-web
mb055,MB,ctl,short,MB2016-05-31#t41w0,2016-05-31,117,Human,4.0-web
mb056,MB,ctl,short,MB2016-06-09#t38w0,2016-06-09,105,Human,4.0-web
mb057,MB,ctl,short,MB2016-06-21#t13w0,2016-06-21,102,Human,4.0-web
mb058,MB,ctl,long,MB2016-11-24#t29w0,2016-11-24,128,Human,4.0-web
mb059,MB,ctl,long,MB2017-03-06#t123w1,2017-03-06,299,Human,4.0-web
mb060,MB,ctl,long,MB2017-03-13#t66w0,2017-03-13,326,Human,4.0-web
mb061,MB,ctl,long,MB2017-03-14#t78w1,2017-03-14,328,Human,4.0-web
mb062,MB,ctl,long,MB2017-03-15#t10w0,2017-03-15,314,Human,4.0-web
mb063,MB,ctl,long,MB2017-03-16#t70w0,2017-03-16,298,Human,4.0-web
mb064,MB,ctl,long,MB2017-03-21#t131w0,2017-03-21,354,Human,4.0-web
mb065,MB,ctl,long,MB2017-03-21#t148w1,2017-03-21,324,Human,4.0-web
mb066,MB,ctl,long,MB2017-04-19#t101w0,2017-04-19,335,Human,4.0-web
mb067,MB,ctl,short,MB2017-04-25#t39w0,2017-04-25,89,Human,4.0-web
mb068,MB,ctl,short,MB2017-05-18#t31w0,2017-05-18,104,Human,4.0-web
mb069,MB,ctl,long,MB2017-05-25#t91w2,2017-05-25,204,Human,4.0-web
mb070,MB,ctl,long,MB2017-10-05#t44w0,2017-10-05,242,Human,4.0-web
mb071,MB,ctl,long,MB2017-10-30#t15w0,2017-10-30,331,Human,4.0-web
mb072,MB,ctl,short,MB2017-11-07#t59w0,2017-11-07,50,Human,4.0-web
mb073,MB,ctl,long,MB2017-11-28#t79w0,2017-11-28,228,Human,4.0-web
mb074,MB,ctl,long,MB2018-04-10#t147w0,2018-04-10,197,Human,4.0-web
mb075,MB,ctl,short,MB2018-05-08#t163w0,2018-05-08,80,Human,4.0-web
mb076,MB,ctl,long,MB2018-05-10#t3w4,2018-05-10,184,Human,4.0-web
mb077,MB,ctl,long,MB2018-05-15#t2w0,2018-05-15,346,Human,4.0-web
mb078,MB,ctl,long,MB2018-05-16#t162w0,2018-05-16,278,Human,4.0-web
mb079,MB,ctl,long,MB2018-05-29#t14w0,2018-05-29,321,Human,4.0-web
mb080,MB,ctl,long,MB2018-05-30#t81w0,2018-05-30,263,Human,4.0-web
mb081,MB,ctl,short,MB2018-11-23#t12w0,2018-11-23,57,Human,4.0-web
mb082,MB,ctl,short,MB2018-11-27#t25w0,2018-11-27,62,Human,4.0-web
mb083,MB,ctl,long,MB2018-12-05#t30w0,2018-12-05,152,Human,4.0-web
mb084,MB,ctl,long,MB2019-03-20#t111w2,2019-03-20,274,Human,4.0-web
mb085,MB,ctl,short,MB2019-03-21#t48w0,2019-03-21,85,Human,4.0-web
mb086,MB,ctl,short,MB2019-04-03#t137w0,2019-04-03,106,Human,4.0-web
mb087,MB,ctl,long,MB2019-05-21#t100w3,2019-05-21,359,Human,4.0-web
mb088,MB,ctl,short,MB2019-05-28#t36w0,2019-05-28,113,Human,4.0-web
mb089,MB,ctl,short,MB2019-10-08#t55w0,2019-10-08,117,Human,4.0-web
mb090,MB,ctl,short,MB2019-10-09#t126w0,2019-10-09,58,Human,4.0-web
mb091,MB,prev,long,MB2025-03-06#t26w4,2025-03-06,313,Human,4.0-web
mb092,MB,prev,short,MB2025-03-06#t31w0,2025-03-06,110,Human,4.0-web
mb093,MB,prev,long,MB2025-03-10#t48w0,2025-03-10,152,Human,4.0-web
mb094,MB,prev,long,MB2025-03-11#t24w0,2025-03-11,350,Mixed,4.0-web
mb095,MB,prev,long,MB2025-03-11#t56w0,2025-03-11,319,Human,4.0-web
mb096,MB,prev,long,MB2025-03-12#t22w0,2025-03-12,145,Human,4.0-web
mb097,MB,prev,long,MB2025-03-12#t52w0,2025-03-12,310,Human,4.0-web
mb098,MB,prev,long,MB2025-03-13#t1w0,2025-03-13,151,Human,4.0-web
mb099,MB,prev,long,MB2025-03-13#t51w1,2025-03-13,189,Human,4.0-web
mb100,MB,prev,short,MB2025-03-13#t97w3,2025-03-13,56,Human,4.0-web
mb101,MB,prev,long,MB2025-03-13#t98w2,2025-03-13,358,Human,4.0-web
mb102,MB,prev,short,MB2025-03-18#t46w0,2025-03-18,68,Human,4.0-web
mb103,MB,prev,long,MB2025-03-19#t112w0,2025-03-19,121,Human,4.0-web
mb104,MB,prev,short,MB2025-03-19#t49w0,2025-03-19,76,Human,4.0-web
mb105,MB,prev,short,MB2025-03-19#t88w0,2025-03-19,82,Human,4.0-web
mb106,MB,prev,long,MB2025-03-21#t83w1,2025-03-21,297,Human,4.0-web
mb107,MB,prev,long,MB2025-03-24#t72w0,2025-03-24,339,Human,4.0-web
mb108,MB,prev,long,MB2025-03-27#t22w0,2025-03-27,156,Human,4.0-web
mb109,MB,prev,long,MB2025-03-27#t36w0,2025-03-27,125,Human,4.0-web
mb110,MB,prev,short,MB2025-03-27#t77w1,2025-03-27,63,Human,4.0-web
mb111,MB,prev,long,MB2025-03-27#t89w0,2025-03-27,342,Human,4.0-web
mb112,MB,prev,long,MB2025-03-27#t9w0,2025-03-27,318,Human,4.0-web
mb113,MB,prev,long,MB2025-03-28#t44w0,2025-03-28,129,Human,4.0-web
mb114,MB,prev,long,MB2025-03-28#t69w0,2025-03-28,120,Human,4.0-web
mb115,MB,prev,short,MB2025-03-28#t9w1,2025-03-28,95,Human,4.0-web
mb116,MB,prev,short,MB2025-04-08#t47w0,2025-04-08,86,Human,4.0-web
mb117,MB,prev,long,MB2025-04-08#t4w1,2025-04-08,318,Human,4.0-web
mb118,MB,prev,short,MB2025-04-09#t102w0,2025-04-09,78,Human,4.0-web
mb119,MB,prev,short,MB2025-04-09#t41w0,2025-04-09,89,Human,4.0-web
mb120,MB,prev,long,MB2025-04-09#t69w0,2025-04-09,349,Human,4.0-web
mb121,MB,prev,long,MB2025-04-10#t67w0,2025-04-10,321,Human,4.0-web
mb122,MB,prev,long,MB2025-04-10#t74w0,2025-04-10,351,Human,4.0-web
mb123,MB,prev,short,MB2025-04-14#t151w0,2025-04-14,65,Human,4.0-web
mb124,MB,prev,short,MB2025-04-15#t178w2,2025-04-15,80,Mixed,4.0-web
mb125,MB,prev,long,MB2025-04-15#t39w0,2025-04-15,153,Human,4.0-web
mb126,MB,prev,short,MB2025-04-16#t218w0,2025-04-16,77,Human,4.0-web
mb127,MB,prev,long,MB2025-04-16#t276w0,2025-04-16,132,Human,4.0-web
mb128,MB,prev,short,MB2025-04-16#t298w0,2025-04-16,73,Human,4.0-web
mb129,MB,prev,short,MB2025-04-16#t79w0,2025-04-16,114,Human,4.0-web
mb130,MB,prev,short,MB2025-04-16#t91w0,2025-04-16,69,Human,4.0-web
mb131,MB,prev,long,MB2025-04-17#t13w0,2025-04-17,126,Human,4.0-web
mb132,MB,prev,long,MB2025-04-17#t49w2,2025-04-17,310,Human,4.0-web
mb133,MB,prev,short,MB2025-04-17#t96w0,2025-04-17,94,Human,4.0-web
mb134,MB,prev,short,MB2025-04-22#t52w0,2025-04-22,59,Human,4.0-web
