id,chamber,era,seg_id,date,n_words,band,pangram,version
sbukp000,UK,prev,UK2026-06-22#t317w0,2026-06-22,57,short,Human,4.0-web
sbukp001,UK,prev,UK2026-02-09#t100w0,2026-02-09,107,short,Human,4.0-web
sbukp002,UK,prev,UK2025-12-09#t272w0,2025-12-09,78,short,Human,4.0-web
sbukp003,UK,prev,UK2026-04-29#t53w0,2026-04-29,107,short,Human,4.0-web
sbukp004,UK,prev,UK2025-03-26#t163w0,2025-03-26,54,short,Human,4.0-web
sbukp005,UK,prev,UK2025-06-05#t173w0,2025-06-05,97,short,Human,4.0-web
sbukp006,UK,prev,UK2025-09-04#t442w0,2025-09-04,61,short,Human,4.0-web
sbukp007,UK,prev,UK2025-07-21#t562w0,2025-07-21,81,short,Human,4.0-web
sbukp008,UK,prev,UK2026-07-01#t183w0,2026-07-01,59,short,Human,4.0-web
sbukp009,UK,prev,UK2025-05-06#t248w0,2025-05-06,72,short,Human,4.0-web
sbukp010,UK,prev,UK2025-05-01#t117w0,2025-05-01,93,short,Human,4.0-web
sbukp011,UK,prev,UK2025-06-19#t398w0,2025-06-19,67,short,Human,4.0-web
sbukp012,UK,prev,UK2025-02-12#t222w1,2025-02-12,84,short,Human,4.0-web
sbukp013,UK,prev,UK2025-03-31#t126w0,2025-03-31,62,short,Human,4.0-web
sbukp014,UK,prev,UK2025-03-04#t110w0,2025-03-04,59,short,Human,4.0-web
sbukp015,UK,prev,UK2025-01-14#t32w0,2025-01-14,91,short,Human,4.0-web
sbukp016,UK,prev,UK2025-02-11#t140w0,2025-02-11,75,short,Human,4.0-web
sbukp017,UK,prev,UK2025-06-13#t67w0,2025-06-13,64,short,Human,4.0-web
sbukp018,UK,prev,UK2025-01-28#t468w0,2025-01-28,66,short,Human,4.0-web
sbukp019,UK,prev,UK2026-05-20#t384w0,2026-05-20,91,short,Human,4.0-web
sbukp020,UK,prev,UK2026-02-04#t593w1,2026-02-04,116,short,Human,4.0-web
sbukp021,UK,prev,UK2025-02-24#t298w1,2025-02-24,66,short,Human,4.0-web
sbukp022,UK,prev,UK2025-07-08#t385w0,2025-07-08,70,short,Human,4.0-web
sbukp023,UK,prev,UK2025-06-02#t469w0,2025-06-02,82,short,Human,4.0-web
sbukp024,UK,prev,UK2025-10-30#t282w0,2025-10-30,99,short,Human,4.0-web
sbukp025,UK,prev,UK2025-10-14#t372w0,2025-10-14,85,short,Human,4.0-web
sbukp026,UK,prev,UK2025-06-17#t270w0,2025-06-17,52,short,Human,4.0-web
sbukp027,UK,prev,UK2026-02-26#t11w0,2026-02-26,55,short,Human,4.0-web
sbukp028,UK,prev,UK2025-06-30#t5w0,2025-06-30,91,short,Human,4.0-web
sbukp029,UK,prev,UK2026-02-09#t83w0,2026-02-09,93,short,Human,4.0-web
sbukp030,UK,prev,UK2026-03-09#t424w0,2026-03-09,116,short,Human,4.0-web
sbukp031,UK,prev,UK2025-07-01#t285w0,2025-07-01,60,short,Human,4.0-web
sbukp032,UK,prev,UK2026-03-12#t193w0,2026-03-12,74,short,Human,4.0-web
sbukp033,UK,prev,UK2025-03-24#t22w0,2025-03-24,103,short,Human,4.0-web
sbukp034,UK,prev,UK2025-09-01#t380w0,2025-09-01,110,short,Human,4.0-web
sbukp035,UK,prev,UK2025-06-23#t271w0,2025-06-23,51,short,Human,4.0-web
sbukp036,UK,prev,UK2026-03-23#t53w0,2026-03-23,117,short,Human,4.0-web
sbukp037,UK,prev,UK2026-01-26#t372w0,2026-01-26,57,short,Human,4.0-web
sbukp038,UK,prev,UK2026-07-06#t62w0,2026-07-06,106,short,Human,4.0-web
sbukp039,UK,prev,UK2025-09-01#t306w0,2025-09-01,90,short,Human,4.0-web
sbukp040,UK,prev,UK2025-06-05#t471w2,2025-06-05,95,short,Human,4.0-web
sbukp041,UK,prev,UK2026-01-19#t250w0,2026-01-19,104,short,Human,4.0-web
sbukp042,UK,prev,UK2025-01-23#t159w0,2025-01-23,106,short,Human,4.0-web
sbukp043,UK,prev,UK2026-06-08#t77w0,2026-06-08,93,short,Human,4.0-web
sbukp044,UK,prev,UK2025-02-05#t626w0,2025-02-05,58,short,Human,4.0-web
sbukp045,UK,prev,UK2025-11-13#t360w0,2025-11-13,58,short,Mixed,4.0-web
sbukp046,UK,prev,UK2025-02-04#t160w0,2025-02-04,67,short,Human,4.0-web
sbukp047,UK,prev,UK2026-04-28#t308w0,2026-04-28,114,short,Human,4.0-web
sbukp048,UK,prev,UK2026-06-02#t290w0,2026-06-02,103,short,Human,4.0-web
sbukp049,UK,prev,UK2025-06-30#t139w0,2025-06-30,59,short,Human,4.0-web
