id,text
v3_100,"Madam Speaker, last September our government launched a universal breakfast program in all New Brunswick schools. Not some schools. I will say that again: all New Brunswick schools. Close to a year later, we are already seeing concrete results. Every morning, throughout the province, students start their day with a nutritious meal: milk, eggs, bagels, apples, and cheese. Through our partnership with FeedNB, schools are able to offer healthy foods, which are often sourced from our local farms and businesses. For many families, especially with the rising cost of living, this program is making a real difference. It saves parents time and money and reduces stress in their morning routine. And it means students come to class prepared to learn. That is the whole point of it, and I am going to repeat it because it gets lost in the arguing about the cost: students come to class prepared to learn. Every child deserves to start their day on the right foot, Madam Speaker. Thank you."
v3_101,"Thank you, Madam Speaker. I rise today in sadness on the passing of Robert Hosford, beloved husband, father, pop pop, uncle, great-uncle, and friend. Robert passed away on Wednesday, November 12, leaving behind a legacy of love, laughter, and adventure. He was a devoted family man. He was the cornerstone of his family — the cornerstone — always putting their needs before his own. I want to say that again, because his family said it to me twice: he put their needs before his own. His love and support knew no bounds, and he was always there to lend a helping hand or offer a listening ear. Robert's warm smile and infectious laugh could light up a room, and his sense of humour could turn even the toughest day into a memorable moment. He was his family's biggest cheerleader, proudly supporting their endeavours and celebrating their success. Whether he was cheering on his favourite team or teaching a lesson, his passion for sports was only matched by his love for his family. Please join me in expressing condolences to Robert's family and friends. Thank you."
v3_102,"Madam Speaker, I want to recognize the outstanding work of Nursing Home Without Walls. Today they are with Horizon Health Network at the Miramichi Regional Hospital, in the main lobby past the gift shop, from 7 a.m. to 2 p.m. They are signing seniors up for MyHealthNB. A senior can sit down with someone there, get hands-on help, and reach the point of seeing their own blood work and their own imaging results, securely, on a screen. Bring a Medicare card and an email address. That is the whole list. Horizon staff verify identity and give out the access code right there — no appointment, no registration, nothing booked ahead. Nursing Home Without Walls has been taking barriers down like this in the lives of seniors in our communities for a while now, and seniors stay connected to their own health information, and stay healthy and independent, because of it. Thank you, Madam Speaker."
v3_103,"Property owners pay the cost of assessment fee on the property tax bill. That is through Finance and Treasury Board. They also pay charges through their local tax rates, which means the same property owner is paying twice over, once directly on the bill in front of them and once indirectly through the municipal taxes their town or their rural district collects and then hands to Service New Brunswick for assessment services. Both ways. Same person.

Madam Speaker, many New Brunswickers do not know this. They see the visible charge on the tax bill and they assume that is the entirety of the assessment cost. They do not realize the municipality is paying too.

Let me be clear. This motion does not criticize the work performed by Service New Brunswick. Assessment services are necessary. Municipalities require accurate assessments, and Service New Brunswick provides an actual service to municipalities and to rural districts, so nobody here should walk out of this Chamber telling assessors that their work is on trial.

But Finance and Treasury Board is not providing assessment services. It is charging the fee. That is the charge this motion seeks to eliminate, and after years of rising assessments and rising costs, I would argue the time has come to do it.

People feel the government benefits from circumstances they cannot control. No homeowner asked for property values to surge. No senior on a fixed income asked to have a modest house reassessed at a dramatically higher value, and we all know that assessments have gone up in recent years. With COVID-19, and with people moving here from away, home prices went up. Fair market value is a big factor in the assessment process, and that is why the increase was so sharp.

Up go the assessments. Up goes the revenue from this fee. That creates a perception, and the perception is that government does well out of the same increases that keep the rest of them up at night."
v3_104,"Madam Speaker, today is the International Day of Persons with Disabilities, and we recognize the strength, contributions, and resilience of persons with disabilities across New Brunswick. The member for Fredericton South asked in this House last month whether the province intended to ""offset"" the federal benefit. She used that word, and I want to answer it plainly. This summer we made sure the federal Canada Disability Benefit wouldn't detract from provincial disability programs. No offset. Federal programs are to complement provincial support, not replace it. We remain committed to a province where every person has an equal opportunity to participate fully in our communities, schools, workplaces, and public spaces. Accessibility and inclusion are not optional. They are essential to true equity. Let us keep working together to remove barriers, promote dignity, and ensure that every New Brunswicker can live, work, and thrive without limitations. Thank you, Madam Speaker."
v3_105,"Moreover, the treatment of nursing home workers under Premier Higgs' leadership was concerning. I am not a labour lawyer, and I will not pretend I have read every clause of the arbitration changes. I have read enough. This government took nursing home workers to court and suggested that they relocate to Alberta for better wages. I do not know how anyone says that out loud to a woman who has spent 20 years lifting residents out of bed in Bathurst. It was a failure in negotiation and a betrayal of the people who provide essential care to our vulnerable populations. The 16-day school strike, and the emergency orders used to force workers back, raised questions about this government's commitment to meaningful dialogue and to the right to strike. Those measures undermined the very principles of a fair and balanced negotiation process. Watering down binding arbitration, introducing scab-friendly legislation, and this pension bill are a pattern that erodes the foundation of workers' rights. They do not align with the principles of a just and equitable society. It is our duty to scrutinize and question these policies, because the decisions made by government impact the livelihoods of countless individuals and the health of our communities. Madam Deputy Speaker, you will recall the unions expressing their vehement disagreement with the wage-freeze restriction mandate proposed by the Higgs government — the 0% wage mandate in the early years of this government. In the face of a global pandemic, our frontline workers were nothing short of heroes. Their commitment and sacrifices demanded acknowledgement and tangible support. The union leaders rightly asserted that these heroes deserved more than zeroes in their wage agreements."
v3_106,"Madam Speaker, our government has presented the 2026-27 capital budget: $1.47 billion, $200 million more than last year, and the largest capital budget ever tabled in this province. Most of that money goes to the Department of Transportation and Infrastructure, for roads, bridges, ferries, and the wharves and culverts nobody thinks about until one of them washes out. The Department of Health will replace medical equipment that is past its life and renovate hospitals. We will build a new school in Shediac and a new school in Moncton, and we will upgrade several other institutions elsewhere in the province. We are doing this because the province underinvested for years and the backlog landed on this generation of students, patients and drivers. These are safety projects and they are quality-of-life projects. Our children will be using these buildings. Thank you, Madam Speaker."
v3_107,"Madam Speaker, each year, on November 11, we pause to remember the brave men and women who served and continue to serve our country in times of war, conflict, and peacekeeping. Their courage, sacrifice, and unwavering sense of duty have safeguarded the freedom and values we cherish today. We also pay tribute to the families who have carried the burden of separation and grief, and to the veterans who have returned home changed by their service. As we gather at cenotaphs and memorials across New Brunswick, may we renew our commitment to peace, to gratitude, and to never forgetting those who gave everything for Canada. Two minutes. That is what we are asked for. Stand still, and let the wreaths go down. Lest we forget. Lest we forget."
v3_108,"Mr. Speaker, labour relations in this province are strained, and that strain sits over every effort we make together to build prosperity in New Brunswick. This government took a legislative approach and that approach is the reason. We should be talking to workers and their representatives directly, telling them the truth, and keeping our word to them. Workers will trust a government that does those things, and a government that has their trust can weigh what everybody at the table needs.

Mr. Speaker, in December 2019, this Legislature was embroiled in a contentious debate over the essential service legislation, which was specifically focused on the wages of nursing home workers. That bill, Bill 17, imposed conditions on how labour arbitrators could rule on the wages of those workers. It sparked an intense reaction. Members of the New Brunswick Council of Nursing Home Unions came out against it. They said it would damage their ability to strike and to negotiate a fair wage, and they said it loudly. You could hear how deep the discontent ran.

The law passed. Union leaders decried it as an attack on public-sector labour unions. Sharon Teare, President of the New Brunswick Council of Nursing Home Unions, avowed that their voice would not be silenced. She said they would keep fighting for better working conditions and keep protecting the rights of nursing home workers, who play a valuable role in our society.

Bill 17 showed how the government and the labour unions in New Brunswick pull against each other on labour rights and on collective bargaining. It showed how hard it is to weigh what a worker needs against what a taxpayer pays and what a finance minister has to answer for.

When we look back at December 2019 and at the passage of Bill 17, we can't forget that there are members sitting in this government now who opposed that bill. They said so out loud. They said they would stand with the labour movement as long as they could. That has changed today."
v3_109,"Madam Speaker, I rise today to recognize the Battle of Vimy Ridge. It was fought on April 9, 1917. It is one of the defining moments in Canada's history. Since 2006, the Vimy Foundation has worked at raising awareness of that battle and educating Canadians about it, and this year's campaign marks the beginning of the lead-up to the 110th anniversary in 2027, which I hope every school in my riding takes part in, because a date on a page does not mean much to a 14-year-old unless somebody in the room makes it mean something. Vimy Week runs from April 2 to 9. Wear the pin. The Vimy Pin is composed of four distinct colours, one for each of the four Canadian divisions that fought together for the first time at Vimy Ridge, and it stands for their unity and their sacrifice. That is what we are honouring. Their courage. The legacy they left behind, which helped define this nation. Thank you, Madam Speaker."
