seg_id,stratum,date,speaker,n_words,prediction,fraction_ai,fraction_ai_assisted
2025-10-22#t102w1,A-consensus-2025,2025-10-22,Mr. M. LeBlanc,343,Human,0.0,0.0
2025-10-22#t18w0,A-consensus-2025,2025-10-22,Mr. Russell,144,Human,0.0,0.0
2025-10-22#t93w0,A-consensus-2025,2025-10-22,Ms. Mitton,250,Human,0.0,0.0
2025-10-23#t104w0,A-consensus-2025,2025-10-23,Madam Speaker,100,Human,0.0,0.0
2025-10-24#t162w0,A-consensus-2025,2025-10-24,Hon. Mr. Legacy,206,Mixed,0.0,1.0
2025-10-28#t254w0,A-consensus-2025,2025-10-28,Mr. Savoie,56,Human,0.0,0.0
2025-10-29#t337w0,A-consensus-2025,2025-10-29,Mr. Savoie,206,Human,0.0,0.0
2025-10-30#t430w0,A-consensus-2025,2025-10-30,Ms. Sodhi,176,AI,1.0,0.0
2025-11-05#t686w0,A-consensus-2025,2025-11-05,Madam Speaker,69,Human,0.0,0.0
2025-11-05#t687w2,A-consensus-2025,2025-11-05,Mr. Monahan,64,AI,1.0,0.0
2025-11-05#t701w0,A-consensus-2025,2025-11-05,Mr. M. LeBlanc,69,Human,0.0,0.0
2025-11-06#t785w0,A-consensus-2025,2025-11-06,Madam Speaker,103,Human,0.0,0.0
2025-11-06#t805w4,A-consensus-2025,2025-11-06,Ms. S. Wilson,53,Human,0.0,0.0
2025-11-18#t922w0,A-consensus-2025,2025-11-18,Hon. Mr. McKee,91,Human,0.0,0.0
2025-12-02#t1333w0,A-consensus-2025,2025-12-02,Hon. C. Chiasson,161,Human,0.0,0.0
2025-12-02#t1365w0,A-consensus-2025,2025-12-02,Hon. Ms. Thériault,143,AI,1.0,0.0
2025-12-04#t1516w1,A-consensus-2025,2025-12-04,Ms. M. Wilson,90,AI,1.0,0.0
2025-12-05#t1574w0,A-consensus-2025,2025-12-05,Ms. Conroy,165,Human,0.0,0.0
2025-12-09#t1719w0,A-consensus-2025,2025-12-09,Mr. Chair,336,Human,0.0,0.0
2025-12-10#t1743w0,A-consensus-2025,2025-12-10,Mr. Monahan,160,AI,1.0,0.0
2025-12-10#t1744w0,A-consensus-2025,2025-12-10,Mr. Savoie,72,Human,0.0,0.0
2025-12-10#t1783w0,A-consensus-2025,2025-12-10,Mr. Russell,261,AI,1.0,0.0
2025-12-11#t1877w2,A-consensus-2025,2025-12-11,Madam Speaker,119,Human,0.0,0.0
2025-12-11#t1916w8,A-consensus-2025,2025-12-11,,92,Human,0.0,0.0
2025-12-12#t2026w1,A-consensus-2025,2025-12-12,Mr. Savoie,303,Human,0.0,0.0
2026-03-18#t2129w0,A-consensus-2025,2026-03-18,Ms. Mitton,99,Human,0.0,0.0
2026-03-20#t2144w0,A-consensus-2025,2026-03-20,Mr. Savoie,120,AI,1.0,0.0
2026-03-24#t2305w3,A-consensus-2025,2026-03-24,Mr. M. LeBlanc,208,AI,1.0,0.0
2026-03-26#t2462w0,A-consensus-2025,2026-03-26,Mr. Arseneault,150,AI,1.0,0.0
2026-03-26#t2545w3,A-consensus-2025,2026-03-26,Mr. Bourque,110,Human,0.0,0.0
2026-03-26#t2551w0,A-consensus-2025,2026-03-26,Mr. M. LeBlanc,300,AI,1.0,0.0
2026-05-06#t2644w0,A-consensus-2025,2026-05-06,Ms. M. Wilson,161,AI,1.0,0.0
2026-05-07#t2871w3,A-consensus-2025,2026-05-07,Mr. Lee,337,AI,1.0,0.0
2026-05-13#t2998w0,A-consensus-2025,2026-05-13,Hon. Ms. Holt,269,AI,1.0,0.0
2026-05-13#t3058w0,A-consensus-2025,2026-05-13,Mr. Ames,126,AI,1.0,0.0
2026-05-13#t3063w0,A-consensus-2025,2026-05-13,Hon. C. Chiasson,309,Mixed,0.0,1.0
2019-05-10#t30w0,A-consensus-ctl,2019-05-10,Hon. S. Wilson,224,Human,0.0,0.0
2019-05-10#t64w0,A-consensus-ctl,2019-05-10,Hon. S. Wilson,63,Human,0.0,0.0
2019-11-27#t132w0,A-consensus-ctl,2019-11-27,Ms. Thériault,140,Human,0.0,0.0
2019-11-27#t185w0,A-consensus-ctl,2019-11-27,Mr. Austin,108,Human,0.0,0.0
2019-11-27#t198w0,A-consensus-ctl,2019-11-27,Mrs. Conroy,124,Human,0.0,0.0
2019-11-27#t216w1,A-consensus-ctl,2019-11-27,,132,Human,0.0,0.0
2019-11-27#t224w0,A-consensus-ctl,2019-11-27,Mr. Speaker,64,Human,0.0,0.0
2019-11-27#t230w13,A-consensus-ctl,2019-11-27,Mr. Austin,113,Human,0.0,0.0
