file,seg_id,date,speaker,n_words,opus_screen,pangram
nb0000,2025-12-04#t1558w3,2025-12-04,Ms. Bockus,334,93,AI
nb0001,2025-05-08#t1898w4,2025-05-08,Ms. M. Johnson,235,92,AI
nb0002,2026-05-06#t2719w0,2026-05-06,Ms. M. Wilson,289,92,AI
nb0003,2025-05-08#t1893w6,2025-05-08,Ms. Bockus,238,92,AI
nb0004,2025-05-06#t1670w0,2025-05-06,Mr. Monahan,137,92,AI
nb0005,2025-12-11#t1860w0,2025-12-11,Mr. Russell,288,92,AI
nb0006,2025-05-16#t2553w1,2025-05-16,Mr. Monahan,324,90,AI
nb0007,2026-05-13#t3076w3,2026-05-13,Mr. Ames,286,88,AI
nb0008,2025-10-30#t534w0,2025-10-30,Ms. S. Wilson,360,88,AI
nb0009,2025-11-20#t1204w0,2025-11-20,Ms. Sodhi,316,88,AI
nb0010,2025-06-03#t3141w2,2025-06-03,Ms. M. Johnson,349,88,AI
nb0011,2025-05-14#t2325w1,2025-05-14,Mr. Lee,299,88,AI
nb0012,2024-03-22#t15720w11,2024-03-22,Mr. M. LeBlanc,358,88,AI
nb0013,2025-05-16#t2534w3,2025-05-16,Ms. Bockus,244,88,AI
nb0014,2025-05-08#t1893w2,2025-05-08,Ms. Bockus,310,88,Mixed
nb0015,2025-10-24#t191w0,2025-10-24,Mr. Monahan,349,88,AI
nb0016,2026-05-06#t2715w0,2026-05-06,Ms. M. Wilson,283,88,AI
nb0017,2025-11-06#t803w0,2025-11-06,Mr. Oliver,270,88,AI
nb0018,2026-05-13#t3076w2,2026-05-13,Mr. Ames,352,88,AI
nb0019,2025-12-04#t1558w2,2025-12-04,Ms. Bockus,351,88,AI
nb0020,2023-05-10#t11631w5,2023-05-10,Mr. McKee,322,88,Mixed
nb0021,2025-06-03#t3141w3,2025-06-03,Ms. M. Johnson,348,88,Mixed
nb0022,2026-05-07#t2871w4,2026-05-07,Mr. Lee,351,88,AI
nb0023,2025-12-10#t1783w0,2025-12-10,Mr. Russell,261,88,AI
nb0024,2023-05-11#t11774w0,2023-05-11,Mr. McKee,358,88,AI
nb0025,2025-05-08#t1898w0,2025-05-08,Ms. M. Johnson,310,88,Mixed
nb0026,2025-03-19#t1116w5,2025-03-19,Mr. Monahan,309,88,AI
nb0027,2025-05-27#t2662w6,2025-05-27,Mr. Deputy Speaker,263,88,AI
nb0028,2025-10-30#t534w4,2025-10-30,Ms. S. Wilson,309,88,AI
nb0029,2026-05-07#t2871w5,2026-05-07,Mr. Lee,274,88,Mixed
nb0030,2026-05-13#t3069w1,2026-05-13,Mr. M. LeBlanc,355,85,AI
nb0031,2025-05-28#t2783w4,2025-05-28,Ms. Bockus,331,85,AI
nb0032,2026-05-13#t3069w3,2026-05-13,Mr. M. LeBlanc,274,85,AI
nb0033,2026-05-07#t2871w1,2026-05-07,Mr. Lee,322,85,AI
nb0034,2025-05-27#t2649w0,2025-05-27,Ms. Bockus,330,85,AI
nb0035,2025-11-06#t799w4,2025-11-06,Mr. Lee,233,85,AI
nb0036,2025-11-06#t837w0,2025-11-06,Mr. Monahan,288,85,AI
nb0037,2026-05-07#t2856w5,2026-05-07,Ms. M. Wilson,262,85,AI
nb0038,2024-11-27#t409w3,2024-11-27,Ms. Conroy,333,85,Mixed
nb0039,2025-12-04#t1534w2,2025-12-04,Ms. Vautour,332,85,AI
nb0040,2025-05-16#t2533w7,2025-05-16,Mr. Weir,326,85,Mixed
nb0041,2025-12-12#t1943w0,2025-12-12,Mr. Monahan,144,85,AI
nb0042,2025-05-27#t2663w0,2025-05-27,Mr. Cullins,249,85,AI
nb0043,2026-05-06#t2703w0,2026-05-06,Mr. Weir,162,85,AI
nb0044,2025-10-29#t406w0,2025-10-29,Ms. M. Wilson,332,85,AI
nb0045,2025-05-28#t2793w0,2025-05-28,Ms. M. Johnson,301,85,AI
nb0046,2026-05-07#t2856w6,2026-05-07,Ms. M. Wilson,317,85,AI
nb0047,2025-05-08#t1898w1,2025-05-08,Ms. M. Johnson,314,85,AI
nb0048,2025-05-16#t2534w1,2025-05-16,Ms. Bockus,283,85,AI
nb0049,2025-05-15#t2446w7,2025-05-15,Mr. Lee,337,85,AI
nb0050,2025-05-16#t2534w2,2025-05-16,Ms. Bockus,343,85,AI
nb0051,2025-05-08#t1931w1,2025-05-08,Mr. Monahan,353,85,Mixed
nb0052,2026-05-13#t3076w1,2026-05-13,Mr. Ames,340,85,AI
nb0053,2025-03-19#t1116w4,2025-03-19,Mr. Monahan,290,85,Human
nb0054,2026-05-13#t3069w2,2026-05-13,Mr. M. LeBlanc,324,85,AI
nb0055,2025-05-06#t1712w0,2025-05-06,Mr. Cullins,348,85,AI
nb0056,2026-03-18#t2135w12,2026-03-18,Mr. M. LeBlanc,344,85,AI
nb0057,2026-05-13#t3072w0,2026-05-13,Mr. Ames,290,85,AI
nb0058,2025-05-28#t2792w7,2025-05-28,Mr. Cullins,262,82,AI
nb0059,2025-05-30#t3040w0,2025-05-30,Ms. M. Johnson,354,82,AI
nb0060,2024-05-09#t16460w0,2024-05-09,Mr. M. LeBlanc,360,82,AI
nb0061,2026-03-26#t2551w0,2026-03-26,Mr. M. LeBlanc,300,82,AI
nb0062,2025-11-06#t803w2,2025-11-06,Mr. Oliver,233,82,AI
nb0063,2026-03-18#t2135w26,2026-03-18,Mr. M. LeBlanc,355,82,AI
nb0064,2025-11-20#t1204w2,2025-11-20,Ms. Sodhi,313,80,AI
nb0065,2026-05-06#t2715w2,2026-05-06,Ms. M. Wilson,344,80,AI
nb0066,2025-05-14#t2325w2,2025-05-14,Mr. Lee,338,80,AI
nb0067,2025-12-11#t1815w0,2025-12-11,Mr. M. LeBlanc,166,80,AI
nb0068,2025-03-27#t1613w6,2025-03-27,Mr. Monahan,155,80,AI
nb0069,2026-05-06#t2715w1,2026-05-06,Ms. M. Wilson,262,80,AI
nb0070,2025-12-04#t1546w2,2025-12-04,Mr. Ames,340,80,AI
nb0071,2026-05-07#t2830w2,2026-05-07,Mr. Lee,315,80,AI
nb0072,2026-05-13#t3093w1,2026-05-13,Mr. M. LeBlanc,337,80,AI
nb0073,2025-05-16#t2534w0,2025-05-16,Ms. Bockus,301,80,AI
nb0074,2025-05-14#t2337w2,2025-05-14,Mr. Cullins,307,80,AI
nb0075,2025-05-30#t3040w4,2025-05-30,Ms. M. Johnson,168,80,AI
nb0076,2025-05-08#t1893w3,2025-05-08,Ms. Bockus,327,80,Mixed
nb0077,2025-06-03#t3060w0,2025-06-03,Mr. Weir,131,80,AI
nb0078,2026-05-14#t3193w2,2026-05-14,Mr. J. LeBlanc,355,80,AI
nb0079,2026-05-13#t3072w2,2026-05-13,Mr. Ames,284,80,AI
nb0080,2026-05-14#t3199w3,2026-05-14,Ms. Vautour,359,80,AI
nb0081,2025-05-14#t2324w0,2025-05-14,Mr. Monahan,292,80,AI
nb0082,2025-11-06#t803w1,2025-11-06,Mr. Oliver,332,80,AI
nb0083,2025-03-19#t1116w3,2025-03-19,Mr. Monahan,289,80,AI
nb0084,2026-03-20#t2199w0,2026-03-20,Ms. M. Wilson,172,80,AI
nb0085,2026-05-07#t2856w3,2026-05-07,Ms. M. Wilson,291,80,AI
nb0086,2025-11-07#t862w0,2025-11-07,Ms. Sodhi,156,80,AI
nb0087,2025-05-07#t1805w1,2025-05-07,Ms. M. Johnson,353,80,AI
nb0088,2025-05-28#t2795w0,2025-05-28,Mr. Oliver,248,80,AI
nb0089,2026-03-26#t2534w0,2026-03-26,Ms. M. Wilson,167,80,AI
nb0090,2026-05-13#t3072w1,2026-05-13,Mr. Ames,351,80,AI
nb0091,2025-10-28#t278w0,2025-10-28,Mr. Monahan,359,80,AI
nb0092,2025-12-03#t1441w0,2025-12-03,Mr. Russell,215,80,AI
nb0093,2025-11-20#t1188w2,2025-11-20,Ms. M. Johnson,354,80,AI
nb0094,2025-05-29#t2914w5,2025-05-29,Ms. Wilcott,342,80,Mixed
nb0095,2026-05-13#t3071w2,2026-05-13,Mr. Cullins,357,80,AI
nb0096,2025-11-20#t1174w1,2025-11-20,Mr. Deputy Speaker,325,80,AI
nb0097,2025-06-04#t3237w4,2025-06-04,Ms. M. Johnson,324,80,AI
nb0098,2026-05-06#t2743w2,2026-05-06,Mr. Monahan,355,80,AI
nb0099,2026-05-07#t2856w0,2026-05-07,Ms. M. Wilson,272,80,AI
nb0100,2025-06-04#t3237w3,2025-06-04,Ms. M. Johnson,276,80,AI
nb0101,2024-05-16#t16835w1,2024-05-16,Mr. M. LeBlanc,357,78,AI
nb0102,2025-05-14#t2317w2,2025-05-14,Mr. Cullins,352,78,AI
nb0103,2026-05-13#t3071w0,2026-05-13,Mr. Cullins,262,78,AI
nb0104,2026-05-14#t3199w1,2026-05-14,Ms. Vautour,346,78,AI
nb0105,2025-11-05#t691w2,2025-11-05,Ms. M. Wilson,345,78,AI
nb0106,2025-05-28#t2820w5,2025-05-28,Ms. S. Wilson,317,78,Mixed
nb0107,2025-05-08#t1898w2,2025-05-08,Ms. M. Johnson,293,78,AI
nb0108,2025-12-11#t1934w0,2025-12-11,Mr. Cullins,330,78,AI
nb0109,2025-11-20#t1188w3,2025-11-20,Ms. M. Johnson,292,78,AI
nb0110,2026-05-07#t2830w3,2026-05-07,Mr. Lee,353,78,Mixed
nb0111,2025-11-06#t809w5,2025-11-06,Ms. M. Johnson,117,75,Mixed
nb0112,2025-05-27#t2649w1,2025-05-27,Ms. Bockus,254,75,AI
nb0113,2024-12-12#t812w1,2024-12-12,Hon. Mr. McKee,350,75,Mixed
nb0114,2026-05-14#t3193w1,2026-05-14,Mr. J. LeBlanc,325,75,AI
nb0115,2025-05-27#t2635w0,2025-05-27,Ms. M. Johnson,219,75,AI
nb0116,2025-11-20#t1100w0,2025-11-20,Mr. Monahan,176,75,AI
nb0117,2025-05-28#t2795w5,2025-05-28,Mr. Oliver,360,75,Mixed
nb0118,2025-12-04#t1534w3,2025-12-04,Ms. Vautour,252,75,AI
nb0119,2025-10-28#t278w1,2025-10-28,Mr. Monahan,314,75,AI
nb0120,2025-10-29#t406w2,2025-10-29,Ms. M. Wilson,305,75,AI
nb0121,2025-05-27#t2662w0,2025-05-27,Mr. Deputy Speaker,340,75,AI
nb0122,2023-11-23#t14308w0,2023-11-23,Mr. McKee,265,75,Mixed
nb0123,2025-11-05#t694w0,2025-11-05,Mr. Monahan,342,75,AI
nb0124,2025-05-14#t2317w0,2025-05-14,Mr. Cullins,339,75,AI
nb0125,2025-11-20#t1205w5,2025-11-20,Ms. M. Wilson,262,75,AI
nb0126,2025-06-03#t3143w0,2025-06-03,Mr. Monahan,357,75,AI
nb0127,2026-03-26#t2546w5,2026-03-26,Mr. Austin,304,75,AI
nb0128,2026-05-08#t2952w0,2026-05-08,Mr. Savoie,349,75,AI
nb0129,2025-10-30#t534w2,2025-10-30,Ms. S. Wilson,305,75,AI
nb0130,2025-05-28#t2792w1,2025-05-28,Mr. Cullins,296,75,AI
nb0131,2025-10-29#t406w3,2025-10-29,Ms. M. Wilson,334,75,AI
nb0132,2025-10-28#t278w8,2025-10-28,Mr. Monahan,357,75,AI
nb0133,2025-12-04#t1546w1,2025-12-04,Mr. Ames,344,75,AI
nb0134,2025-11-20#t1205w7,2025-11-20,Ms. M. Wilson,202,75,AI
nb0135,2025-05-13#t2035w0,2025-05-13,Ms. S. Wilson,152,75,AI
nb0136,2023-11-23#t14342w6,2023-11-23,Mr. McKee,339,75,Human
nb0137,2025-05-08#t1893w5,2025-05-08,Ms. Bockus,355,75,AI
nb0138,2025-05-28#t2795w6,2025-05-28,Mr. Oliver,291,75,AI
nb0139,2025-05-28#t2795w4,2025-05-28,Mr. Oliver,321,75,Mixed
nb0140,2026-05-06#t2715w3,2026-05-06,Ms. M. Wilson,165,75,AI
nb0141,2026-05-14#t3193w3,2026-05-14,Mr. J. LeBlanc,104,75,Human
nb0142,2026-05-13#t3069w4,2026-05-13,Mr. M. LeBlanc,245,75,AI
nb0143,2025-11-06#t809w0,2025-11-06,Ms. M. Johnson,328,75,AI
nb0144,2025-12-02#t1371w1,2025-12-02,Mr. Monahan,174,75,AI
nb0145,2024-12-12#t840w5,2024-12-12,Mr. Monahan,344,75,AI
nb0146,2025-10-29#t401w2,2025-10-29,,131,75,AI
nb0147,2023-11-02#t13868w4,2023-11-02,Mr. McKee,336,75,Human
nb0148,2025-05-14#t2317w1,2025-05-14,Mr. Cullins,304,75,AI
nb0149,2026-03-20#t2234w8,2026-03-20,Ms. M. Johnson,320,75,AI
nb0150,2026-05-07#t2856w2,2026-05-07,Ms. M. Wilson,357,75,AI
nb0151,2023-10-24#t13338w7,2023-10-24,Mr. McKee,305,72,Human
nb0152,2025-10-29#t406w4,2025-10-29,Ms. M. Wilson,356,72,AI
nb0153,2024-05-16#t16835w5,2024-05-16,Mr. M. LeBlanc,359,72,Mixed
nb0154,2025-12-12#t2008w0,2025-12-12,Ms. Conroy,276,72,Mixed
