name,full_name,mid,source_kind,education_level,education_field,alma_maters,prior_occupation,occupation_category,source_url
aheer,"Leela Sharon Aheer, ECA",0883,wayback,bachelor,music,University of Manitoba; University of Calgary,Small-business owner since 1998; professional musician and music teacher,business,https://web.archive.org/web/20200921095712/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0883&legl=30&from=mla_home
allard,"Tracy Allard, ECA",0912,wayback,bachelor,commerce; disability management,University of British Columbia,"Business owner, Tim Hortons franchisee in Prince Rupert BC and Grande Prairie",business,https://web.archive.org/web/20200921093257/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0912&legl=30&from=mla_home
armstrong-homeniuk,Jackie Armstrong-Homeniuk,0914,live,college,business and economic development courses; hairstyling,MacEwan University; University of Calgary,Journeyman hairstylist; owner-operator of a salon for approximately 34 years; insurance industry experience,trades-labour,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0914
barnes,Drew Barnes,0816,wayback,bachelor,commerce,Camrose Lutheran College; University of Alberta,"Real estate broker and office owner (26-year career); owner of construction, storage and property management businesses; rancher",business,https://web.archive.org/web/20200921100546/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0816&legl=30&from=mla_home
bilous,"Deron Bilous, ECA",0829,wayback,bachelor,education,University of Alberta,"Teacher at Inner City High School, Edmonton; neighbourhood and community development; Canada World Youth projects",education,https://web.archive.org/web/20200921090611/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0829&legl=30&from=mla_home
carson,Jon Carson,0837,wayback,college,radio and television broadcasting; electrical apprenticeship,Northern Alberta Institute of Technology,Electrician,trades-labour,https://web.archive.org/web/20200921102543/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0837&legl=30&from=mla_home
ceci,Joe Ceci,0838,live,graduate,social work,University of Western Ontario; University of Calgary,"Community social worker, City of Calgary; family counselling; public policy manager at a community-based charitable organization; Calgary alderman 15 years",public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0838
cooper,Nathan Cooper,0885,wayback,unknown,,,"Chief of staff and director of legislative affairs, Wildrose caucus; two terms as councillor for the town of Carstairs",public-service,https://web.archive.org/web/20200926194949/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0885&from=mla_home
copping,"Jason Copping, ECA",0915,wayback,graduate,industrial relations; labour and employment law; political science,McGill University; Queen's University; York University,"Consultant in human resource management, labour relations and dispute resolution (2015-2019); close to 20 years in transportation-industry management; sessional university instructor",business,https://web.archive.org/web/20200921101741/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0915&legl=30&from=mla_home
cyr,Scott Cyr,0886,live,bachelor,accounting and finance,University of Lethbridge,Accountant for 14 years; previously field operator in the oil and gas industry,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0886
