prov,name,internet1998,internet1999,internet2000,internet2001,internet2002,internet2003,internet2004,internet2005,internet2006,internet2007,internet2008,internet2009,internet2010,internet2011,internet2012,internet2013,internet2014,internet2015,internet2016,note
#source:,"ABS cat. 8146.0 Household Use of Information Technology, Australia.","Measure: proportion of all households with home internet access (internet access at home, any type), %.",Universe = all households in the state/territory.,downloaded 2026-08-07,,,,,,,,,,,,,,,,,
#source-1998-2006:,"8146.0 2008-09 release (issued 16/12/2009), data cube 81460DO001_200809.xls, Table 2 'Households with home internet access, by period - 1998 to 2008-09', PROPORTION OF ALL HOUSEHOLDS block, 'State or Territory' panel.",URL: https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&81460do001_200809.xls&8146.0&Data Cubes&BEBE4FC572347DEBCA25768D0021C2EA&0&2008-09&16.12.2009&Latest,published to whole per cent only (no decimals available for these years in any release),,,,,,,,,,,,,,,,,,
#source-2007:,"8146.0 2014-15 release (issued 18/02/2016), data cube 81460DO001_201415.xls, Table 1 'Households with internet access at home - 2007-08 to 2014-15', proportion (%) block.",URL: https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&81460do001_201415.xls&8146.0&Data Cubes&F417D5D4ED59601BCA257F5C001F785D&0&2014-15&18.02.2016&Latest,one decimal; agrees with the whole-per-cent 2007-08 figures in the 2008-09 cube,,,,,,,,,,,,,,,,,,
#source-2008-2016:,"8146.0 2016-17 release (issued 28/03/2018, FINAL release - series ceased), data cube 81460DO001_201617.xls, Table 1 'Households with internet access at home - 2008-09 to 2016-17', proportion (%) block.",URL: https://www.abs.gov.au/statistics/industry/technology-and-innovation/household-use-information-technology/2016-17/81460do001_201617.xls,one decimal; agrees with the whole-per-cent 2008-09 figures in the 2008-09 cube,,,,,,,,,,,,,,,,,,
#landing:,https://www.abs.gov.au/statistics/industry/technology-and-innovation/household-use-information-technology,legacy release pages: https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/8146.0{issue}?OpenDocument,all downloads direct from abs.gov.au; NO Wayback Machine figures in this file,,,,,,,,,,,,,,,,,,
#fy-mapping:,"ABS reports 2004-05 onwards as FINANCIAL years (Jul-Jun). Convention used here: a financial year is mapped to its START calendar year, i.e. the year the reference period opens and the year containing the mid-point (~Dec/Jan).","2004-05->2004, 2005-06->2005, 2006-07->2006, 2007-08->2007, 2008-09->2008, 2010-11->2010, 2012-13->2012, 2014-15->2014, 2016-17->2016.","1998-2003 columns are ABS's own calendar-year labels (single-enumeration surveys, not financial years) - carried through unchanged.",,,,,,,,,,,,,,,,,,
#missing:,"internet2009, internet2011, internet2013, internet2015 are EMPTY for every state: the HUIT survey went BIENNIAL from 2010-11, so there is no 2009-10, 2011-12, 2013-14 or 2015-16 collection.",internet2003 is EMPTY for NT only (ABS did not publish that cell).,NOTHING in this file is interpolated. Empty means no ABS estimate exists.,,,,,,,,,,,,,,,,,,
#break-collection-vehicle:,"The 1998-2003 points come from DIFFERENT survey vehicles, per 8146.0 2008-09 Explanatory Notes para 6: Population Survey Monitor (1998, 1999, 2000); Survey of Education, Training and Information Technology (2001); General Social Survey (2002, face-to-face); Survey of Disability, Ageing and Carers (2003).","MPHS (Multipurpose Household Survey, telephone, Jul-Jun accumulation) is the vehicle from 2004-05 onward.",TREAT 1998-2003 vs 2004-onward as a SERIES BREAK; ABS states SDAC/MPHS are comparable at the HOUSEHOLD level (para 14) but the 2002 GSS face-to-face-to-telephone mode change 'cannot be ruled out' as affecting responses (para 15).,,,,,,,,,,,,,,,,,,
#break-scope:,8146.0 2008-09 Explanatory Notes para 13: from the 2005-06 MPHS onward the person scope is 15+; earlier collections were 18+. ABS says data before/after are 'not directly comparable'.,This is a PERSON-level scope change; the household-level measure in this file is less affected but the 2004-05/2005-06 step should not be read as pure diffusion.,,,,,,,,,,,,,,,,,,,
#no-break-definition:,"The measure itself is stable across the whole span: 'household has internet access at home', any connection type. It is NOT the broadband series (8146.0 publishes broadband separately; broadband would be a genuine definitional break and is deliberately excluded here).","Denominator is total households in the state/territory in each cycle, as published by ABS.",,,,,,,,,,,,,,,,,,,
