year,n,first_person,numerals,midcap_ne,nb_places,connectives,sent_len,flesch
2018,1328,2.247,0.832,6.899,0.954,0.563,17.577,52.968
2019,2342,2.107,0.825,6.209,0.708,0.577,16.058,55.445
2020,1610,1.695,1.152,7.645,0.823,0.592,16.232,53.383
2021,3657,1.856,1.092,6.246,0.633,0.68,16.205,54.949
2022,3779,1.762,1.193,6.535,0.711,0.687,16.064,55.772
2023,3891,1.801,1.142,6.825,0.778,0.648,15.915,54.837
2024,2660,1.89,1.16,7.534,0.846,0.596,16.409,52.211
2025,4322,1.704,1.045,7.157,0.823,0.574,16.74,49.94
2026,1198,1.484,1.147,7.379,0.977,0.545,16.109,48.089
# all scoreable orig>=0.5 non-chair segments 80-400w; corpus-wide means; speaker/genre mix NOT controlled (fixed-effects version pending)
