chamber,ctl_n,ctl_first,ctl_last,ctl_years,ctl_median_year,prev_n,prev_first,prev_last,prev_years,prev_median_year
AB,107,2006-03-01,2019-12-04,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2009,249,2025-02-25,2026-05-14,"2025,2026",2025
BC,92,2006-02-15,2019-11-26,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,193,2025-02-19,2026-05-27,"2025,2026",2025
CA-FED,218,2015-12-09,2022-06-23,"2015,2016,2017,2018,2019,2020,2021,2022",2018,281,2025-05-29,2026-06-18,"2025,2026",2026
IE,71,2018-03-21,2022-11-17,"2018,2019,2020,2021,2022",2020,142,2025-02-05,2026-07-16,"2025,2026",2025
MB,90,2007-09-27,2019-10-02,"2007,2008,2009,2010,2015,2016,2017,2018,2019",2016,188,2025-03-05,2026-05-28,"2025,2026",2025
NI,87,2006-09-11,2017-01-23,"2006,2007,2008,2009,2010,2015,2016,2017",2010,179,2025-01-13,2026-06-29,"2025,2026",2025
NL,82,2016-03-10,2019-12-03,"2016,2017,2018,2019",2017,188,2025-01-06,2026-06-02,"2025,2026",2026
NS,89,2006-05-11,2019-10-30,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,172,2025-02-18,2026-04-09,"2025,2026",2026
NSW,73,2006-03-02,2019-11-14,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,142,2025-02-11,2026-08-06,"2025,2026",2025
ON,76,2006-02-28,2019-12-11,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2015,160,2025-04-16,2026-06-01,"2025,2026",2025
QLD,76,2006-02-15,2019-11-28,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2009,158,2025-02-18,2026-06-26,"2025,2026",2025
SA,81,2006-05-09,2019-11-28,"2006,2007,2008,2009,2010,2015,2016,2018,2019",2016,162,2025-02-04,2025-11-12,2025,2025
SCO,85,2006-04-20,2019-11-28,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,190,2025-01-07,2026-06-24,"2025,2026",2025
SK,78,2006-03-15,2019-11-27,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,162,2025-03-19,2026-05-14,"2025,2026",2025
TAS,79,2006-06-20,2019-10-15,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,147,2025-03-05,2026-06-18,"2025,2026",2025
UK,124,2018-01-11,2022-10-27,"2018,2019,2020,2021,2022",2020,265,2025-01-06,2026-07-15,"2025,2026",2025
US-HOUSE,73,2006-05-10,2022-02-28,"2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",2015,146,2025-01-14,2026-07-23,"2025,2026",2025
US-SENATE,71,2006-01-25,2022-04-26,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",2013,139,2025-01-08,2026-07-30,"2025,2026",2025
VIC,78,2006-04-04,2019-10-16,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2016,154,2025-02-04,2026-07-30,"2025,2026",2025
WA,86,2006-04-06,2019-10-16,"2006,2007,2008,2009,2010,2015,2016,2017,2018,2019",2010,166,2025-04-08,2026-06-18,"2025,2026",2025
WAL,81,2015-01-14,2019-12-11,"2015,2016,2017,2018,2019",2017,147,2025-01-07,2026-07-15,"2025,2026",2025
