seg_id,date,speaker,n_words,orig_frac,p_ai
2025-10-21#t0w0,2025-10-21,,78,1.0,0.000683
2025-10-21#t2w0,2025-10-21,Her Honour,358,0.712,0.000173
2025-10-21#t2w1,2025-10-21,Her Honour,316,0.275,0.000251
2025-10-21#t2w2,2025-10-21,Her Honour,329,0.787,0.000302
2025-10-21#t2w3,2025-10-21,Her Honour,350,0.537,0.000195
2025-10-21#t2w4,2025-10-21,Her Honour,355,0.487,0.000234
2025-10-21#t2w5,2025-10-21,Her Honour,334,0.449,0.00021
2025-10-21#t2w6,2025-10-21,Her Honour,358,0.617,0.000241
2025-10-21#t3w0,2025-10-21,,267,0.479,0.000182
2025-10-21#t4w0,2025-10-21,,354,0.582,0.000274
2025-10-21#t4w1,2025-10-21,,300,0.753,0.000194
2025-10-21#t4w2,2025-10-21,,339,0.425,0.000318
2025-10-21#t4w3,2025-10-21,,349,0.504,0.000177
2025-10-21#t4w4,2025-10-21,,337,0.457,0.000241
2025-10-21#t4w5,2025-10-21,,287,0.53,0.000371
2025-10-21#t4w6,2025-10-21,,357,0.476,0.000237
2025-10-21#t4w7,2025-10-21,,342,0.48,0.000376
2025-10-21#t4w8,2025-10-21,,315,0.511,0.000205
2025-10-21#t4w9,2025-10-21,,338,0.595,0.002875
2025-10-21#t4w10,2025-10-21,,330,0.512,0.000311
2025-10-21#t4w11,2025-10-21,,151,0.219,0.00554
2025-10-21#t5w0,2025-10-21,Madam Speaker,315,0.238,0.00017
2025-10-21#t5w1,2025-10-21,Madam Speaker,256,0.164,0.000286
2025-10-21#t5w2,2025-10-21,Madam Speaker,333,0.066,0.000178
2025-10-21#t5w3,2025-10-21,Madam Speaker,326,0.313,0.000488
2025-10-21#t5w4,2025-10-21,Madam Speaker,350,0.0,0.000187
2025-10-21#t5w5,2025-10-21,Madam Speaker,341,0.22,0.000269
2025-10-21#t5w6,2025-10-21,Madam Speaker,264,0.125,0.942167
2025-10-21#t6w0,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",299,0.217,0.000278
2025-10-21#t6w1,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",329,0.231,0.672962
2025-10-21#t6w2,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",321,0.0,0.000224
2025-10-21#t6w3,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",335,0.352,0.00025
2025-10-21#t6w4,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",272,0.044,0.024687
2025-10-21#t6w5,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",284,0.056,0.000435
2025-10-21#t6w6,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",145,0.324,0.000444
2025-10-21#t7w0,2025-10-21,,61,0.574,0.000589
2025-10-22#t8w0,2025-10-22,Hon. Ms. Thériault,178,0.0,0.005415
2025-10-22#t9w0,2025-10-22,Hon. Mr. Gauvin,212,0.0,0.000211
2025-10-22#t10w0,2025-10-22,Ms. Bockus,275,1.0,0.000176
2025-10-22#t11w0,2025-10-22,Mr. Coon,184,0.978,0.004172
2025-10-22#t12w0,2025-10-22,Mr. Doucet,153,0.0,0.000172
2025-10-22#t13w0,2025-10-22,Mr. Savoie,183,0.951,0.000212
2025-10-22#t14w0,2025-10-22,Ms. Mitton,132,1.0,0.00018
2025-10-22#t15w0,2025-10-22,Hon. Ms. Thériault,184,0.0,0.000172
2025-10-22#t16w0,2025-10-22,Mr. Savoie,131,1.0,0.000553
2025-10-22#t17w0,2025-10-22,Mr. Johnston,219,0.932,0.000181
2025-10-22#t18w0,2025-10-22,Mr. Russell,144,1.0,0.02665
2025-10-22#t19w0,2025-10-22,Mr. Coon,166,0.976,0.000169
2025-10-22#t20w0,2025-10-22,Ms. Sodhi,164,1.0,0.000272
2025-10-22#t21w0,2025-10-22,Mr. Oliver,135,0.97,0.000169
2025-10-22#t22w0,2025-10-22,Mr. Arseneault,146,0.596,0.000213
2025-10-22#t23w0,2025-10-22,Ms. Scott-Wallace,129,1.0,0.000207
2025-10-22#t24w0,2025-10-22,Mr. Doucet,99,0.0,0.000182
2025-10-22#t25w0,2025-10-22,Mr. Cullins,143,1.0,0.000179
2025-10-22#t26w0,2025-10-22,Mr. Mallet,120,0.0,0.000294
2025-10-22#t27w0,2025-10-22,Ms. S. Wilson,140,1.0,0.001638
2025-10-22#t28w0,2025-10-22,Mr. M. LeBlanc,56,1.0,0.334894
2025-10-22#t32w0,2025-10-22,Mr. Savoie,162,1.0,0.045196
2025-10-22#t33w0,2025-10-22,Hon. Ms. Holt,180,0.0,0.000428
2025-10-22#t34w0,2025-10-22,Mr. Savoie,192,1.0,0.000505
2025-10-22#t35w0,2025-10-22,Hon. Ms. Holt,188,0.968,0.001339
2025-10-22#t36w0,2025-10-22,Mr. Savoie,182,1.0,0.000195
2025-10-22#t37w0,2025-10-22,Hon. Ms. Holt,214,1.0,0.000176
2025-10-22#t38w0,2025-10-22,Mr. Savoie,186,1.0,0.000191
2025-10-22#t39w0,2025-10-22,Hon. Ms. Holt,192,0.719,0.000208
2025-10-22#t40w0,2025-10-22,Mr. Savoie,104,1.0,0.000212
2025-10-22#t41w0,2025-10-22,Hon. Ms. Holt,174,0.0,0.154845
2025-10-22#t42w0,2025-10-22,Mr. Savoie,160,1.0,0.000177
2025-10-22#t43w0,2025-10-22,Hon. Ms. Holt,176,1.0,0.1513
2025-10-22#t44w0,2025-10-22,Mr. Savoie,159,1.0,0.088057
2025-10-22#t45w0,2025-10-22,Hon. Ms. Holt,185,1.0,0.000573
2025-10-22#t46w0,2025-10-22,Mr. Savoie,108,1.0,0.019969
2025-10-22#t47w0,2025-10-22,Hon. C. Johnson,102,1.0,0.996161
2025-10-22#t48w0,2025-10-22,Mr. Savoie,169,1.0,0.000169
2025-10-22#t49w0,2025-10-22,Hon. C. Johnson,108,1.0,0.000199
2025-10-22#t50w0,2025-10-22,Mr. Savoie,136,1.0,0.963623
2025-10-22#t51w0,2025-10-22,L’hon. C. Johnson,135,0.0,0.00124
2025-10-22#t52w0,2025-10-22,Mr. Savoie,148,1.0,0.002452
2025-10-22#t53w0,2025-10-22,Hon. C. Johnson,143,1.0,0.00078
2025-10-22#t54w0,2025-10-22,Mr. Savoie,184,1.0,0.001299
2025-10-22#t55w0,2025-10-22,Hon. Ms. Holt,214,1.0,0.010256
2025-10-22#t56w0,2025-10-22,Mr. Savoie,174,1.0,0.000312
2025-10-22#t57w0,2025-10-22,Hon. C. Johnson,137,0.0,0.000295
2025-10-22#t58w0,2025-10-22,Mr. Savoie,102,1.0,0.000661
2025-10-22#t59w0,2025-10-22,Hon. C. Johnson,155,1.0,0.00077
2025-10-22#t60w0,2025-10-22,Mr. Coon,165,1.0,0.067361
2025-10-22#t61w0,2025-10-22,Hon. Mr. Dornan,111,1.0,0.152434
2025-10-22#t62w0,2025-10-22,Mr. Coon,127,0.0,0.00091
2025-10-22#t63w0,2025-10-22,Hon. Mr. Dornan,140,1.0,0.004165
2025-10-22#t64w0,2025-10-22,Ms. Mitton,141,1.0,0.000168
2025-10-22#t65w0,2025-10-22,Hon. Mr. Legacy,150,0.0,0.141931
2025-10-22#t66w0,2025-10-22,Ms. Mitton,163,1.0,0.016997
2025-10-22#t67w0,2025-10-22,Hon. Mr. Legacy,138,0.0,0.000184
2025-10-22#t68w0,2025-10-22,Mr. Savoie,76,1.0,0.000744
2025-10-22#t69w0,2025-10-22,Hon. C. Johnson,151,0.0,0.000522
2025-10-22#t70w0,2025-10-22,Mr. Savoie,117,1.0,0.00018
2025-10-22#t71w0,2025-10-22,Hon. C. Johnson,98,1.0,0.000712
2025-10-22#t72w0,2025-10-22,Mr. Savoie,124,1.0,0.000185
2025-10-22#t73w0,2025-10-22,Hon. C. Johnson,119,1.0,0.994045
