seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-21#t0w0,2025-10-21,,,78,1.0,115,2.83276,3.05891,0.92607
2025-10-21#t2w0,2025-10-21,Her Honour,Her Honour entered the Chamber.,358,0.712,464,2.37465,2.36881,1.00247
2025-10-21#t2w1,2025-10-21,Her Honour,Her Honour entered the Chamber.,316,0.275,404,2.54079,2.75865,0.92103
2025-10-21#t2w2,2025-10-21,Her Honour,Her Honour entered the Chamber.,329,0.787,419,2.37471,2.3843,0.99598
2025-10-21#t2w3,2025-10-21,Her Honour,Her Honour entered the Chamber.,350,0.537,416,2.27115,2.34208,0.96972
2025-10-21#t2w4,2025-10-21,Her Honour,Her Honour entered the Chamber.,355,0.487,438,2.29446,2.28017,1.00627
2025-10-21#t2w5,2025-10-21,Her Honour,Her Honour entered the Chamber.,334,0.449,423,2.47123,2.49514,0.99042
2025-10-21#t2w6,2025-10-21,Her Honour,Her Honour entered the Chamber.,358,0.617,429,2.62414,2.58092,1.01674
2025-10-21#t3w0,2025-10-21,,Seniors and long-term care,267,0.479,331,2.70728,2.47372,1.09442
2025-10-21#t4w0,2025-10-21,,Affordability and housing,354,0.582,416,2.54043,2.49968,1.0163
2025-10-21#t4w1,2025-10-21,,Affordability and housing,300,0.753,392,2.50338,2.54291,0.98445
2025-10-21#t4w2,2025-10-21,,Affordability and housing,339,0.425,429,2.7094,2.62145,1.03355
2025-10-21#t4w3,2025-10-21,,Affordability and housing,349,0.504,424,2.45022,2.46046,0.99584
2025-10-21#t4w4,2025-10-21,,Affordability and housing,337,0.457,434,2.41703,2.4419,0.98982
2025-10-21#t4w5,2025-10-21,,Affordability and housing,287,0.53,358,2.54513,2.56374,0.99274
2025-10-21#t4w6,2025-10-21,,Affordability and housing,357,0.476,425,2.57639,2.55921,1.00671
2025-10-21#t4w7,2025-10-21,,Affordability and housing,342,0.48,413,2.59268,2.61507,0.99144
2025-10-21#t4w8,2025-10-21,,Affordability and housing,315,0.511,376,2.33218,2.48192,0.93967
2025-10-21#t4w9,2025-10-21,,Affordability and housing,338,0.595,403,2.41198,2.56116,0.94175
2025-10-21#t4w10,2025-10-21,,Affordability and housing,330,0.512,386,2.38877,2.36186,1.01139
2025-10-21#t4w11,2025-10-21,,Affordability and housing,151,0.219,194,2.63468,2.50631,1.05122
2025-10-21#t5w0,2025-10-21,Madam Speaker,Affordability and housing,315,0.238,419,2.09098,2.2506,0.92907
2025-10-21#t5w1,2025-10-21,Madam Speaker,Affordability and housing,256,0.164,322,2.16767,2.14487,1.01063
2025-10-21#t5w2,2025-10-21,Madam Speaker,Affordability and housing,333,0.066,443,2.60465,2.39061,1.08953
2025-10-21#t5w3,2025-10-21,Madam Speaker,Affordability and housing,326,0.313,406,2.41372,2.5663,0.94055
2025-10-21#t5w4,2025-10-21,Madam Speaker,Affordability and housing,350,0.0,457,2.4936,2.54798,0.97866
