seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-10-21#t0w0,2025-10-21,,78,1.0,115,2.83303,1.04463,1.9953
2025-10-21#t2w0,2025-10-21,Her Honour,358,0.712,464,2.37493,-0.09557,2.02807
2025-10-21#t2w1,2025-10-21,Her Honour,316,0.275,404,2.54105,1.99684,1.93661
2025-10-21#t2w2,2025-10-21,Her Honour,329,0.787,419,2.37499,0.03904,2.06059
2025-10-21#t2w3,2025-10-21,Her Honour,350,0.537,416,2.27144,0.70148,2.06241
2025-10-21#t2w4,2025-10-21,Her Honour,355,0.487,438,2.29474,-0.22166,2.04863
2025-10-21#t2w5,2025-10-21,Her Honour,334,0.449,423,2.47151,0.18773,2.02482
2025-10-21#t2w6,2025-10-21,Her Honour,358,0.617,429,2.62441,-0.49059,2.01673
2025-10-21#t3w0,2025-10-21,,267,0.479,331,2.70756,-2.26722,1.98227
2025-10-21#t4w0,2025-10-21,,354,0.582,416,2.54071,-0.46327,1.99945
2025-10-21#t4w1,2025-10-21,,300,0.753,392,2.50367,0.33756,2.05666
2025-10-21#t4w2,2025-10-21,,339,0.425,429,2.70969,-0.9726,2.01032
2025-10-21#t4w3,2025-10-21,,349,0.504,424,2.45052,0.05085,2.0485
2025-10-21#t4w4,2025-10-21,,337,0.457,434,2.41731,0.20782,2.0773
2025-10-21#t4w5,2025-10-21,,287,0.53,358,2.54541,0.11485,2.02951
2025-10-21#t4w6,2025-10-21,,357,0.476,425,2.57667,-0.23841,2.01867
2025-10-21#t4w7,2025-10-21,,342,0.48,413,2.59296,0.16537,2.02838
2025-10-21#t4w8,2025-10-21,,315,0.511,376,2.33246,1.41547,2.10939
2025-10-21#t4w9,2025-10-21,,338,0.595,403,2.41226,1.43865,2.06643
2025-10-21#t4w10,2025-10-21,,330,0.512,386,2.38904,-0.34853,2.11362
2025-10-21#t4w11,2025-10-21,,151,0.219,194,2.63497,-0.92802,2.00678
2025-10-21#t5w0,2025-10-21,Madam Speaker,315,0.238,419,2.09126,1.65218,2.13829
2025-10-21#t5w1,2025-10-21,Madam Speaker,256,0.164,322,2.16795,-0.23953,2.13033
2025-10-21#t5w2,2025-10-21,Madam Speaker,333,0.066,443,2.60494,-2.32084,2.03789
2025-10-21#t5w3,2025-10-21,Madam Speaker,326,0.313,406,2.414,1.45346,2.10472
2025-10-21#t5w4,2025-10-21,Madam Speaker,350,0.0,457,2.49388,0.54563,2.04455
2025-10-21#t5w5,2025-10-21,Madam Speaker,341,0.22,430,2.67589,-1.00787,2.03558
2025-10-21#t5w6,2025-10-21,Madam Speaker,264,0.125,323,2.45947,1.47214,2.08698
2025-10-21#t6w0,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",299,0.217,348,2.39182,0.00369,2.14973
2025-10-21#t6w1,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",329,0.231,424,2.37305,0.68453,2.08567
2025-10-21#t6w2,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",321,0.0,382,2.65461,0.71041,2.03444
2025-10-21#t6w3,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",335,0.352,405,2.58305,0.7019,1.98814
2025-10-21#t6w4,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",272,0.044,319,2.82678,0.45467,2.00683
2025-10-21#t6w5,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",284,0.056,339,2.89355,-0.31061,1.96518
2025-10-21#t6w6,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",145,0.324,193,2.30221,-0.01234,2.09651
2025-10-21#t7w0,2025-10-21,,61,0.574,90,2.55821,0.79554,1.97398
2025-10-22#t8w0,2025-10-22,Hon. Ms. Thériault,178,0.0,260,2.59842,-0.19543,1.97015
2025-10-22#t9w0,2025-10-22,Hon. Mr. Gauvin,212,0.0,294,2.49272,-1.1787,1.91206
2025-10-22#t10w0,2025-10-22,Ms. Bockus,275,1.0,357,2.29404,-1.09165,2.05843
2025-10-22#t11w0,2025-10-22,Mr. Coon,184,0.978,235,2.19446,1.26612,2.04325
2025-10-22#t12w0,2025-10-22,Mr. Doucet,153,0.0,194,3.20706,-1.24878,1.82394
2025-10-22#t13w0,2025-10-22,Mr. Savoie,183,0.951,225,2.27738,0.01145,2.13223
2025-10-22#t14w0,2025-10-22,Ms. Mitton,132,1.0,170,1.91189,1.48925,2.10177
2025-10-22#t15w0,2025-10-22,Hon. Ms. Thériault,184,0.0,228,2.80202,0.18323,1.97766
2025-10-22#t16w0,2025-10-22,Mr. Savoie,131,1.0,159,2.17909,-0.27222,2.0569
2025-10-22#t17w0,2025-10-22,Mr. Johnston,219,0.932,284,2.22204,0.10223,2.15496
2025-10-22#t18w0,2025-10-22,Mr. Russell,144,1.0,169,2.0269,1.62183,2.22371
