seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-21#t0w0,2025-10-21,,,78,1.0,112,3.05507,3.22007,0.94876
2025-10-21#t2w0,2025-10-21,Her Honour,Her Honour entered the Chamber.,358,0.712,467,2.71376,2.86739,0.94642
2025-10-21#t2w1,2025-10-21,Her Honour,Her Honour entered the Chamber.,316,0.275,408,2.93348,3.28445,0.89314
2025-10-21#t2w2,2025-10-21,Her Honour,Her Honour entered the Chamber.,329,0.787,432,2.86449,2.91478,0.98275
2025-10-21#t2w3,2025-10-21,Her Honour,Her Honour entered the Chamber.,350,0.537,417,2.55903,2.83682,0.90208
2025-10-21#t2w4,2025-10-21,Her Honour,Her Honour entered the Chamber.,355,0.487,450,2.57783,2.63828,0.97709
2025-10-21#t2w5,2025-10-21,Her Honour,Her Honour entered the Chamber.,334,0.449,434,2.76118,2.81882,0.97955
2025-10-21#t2w6,2025-10-21,Her Honour,Her Honour entered the Chamber.,358,0.617,439,3.04595,3.0139,1.01063
2025-10-21#t3w0,2025-10-21,,Seniors and long-term care,267,0.479,342,3.10083,2.81436,1.10179
2025-10-21#t4w0,2025-10-21,,Affordability and housing,354,0.582,428,2.92161,3.03357,0.96309
2025-10-21#t4w1,2025-10-21,,Affordability and housing,300,0.753,420,2.8074,2.78652,1.00749
2025-10-21#t4w2,2025-10-21,,Affordability and housing,339,0.425,442,2.94091,2.95779,0.99429
2025-10-21#t4w3,2025-10-21,,Affordability and housing,349,0.504,432,2.7895,2.90336,0.96078
2025-10-21#t4w4,2025-10-21,,Affordability and housing,337,0.457,442,2.81765,3.03644,0.92794
2025-10-21#t4w5,2025-10-21,,Affordability and housing,287,0.53,360,3.03359,2.9589,1.02524
2025-10-21#t4w6,2025-10-21,,Affordability and housing,357,0.476,437,2.73677,2.99976,0.91233
2025-10-21#t4w7,2025-10-21,,Affordability and housing,342,0.48,418,3.00982,2.99185,1.00601
2025-10-21#t4w8,2025-10-21,,Affordability and housing,315,0.511,377,2.73709,2.84762,0.96118
2025-10-21#t4w9,2025-10-21,,Affordability and housing,338,0.595,405,2.80474,2.99344,0.93696
2025-10-21#t4w10,2025-10-21,,Affordability and housing,330,0.512,385,2.81064,2.80519,1.00194
2025-10-21#t4w11,2025-10-21,,Affordability and housing,151,0.219,187,3.54794,3.22166,1.10128
