seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-21#t0w0,2025-10-21,,,78,1.0,112,2.66115,2.73193,0.97409
2025-10-21#t2w0,2025-10-21,Her Honour,Her Honour entered the Chamber.,358,0.712,467,2.36565,2.4787,0.95439
2025-10-21#t2w1,2025-10-21,Her Honour,Her Honour entered the Chamber.,316,0.275,408,2.64714,2.90155,0.91232
2025-10-21#t2w2,2025-10-21,Her Honour,Her Honour entered the Chamber.,329,0.787,432,2.36454,2.43035,0.97292
2025-10-21#t2w3,2025-10-21,Her Honour,Her Honour entered the Chamber.,350,0.537,417,2.2933,2.42289,0.94651
2025-10-21#t2w4,2025-10-21,Her Honour,Her Honour entered the Chamber.,355,0.487,450,2.38909,2.34536,1.01865
2025-10-21#t2w5,2025-10-21,Her Honour,Her Honour entered the Chamber.,334,0.449,434,2.52494,2.5443,0.99239
2025-10-21#t2w6,2025-10-21,Her Honour,Her Honour entered the Chamber.,358,0.617,439,2.60921,2.56385,1.01769
2025-10-21#t3w0,2025-10-21,,Seniors and long-term care,267,0.479,342,2.71703,2.47181,1.09921
2025-10-21#t4w0,2025-10-21,,Affordability and housing,354,0.582,428,2.59988,2.60264,0.99894
2025-10-21#t4w1,2025-10-21,,Affordability and housing,300,0.753,420,2.36193,2.40008,0.9841
2025-10-21#t4w2,2025-10-21,,Affordability and housing,339,0.425,442,2.65684,2.58196,1.029
2025-10-21#t4w3,2025-10-21,,Affordability and housing,349,0.504,432,2.47656,2.52528,0.98071
2025-10-21#t4w4,2025-10-21,,Affordability and housing,337,0.457,442,2.5102,2.64285,0.94981
2025-10-21#t4w5,2025-10-21,,Affordability and housing,287,0.53,360,2.64605,2.64169,1.00165
2025-10-21#t4w6,2025-10-21,,Affordability and housing,357,0.476,437,2.5671,2.64823,0.96937
2025-10-21#t4w7,2025-10-21,,Affordability and housing,342,0.48,418,2.65552,2.65463,1.00034
2025-10-21#t4w8,2025-10-21,,Affordability and housing,315,0.511,377,2.42905,2.48648,0.9769
2025-10-21#t4w9,2025-10-21,,Affordability and housing,338,0.595,405,2.4479,2.66578,0.91827
2025-10-21#t4w10,2025-10-21,,Affordability and housing,330,0.512,385,2.41077,2.4456,0.98576
2025-10-21#t4w11,2025-10-21,,Affordability and housing,151,0.219,187,3.0914,2.85223,1.08385
2025-10-21#t5w0,2025-10-21,Madam Speaker,Affordability and housing,315,0.238,405,2.37323,2.41615,0.98224
2025-10-21#t5w1,2025-10-21,Madam Speaker,Affordability and housing,256,0.164,324,2.12569,2.22707,0.95448
2025-10-21#t5w2,2025-10-21,Madam Speaker,Affordability and housing,333,0.066,432,3.10984,2.79215,1.11378
2025-10-21#t5w3,2025-10-21,Madam Speaker,Affordability and housing,326,0.313,411,2.46396,2.59567,0.94926
2025-10-21#t5w4,2025-10-21,Madam Speaker,Affordability and housing,350,0.0,471,2.51041,2.59062,0.96904
2025-10-21#t5w5,2025-10-21,Madam Speaker,Affordability and housing,341,0.22,430,2.73174,2.68412,1.01774
2025-10-21#t5w6,2025-10-21,Madam Speaker,Affordability and housing,264,0.125,321,2.60404,2.95065,0.88253
2025-10-21#t6w0,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,299,0.217,345,2.46826,2.572,0.95967
2025-10-21#t6w1,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,329,0.231,414,2.44411,2.6232,0.93173
2025-10-21#t6w2,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,321,0.0,388,2.80403,2.80429,0.99991
2025-10-21#t6w3,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,335,0.352,411,2.65797,2.72698,0.97469
2025-10-21#t6w4,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,272,0.044,322,3.00666,2.87101,1.04725
2025-10-21#t6w5,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,284,0.056,333,3.05025,3.05504,0.99843
2025-10-21#t6w6,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",Affordability and housing,145,0.324,191,2.88265,2.82945,1.0188
2025-10-21#t7w0,2025-10-21,,Affordability and housing,61,0.574,91,2.39991,2.96768,0.80868
2025-10-22#t8w0,2025-10-22,Hon. Ms. Thériault,Affordability and housing,178,0.0,261,3.00844,2.83058,1.06283
2025-10-22#t9w0,2025-10-22,Hon. Mr. Gauvin,Affordability and housing,212,0.0,296,3.21338,2.66288,1.20673
2025-10-22#t10w0,2025-10-22,Ms. Bockus,Affordability and housing,275,1.0,365,2.71738,2.4656,1.10212
2025-10-22#t11w0,2025-10-22,Mr. Coon,Affordability and housing,184,0.978,245,2.37564,2.57416,0.92288
2025-10-22#t12w0,2025-10-22,Mr. Doucet,Affordability and housing,153,0.0,204,3.28192,3.09705,1.05969
2025-10-22#t13w0,2025-10-22,Mr. Savoie,Affordability and housing,183,0.951,220,3.20641,3.00453,1.06719
2025-10-22#t14w0,2025-10-22,Ms. Mitton,Affordability and housing,132,1.0,173,2.32623,2.63094,0.88418
2025-10-22#t15w0,2025-10-22,Hon. Ms. Thériault,Affordability and housing,184,0.0,231,3.06707,3.2349,0.94812
2025-10-22#t16w0,2025-10-22,Mr. Savoie,Affordability and housing,131,1.0,159,2.98265,2.61011,1.14273
2025-10-22#t17w0,2025-10-22,Mr. Johnston,Affordability and housing,219,0.932,279,2.64623,2.61017,1.01381
2025-10-22#t18w0,2025-10-22,Mr. Russell,Affordability and housing,144,1.0,167,2.17366,2.65088,0.81998
2025-10-22#t19w0,2025-10-22,Mr. Coon,Affordability and housing,166,0.976,193,2.91435,2.93676,0.99237
2025-10-22#t20w0,2025-10-22,Ms. Sodhi,Affordability and housing,164,1.0,198,2.60664,2.59378,1.00496
2025-10-22#t21w0,2025-10-22,Mr. Oliver,Affordability and housing,135,0.97,166,3.40698,3.04517,1.11881
2025-10-22#t22w0,2025-10-22,Mr. Arseneault,Affordability and housing,146,0.596,191,2.36626,2.83217,0.83549
2025-10-22#t23w0,2025-10-22,Ms. Scott-Wallace,Affordability and housing,129,1.0,155,3.4134,2.90592,1.17464
2025-10-22#t24w0,2025-10-22,Mr. Doucet,Affordability and housing,99,0.0,126,3.11503,2.96039,1.05224
2025-10-22#t25w0,2025-10-22,Mr. Cullins,Affordability and housing,143,1.0,167,3.4274,3.00945,1.13888
2025-10-22#t26w0,2025-10-22,Mr. Mallet,Affordability and housing,120,0.0,148,2.93297,2.96607,0.98884
2025-10-22#t27w0,2025-10-22,Ms. S. Wilson,Affordability and housing,140,1.0,183,3.28184,3.25995,1.00671
2025-10-22#t28w0,2025-10-22,Mr. M. LeBlanc,Affordability and housing,56,1.0,68,4.0418,3.68349,1.09727
2025-10-22#t32w0,2025-10-22,Mr. Savoie,Affordability and housing,162,1.0,197,2.97222,3.28384,0.90511
2025-10-22#t33w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,180,0.0,210,2.95509,3.14348,0.94007
2025-10-22#t34w0,2025-10-22,Mr. Savoie,Affordability and housing,192,1.0,229,2.78284,2.88676,0.964
2025-10-22#t35w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,188,0.968,223,3.53897,3.14311,1.12594
2025-10-22#t36w0,2025-10-22,Mr. Savoie,Affordability and housing,182,1.0,216,3.57188,3.54318,1.0081
2025-10-22#t37w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,214,1.0,247,3.43993,3.18157,1.0812
2025-10-22#t38w0,2025-10-22,Mr. Savoie,Affordability and housing,186,1.0,227,4.24479,3.58994,1.18241
2025-10-22#t39w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,192,0.719,230,3.17655,3.12605,1.01615
2025-10-22#t40w0,2025-10-22,Mr. Savoie,Affordability and housing,104,1.0,121,3.52108,3.56094,0.98881
2025-10-22#t41w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,174,0.0,202,3.00095,2.98175,1.00644
2025-10-22#t42w0,2025-10-22,Mr. Savoie,Affordability and housing,160,1.0,187,3.78398,3.63173,1.04192
2025-10-22#t43w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,176,1.0,194,2.84706,2.89214,0.98442
2025-10-22#t44w0,2025-10-22,Mr. Savoie,Affordability and housing,159,1.0,197,2.79878,2.99608,0.93415
2025-10-22#t45w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,185,1.0,216,3.42729,3.0834,1.11153
2025-10-22#t46w0,2025-10-22,Mr. Savoie,Affordability and housing,108,1.0,126,3.63232,3.52002,1.03191
2025-10-22#t47w0,2025-10-22,Hon. C. Johnson,Affordability and housing,102,1.0,120,2.95038,3.16936,0.93091
2025-10-22#t48w0,2025-10-22,Mr. Savoie,Affordability and housing,169,1.0,205,2.84283,3.16354,0.89862
2025-10-22#t49w0,2025-10-22,Hon. C. Johnson,Affordability and housing,108,1.0,131,3.1869,2.99194,1.06516
2025-10-22#t50w0,2025-10-22,Mr. Savoie,Affordability and housing,136,1.0,152,3.12885,3.39945,0.9204
2025-10-22#t51w0,2025-10-22,L’hon. C. Johnson,Affordability and housing,135,0.0,153,2.67231,2.88368,0.9267
2025-10-22#t52w0,2025-10-22,Mr. Savoie,Affordability and housing,148,1.0,187,3.5962,3.05796,1.17601
2025-10-22#t53w0,2025-10-22,Hon. C. Johnson,Affordability and housing,143,1.0,178,3.41023,3.03073,1.12522
2025-10-22#t54w0,2025-10-22,Mr. Savoie,Affordability and housing,184,1.0,220,3.01471,3.24927,0.92781
2025-10-22#t55w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,214,1.0,239,3.39808,3.27933,1.03621
2025-10-22#t56w0,2025-10-22,Mr. Savoie,Affordability and housing,174,1.0,206,3.4515,3.29386,1.04786
2025-10-22#t57w0,2025-10-22,Hon. C. Johnson,Affordability and housing,137,0.0,161,3.2558,3.32448,0.97934
2025-10-22#t58w0,2025-10-22,Mr. Savoie,Affordability and housing,102,1.0,124,2.81274,2.73726,1.02758
2025-10-22#t59w0,2025-10-22,Hon. C. Johnson,Affordability and housing,155,1.0,188,2.73593,2.62195,1.04347
