speaker,pre_words,pre_per100k,post_words,post_per100k,delta
Hon. Mr. Fitch,58807,15.3,75231,10.6,-4.7
Hon. Mr. Higgs,94052,7.4,54763,7.3,-0.1
Hon. Mr. Hogan,27786,32.4,42513,35.3,2.9
Hon. Mr. Holland,34697,11.5,45432,4.4,-7.1
Hon. Mr. Steeves,37057,24.3,32122,31.1,6.8
Hon. Ms. Green,30013,26.7,42172,14.2,-12.4
Mr. Bourque,109663,5.5,80302,17.4,12.0
Mr. C. Chiasson,88740,9.0,61092,18.0,9.0
Mr. Coon,162968,10.4,104407,29.7,19.3
Mr. D’Amours,92792,3.2,46931,12.8,9.6
Mr. G. Arseneault,140760,2.1,55154,7.3,5.1
Mr. Gauvin,55469,5.4,71606,4.2,-1.2
Mr. K. Arseneau,179421,9.5,94349,11.7,2.2
Mr. K. Chiasson,103614,1.9,23754,8.4,6.5
Mr. LePage,63883,3.1,32938,0.0,-3.1
Mr. Legacy,44596,20.2,43812,11.4,-8.8
Mr. McKee,118938,10.9,77248,62.1,51.2
Mr. Speaker,39600,2.5,22220,9.0,6.5
Ms. Mitton,134390,5.2,98599,15.2,10.0
Ms. Thériault,45577,21.9,38915,30.8,8.9
# pre = 2021-22, post = 2023-24; min 20k words each period
