chamber,year,n_pool,n_sampled,words_per_sentence,contractions_per_1k
AB,2006,7510,400,18.01,22.84
AB,2007,10794,400,17.98,21.9
AB,2008,9265,400,18.65,20.62
AB,2009,9217,400,18.42,21.99
AB,2010,7826,400,17.53,24.04
AB,2015,6603,400,18.06,21.97
AB,2016,11533,400,19.94,21.47
AB,2017,11574,400,20.24,21.57
AB,2018,10879,400,19.66,24.18
AB,2019,12103,400,22.53,22.04
AB,2025,9146,400,21.27,22.83
AB,2026,4812,400,20.36,22.7
BC,2006,11414,400,20.01,22.17
BC,2007,16026,400,19.55,24.29
BC,2008,13698,400,19.07,22.89
BC,2009,13602,400,19.06,24.78
BC,2010,10871,400,19.04,24.54
BC,2015,15135,400,18.57,23.16
BC,2016,11108,400,18.3,23.2
BC,2017,11353,400,17.82,22.63
BC,2018,15348,400,18.91,24.81
BC,2019,13669,400,17.81,25.49
BC,2025,14738,400,17.87,24.71
BC,2026,10014,400,17.17,23.97
MB,2006,8769,400,20.71,5.05
MB,2007,8590,400,20.85,21.25
MB,2008,10810,400,21.57,22.28
MB,2009,10711,400,22.79,21.05
MB,2010,9968,400,23.05,25.28
MB,2015,9281,400,22.28,23.91
MB,2016,10204,400,22.7,23.76
MB,2017,10481,400,24.41,21.59
MB,2018,10943,400,23.14,23.89
MB,2019,5112,400,22.63,27.38
MB,2025,5253,400,21.25,26.77
MB,2026,3655,400,20.69,28.58
NI,2006,1449,400,21.3,3.67
NI,2007,7106,400,21.84,3.9
NI,2008,10537,400,22.28,3.92
NI,2009,11221,400,22.69,3.96
NI,2010,11865,400,22.34,3.58
NI,2015,13172,400,24.13,3.03
NI,2016,11019,400,23.44,2.38
NI,2017,1051,400,23.12,1.94
NI,2025,13922,400,21.85,3.55
NI,2026,9958,400,21.83,4.03
NL,2006,6299,400,19.71,3.61
NL,2007,5068,400,19.57,3.6
NL,2008,6901,400,21.04,3.01
NL,2009,6092,400,19.48,3.08
NL,2010,6732,400,19.07,2.97
NL,2015,7309,400,17.29,3.16
NL,2016,10660,400,17.87,28.64
NL,2017,7675,400,17.78,26.54
