chamber,instrument,year,indexed_pre2023_100
New Brunswick,wiki,2018,86.8
New Brunswick,wiki,2019,111.4
New Brunswick,wiki,2020,141.5
New Brunswick,wiki,2021,69.8
New Brunswick,wiki,2022,90.5
New Brunswick,wiki,2023,129.6
New Brunswick,wiki,2024,209.3
New Brunswick,wiki,2025,258.3
New Brunswick,wiki,2026,232.1
New Brunswick,kob,2018,93.8
New Brunswick,kob,2019,93.3
New Brunswick,kob,2020,122.6
New Brunswick,kob,2021,96.5
New Brunswick,kob,2022,93.8
New Brunswick,kob,2023,103.8
New Brunswick,kob,2024,119.5
New Brunswick,kob,2025,152.3
New Brunswick,kob,2026,165.6
UK Commons,wiki,2018,89.8
UK Commons,wiki,2019,83.5
UK Commons,wiki,2020,106.1
UK Commons,wiki,2021,109.7
UK Commons,wiki,2022,111.0
UK Commons,wiki,2024,134.5
UK Commons,wiki,2025,140.1
UK Commons,wiki,2026,124.1
UK Commons,kob,2018,98.0
UK Commons,kob,2019,90.2
UK Commons,kob,2020,102.6
UK Commons,kob,2021,106.9
UK Commons,kob,2022,102.4
UK Commons,kob,2024,109.7
UK Commons,kob,2025,117.7
UK Commons,kob,2026,113.9
Canada federal,wiki,2018,108.3
Canada federal,wiki,2019,104.0
Canada federal,wiki,2020,101.7
Canada federal,wiki,2021,95.1
Canada federal,wiki,2022,91.0
Canada federal,wiki,2023,105.1
Canada federal,wiki,2024,103.7
Canada federal,wiki,2025,119.3
Canada federal,wiki,2026,114.5
Canada federal,kob,2018,104.8
Canada federal,kob,2019,93.2
Canada federal,kob,2020,104.5
Canada federal,kob,2021,100.8
Canada federal,kob,2022,96.7
Canada federal,kob,2023,98.2
Canada federal,kob,2024,98.5
Canada federal,kob,2025,114.0
Canada federal,kob,2026,119.4
Ireland,wiki,2018,105.0
Ireland,wiki,2019,98.8
Ireland,wiki,2020,86.5
Ireland,wiki,2021,101.3
Ireland,wiki,2022,108.5
Ireland,wiki,2024,138.8
Ireland,wiki,2025,151.8
Ireland,wiki,2026,165.7
Ireland,kob,2018,99.1
Ireland,kob,2019,99.6
Ireland,kob,2020,94.4
Ireland,kob,2021,102.3
Ireland,kob,2022,104.6
Ireland,kob,2024,103.8
Ireland,kob,2025,110.0
Ireland,kob,2026,109.5
US House,wiki,2018,96.5
US House,wiki,2019,90.7
US House,wiki,2020,104.5
US House,wiki,2021,95.6
US House,wiki,2022,112.7
US House,wiki,2023,94.6
US House,wiki,2024,170.1
US House,wiki,2025,139.5
US House,wiki,2026,109.6
US House,kob,2018,101.5
US House,kob,2019,96.2
US House,kob,2020,103.6
US House,kob,2021,98.4
US House,kob,2022,100.3
US House,kob,2023,99.4
US House,kob,2024,112.6
US House,kob,2025,104.3
US House,kob,2026,111.1
US Senate,wiki,2018,94.3
US Senate,wiki,2019,103.5
US Senate,wiki,2020,84.5
US Senate,wiki,2021,105.3
US Senate,wiki,2022,112.4
US Senate,wiki,2023,127.6
US Senate,wiki,2024,111.2
US Senate,wiki,2025,95.1
US Senate,wiki,2026,96.6
US Senate,kob,2018,97.3
US Senate,kob,2019,102.0
US Senate,kob,2020,94.7
US Senate,kob,2021,96.0
US Senate,kob,2022,109.9
US Senate,kob,2023,102.3
US Senate,kob,2024,106.6
US Senate,kob,2025,86.7
US Senate,kob,2026,91.8
