period,words,kobak_rare_per100k,kobak_ci,wiki33_per100k,wiki_ci
2018,439057,225.71,14.05,12.74,3.34
2019,703905,210.11,10.71,15.46,2.9
2020,493221,269.45,14.49,20.0,3.94
2021,1319138,203.09,7.69,9.89,1.69
2022,1421988,210.34,7.54,12.75,1.85
2023,1421196,241.49,8.08,18.38,2.23
2024,855812,290.13,11.41,30.29,3.71
2025,1250417,371.08,10.68,37.92,3.44
2026,343966,382.6,20.67,33.74,6.17
2018.75,439057,225.71,14.05,,
2019.0,57049,289.23,44.13,,
2019.25,163802,162.39,19.52,,
2019.75,483054,216.95,13.14,,
2020.0,63536,225.07,36.89,,
2020.25,150464,243.91,24.95,,
2020.75,279221,293.32,20.09,,
2021.0,242536,222.24,18.76,,
2021.25,559320,191.48,11.47,,
2021.75,517282,206.66,12.39,,
2022.0,199653,237.41,21.37,,
2022.25,405199,201.38,13.82,,
2022.75,817136,208.17,9.89,,
2023.0,228742,246.13,20.33,,
2023.25,462333,231.0,13.85,,
2023.75,730121,246.67,11.39,,
2024.0,197718,251.37,22.1,,
2024.25,356280,290.22,17.69,,
2024.75,301814,315.43,20.04,,
2025.0,250956,313.6,21.91,,
2025.25,485106,383.83,17.43,,
2025.75,514355,387.09,17.0,,
2026.0,189497,354.62,26.81,,
2026.25,154469,416.91,32.2,,
